# OWD receiver: AF42  port=5002
[1784204631.850392] seq=1 owd=0.207 ms
[1784204631.870369] seq=2 owd=0.158 ms
[1784204631.890479] seq=3 owd=0.264 ms
[1784204632.275131] seq=11 owd=224.906 ms
[1784204632.475214] seq=21 owd=225.009 ms
[1784204632.495269] seq=22 owd=225.042 ms
[1784204633.095368] seq=52 owd=225.121 ms
[1784204633.195346] seq=57 owd=225.141 ms
[1784204633.235169] seq=59 owd=224.958 ms
[1784204633.455372] seq=70 owd=225.159 ms
[1784204633.475320] seq=71 owd=225.120 ms
[1784204633.495222] seq=72 owd=225.001 ms
[1784204633.595638] seq=77 owd=225.416 ms
[1784204633.675128] seq=81 owd=224.923 ms
[1784204633.694915] seq=82 owd=224.674 ms
[1784204634.235320] seq=109 owd=225.108 ms
[1784204634.275184] seq=111 owd=224.976 ms
[1784204634.395106] seq=117 owd=224.899 ms
[1784204634.915723] seq=143 owd=225.504 ms
[1784204635.015318] seq=148 owd=225.104 ms
[1784204635.215161] seq=158 owd=224.953 ms
[1784204635.235256] seq=159 owd=225.030 ms
[1784204635.315128] seq=163 owd=224.918 ms
[1784204635.455073] seq=170 owd=224.864 ms
[1784204635.495233] seq=172 owd=225.022 ms
[1784204635.795480] seq=187 owd=225.247 ms
[1784204635.915490] seq=193 owd=225.282 ms
[1784204635.975016] seq=196 owd=224.801 ms
[1784204636.015191] seq=198 owd=224.977 ms
[1784204636.235074] seq=209 owd=224.860 ms
[1784204636.335500] seq=214 owd=225.287 ms
[1784204636.495085] seq=222 owd=224.872 ms
[1784204636.915329] seq=243 owd=225.070 ms
[1784204637.855239] seq=290 owd=225.029 ms
[1784204637.975358] seq=296 owd=225.155 ms
[1784204638.915317] seq=343 owd=225.104 ms
[1784204639.035186] seq=349 owd=224.971 ms
[1784204639.055073] seq=350 owd=224.854 ms
[1784204639.195338] seq=357 owd=225.132 ms
[1784204639.755395] seq=385 owd=225.180 ms
[1784204639.955431] seq=395 owd=225.132 ms
[1784204640.535386] seq=424 owd=225.161 ms
[1784204640.695274] seq=432 owd=225.053 ms
[1784204640.815325] seq=438 owd=225.101 ms
[1784204641.095452] seq=452 owd=225.240 ms
[1784204641.395180] seq=467 owd=224.972 ms
[1784204641.915450] seq=493 owd=225.227 ms
[1784204641.975057] seq=496 owd=224.840 ms
[1784204642.015210] seq=498 owd=224.988 ms
[1784204642.235214] seq=509 owd=225.003 ms
[1784204642.615488] seq=528 owd=225.279 ms
[1784204643.015405] seq=548 owd=225.165 ms
[1784204643.735211] seq=584 owd=225.001 ms
[1784204644.235377] seq=609 owd=225.165 ms
[1784204644.275141] seq=611 owd=224.925 ms
[1784204644.315455] seq=613 owd=225.207 ms
[1784204644.355158] seq=615 owd=224.901 ms
[1784204644.434935] seq=619 owd=224.674 ms
[1784204644.495061] seq=622 owd=224.832 ms
[1784204644.715328] seq=633 owd=225.118 ms
[1784204645.235379] seq=659 owd=225.135 ms
[1784204645.535399] seq=674 owd=225.169 ms
[1784204646.015448] seq=698 owd=225.214 ms
[1784204646.555264] seq=725 owd=225.065 ms
[1784204646.615161] seq=728 owd=224.945 ms
[1784204646.835402] seq=739 owd=225.146 ms
[1784204646.975356] seq=746 owd=225.143 ms
[1784204647.275215] seq=761 owd=224.991 ms
[1784204647.315307] seq=763 owd=225.103 ms
[1784204647.655497] seq=780 owd=225.285 ms
[1784204647.975244] seq=796 owd=225.029 ms
[1784204648.235350] seq=809 owd=225.137 ms
[1784204648.415325] seq=818 owd=225.115 ms
[1784204648.535198] seq=824 owd=224.977 ms
[1784204648.715252] seq=833 owd=225.041 ms
[1784204648.935077] seq=844 owd=224.871 ms
[1784204649.135127] seq=854 owd=224.927 ms
[1784204649.195238] seq=857 owd=225.018 ms
[1784204649.835367] seq=889 owd=225.155 ms
[1784204650.235532] seq=909 owd=225.308 ms
[1784204650.455214] seq=920 owd=225.019 ms
[1784204650.475344] seq=921 owd=225.099 ms
[1784204650.495127] seq=922 owd=224.901 ms
[1784204650.975542] seq=946 owd=225.328 ms
[1784204651.015414] seq=948 owd=225.199 ms
[1784204651.135259] seq=954 owd=225.033 ms
[1784204651.235317] seq=959 owd=225.099 ms
[1784204651.295201] seq=962 owd=224.999 ms
