time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,824418869,77464643,43246716
2,1004858689,79934348,39971733
3,1004787039,79925069,39962723
4,1005010944,79925284,39962669
5,1003993038,79854704,39931799
6,1004912599,79942952,39971595
7,1004760171,79933972,39962615
8,1004225667,79836648,39922905
9,1004930338,79925123,39962669
10,1004590057,79907157,39953766
11,1004625828,79907264,39953659
12,1005055725,79942928,39971679
13,1004216720,79881546,39940907
14,1005458822,79960840,39980581
15,1004055723,79854489,39922905
16,1004449426,79899480,39949878
17,1005360235,79961001,39989699
18,1004867645,79916113,39953659
19,1004795996,79925177,39962776
20,1003724674,79836756,39905010
21,1005297541,79961001,39989430
22,1004787039,79916328,39971749
23,1004243562,79881385,39922798
24,1004813962,79907157,39962669
25,1005073637,79951992,39971733
26,1004876679,79934049,39962693
27,1003876724,79845757,39922851
28,1005001988,79916167,39971625
29,1005297595,79960948,39971625
30,1003912513,79854543,39923120
31,1004966163,79942928,39971679
32,1004449349,79881761,39940961
33,1004876655,79925177,39962818
34,1004885557,79934133,39962615
35,1004306193,79863383,39940746
36,1004822942,79925147,39962747
37,1005261717,79961001,39980527
38,1004581101,79907264,39944918
39,1004091458,79854543,39940853
40,1005378147,79978914,39980420
41,1003939397,79845596,39923012
42,1005172155,79942982,39971733
43,1004822918,80005729,40007396
44,1005046768,79853312,39926737
45,1004482529,79907264,39935854
46,1004243639,79863675,39949771
47,1005091603,79943089,39971571
48,1003993038,79863544,39931745
49,1005736394,79978806,39989537
50,1003894618,79854543,39922905
51,1004867645,79925165,39953713
52,1004437802,79889298,39953659
53,1005100505,79943089,39971410
54,1004154089,79872599,39940853
55,1005216936,79952207,39971625
56,1004760249,79907235,39944834
57,1004813962,79925123,39971733
58,1004163036,79854650,39940746
59,1004930338,79943197,39962615
60,923835440,91290634,72465542
61,0,0,0
62,0,0,0
63,0,0,0
