# OWD receiver: AF41  port=5001
[1784205643.475020] seq=1 owd=0.151 ms
[1784205643.495178] seq=2 owd=0.189 ms
[1784205643.515059] seq=3 owd=0.158 ms
[1784205643.535295] seq=4 owd=0.398 ms
[1784205643.558952] seq=5 owd=4.056 ms
[1784205643.588671] seq=6 owd=13.766 ms
[1784205643.628609] seq=8 owd=13.712 ms
[1784205643.648600] seq=9 owd=13.671 ms
[1784205643.668708] seq=10 owd=13.817 ms
[1784205643.688665] seq=11 owd=13.769 ms
[1784205643.728646] seq=13 owd=13.747 ms
[1784205643.748599] seq=14 owd=13.701 ms
[1784205643.788558] seq=16 owd=13.659 ms
[1784205643.828657] seq=18 owd=13.752 ms
[1784205643.848603] seq=19 owd=13.710 ms
[1784205643.868615] seq=20 owd=13.716 ms
[1784205643.908542] seq=22 owd=13.660 ms
[1784205643.968605] seq=25 owd=13.706 ms
[1784205643.988575] seq=26 owd=13.685 ms
[1784205644.028569] seq=28 owd=13.671 ms
[1784205644.048563] seq=29 owd=13.660 ms
[1784205644.088554] seq=31 owd=13.658 ms
[1784205644.108555] seq=32 owd=13.666 ms
[1784205644.248573] seq=39 owd=13.673 ms
[1784205644.268600] seq=40 owd=13.661 ms
[1784205644.288582] seq=41 owd=13.688 ms
[1784205644.328546] seq=43 owd=13.649 ms
[1784205644.368621] seq=45 owd=13.717 ms
[1784205644.388577] seq=46 owd=13.680 ms
[1784205644.408561] seq=47 owd=13.662 ms
[1784205644.428576] seq=48 owd=13.669 ms
[1784205644.448522] seq=49 owd=13.629 ms
[1784205644.468712] seq=50 owd=13.817 ms
[1784205644.488569] seq=51 owd=13.669 ms
[1784205644.508602] seq=52 owd=13.671 ms
[1784205644.528578] seq=53 owd=13.690 ms
[1784205644.628589] seq=58 owd=13.686 ms
[1784205644.648562] seq=59 owd=13.659 ms
[1784205644.668540] seq=60 owd=13.634 ms
[1784205644.688589] seq=61 owd=13.688 ms
[1784205644.768630] seq=65 owd=13.702 ms
[1784205644.808558] seq=67 owd=13.661 ms
[1784205644.848620] seq=69 owd=13.716 ms
[1784205644.868598] seq=70 owd=13.702 ms
