time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,528101626,251822357,130461652
2,663673950,307715367,153849058
3,662612168,307239389,153624459
4,664049627,307903044,153947317
5,662781729,307302065,153651703
6,662996250,307409487,153704850
7,663808374,307795838,153902849
8,663146330,307482684,153741799
9,663020692,307420161,153714849
10,663593639,307688310,153831110
11,662924821,307374025,153687051
12,658323271,305219080,152596334
13,660274204,306185319,153097596
14,663834893,307804624,153884863
15,663235534,307509526,153768640
16,663219817,307516371,153767848
17,663181743,307509580,153741691
18,662826904,307319834,153660427
19,663711642,307731322,153866009
20,662722868,308281316,154145754
21,77,12758929,33158905
22,0,0,0
23,0,0,0
24,0,0,0
25,41,0,41
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,77,77,77
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,17966159,17071486,11264658
41,672428160,311569145,153168699
42,663879898,307822465,153902634
43,662960658,307391180,153705119
44,663378529,307590266,153795321
45,663199799,307491685,153750907
46,663005403,307418103,153696180
47,663512738,307661414,153831056
48,662826689,307328504,153669097
49,663240009,307514488,153757592
50,664040788,307893775,153956425
51,663298457,307572073,153768664
52,663235749,307518419,153768318
53,662790936,307311111,153660266
54,663130648,307480833,153740926
55,663434230,307605916,153794234
56,663380654,307597127,153794234
57,663486057,307625733,153822270
58,662647642,307248381,153624769
59,663710061,307750780,153867060
60,594773373,289842044,171745902
61,77,77,77
62,0,0,0
63,0,0,0
