# OWD receiver: AF42  port=5002
[1784205720.384267] seq=1 owd=0.134 ms
[1784205720.404321] seq=2 owd=0.144 ms
[1784205720.424914] seq=3 owd=0.748 ms
[1784205720.490036] seq=4 owd=45.888 ms
[1784205720.542761] seq=6 owd=58.624 ms
[1784205720.642750] seq=11 owd=58.599 ms
[1784205720.742771] seq=16 owd=58.605 ms
[1784205720.762771] seq=17 owd=58.604 ms
[1784205720.862868] seq=22 owd=58.639 ms
[1784205720.942789] seq=26 owd=58.618 ms
[1784205721.186870] seq=38 owd=62.711 ms
[1784205721.202816] seq=39 owd=58.629 ms
[1784205721.282772] seq=43 owd=58.605 ms
[1784205721.344705] seq=46 owd=60.547 ms
[1784205721.402776] seq=49 owd=58.607 ms
[1784205721.462798] seq=52 owd=58.635 ms
[1784205721.542957] seq=56 owd=58.781 ms
[1784205721.607011] seq=59 owd=62.865 ms
[1784205721.722752] seq=65 owd=58.589 ms
[1784205721.822901] seq=70 owd=58.744 ms
[1784205721.868194] seq=72 owd=64.031 ms
[1784205721.922790] seq=75 owd=58.625 ms
[1784205721.962717] seq=77 owd=58.554 ms
[1784205722.002784] seq=79 owd=58.620 ms
[1784205722.022723] seq=80 owd=58.565 ms
[1784205722.042678] seq=81 owd=58.519 ms
[1784205722.262774] seq=92 owd=58.624 ms
[1784205722.302736] seq=94 owd=58.571 ms
[1784205722.442794] seq=101 owd=58.644 ms
[1784205722.462805] seq=102 owd=58.644 ms
[1784205722.502834] seq=104 owd=58.677 ms
[1784205722.542828] seq=106 owd=58.660 ms
[1784205722.602784] seq=109 owd=58.627 ms
[1784205722.702844] seq=114 owd=58.678 ms
[1784205722.722826] seq=115 owd=58.664 ms
[1784205722.822782] seq=120 owd=58.620 ms
[1784205722.882823] seq=123 owd=58.665 ms
[1784205722.922726] seq=125 owd=58.560 ms
[1784205722.962701] seq=127 owd=58.542 ms
[1784205723.122787] seq=135 owd=58.634 ms
[1784205723.142750] seq=136 owd=58.581 ms
[1784205723.262811] seq=142 owd=58.636 ms
[1784205723.282696] seq=143 owd=58.534 ms
[1784205723.342744] seq=146 owd=58.584 ms
[1784205723.442739] seq=151 owd=58.586 ms
[1784205723.462788] seq=152 owd=58.590 ms
[1784205723.482678] seq=153 owd=58.535 ms
[1784205723.502670] seq=154 owd=58.508 ms
[1784205723.582735] seq=158 owd=58.568 ms
[1784205723.702780] seq=164 owd=58.613 ms
[1784205723.722688] seq=165 owd=58.542 ms
[1784205723.822766] seq=170 owd=58.605 ms
[1784205723.842759] seq=171 owd=58.599 ms
[1784205724.062796] seq=182 owd=58.630 ms
[1784205724.082721] seq=183 owd=58.558 ms
[1784205724.102700] seq=184 owd=58.508 ms
[1784205724.202801] seq=189 owd=58.630 ms
[1784205724.342805] seq=196 owd=58.637 ms
[1784205724.402758] seq=199 owd=58.594 ms
[1784205724.422750] seq=200 owd=58.586 ms
[1784205724.482787] seq=203 owd=58.609 ms
[1784205724.522706] seq=205 owd=58.538 ms
