time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,529771632,252545437,130818915
2,663618647,307699111,153831966
3,663152818,307493173,153742619
4,663331804,307555998,153778844
5,663777966,307772851,153895848
6,662734541,307294792,153642949
7,663262483,307536260,153768748
8,663441321,307616893,153804107
9,663405532,307590159,153804214
10,662942888,307391556,153687135
11,663385356,307591476,153796141
12,663262483,307536314,153777534
13,663512899,307643627,153822055
14,662958610,307393020,153688073
15,663255838,307534463,153767312
16,663226748,307518903,153768479
17,662832423,307348314,153661004
18,664030685,307869547,153948288
19,662886821,307375102,153670220
20,663377099,307573778,153805366
21,4665829,15901359,34708011
22,0,41,0
23,62389377,35493902,18288314
24,671132095,311765561,153912864
25,662949060,307375209,153687578
26,663654149,307735312,153867737
27,662612222,307239604,153606850
28,663735131,307744000,153876908
29,663217693,307518581,153750800
30,663457167,307618774,153832127
31,662975848,307410730,153687900
32,663101379,307437840,153732421
33,663146115,307500310,153741369
34,663851155,307807093,153912810
35,663448587,307609780,153795980
36,662769954,307303524,153652111
37,663618701,307708013,153858834
38,662931649,307384157,153688115
39,663483982,307627838,153814053
40,663457382,307636256,153814107
41,656265562,304288457,152148971
42,663296063,307546856,153778605
43,663181904,307500632,153732690
44,662922189,307375341,153687978
45,663940962,307851312,153939816
46,663324415,307571942,153786320
47,657250902,323954569,181793671
48,654576520,299927588,149959620
49,638872735,296199543,148135784
50,665454294,308502350,154260740
51,663103725,307480779,153732041
52,663692005,307715259,153866953
53,662949436,307401998,153697008
54,663094864,307445479,153714135
55,663479459,307650876,153821264
56,663510743,307645589,153831750
57,662823530,307321633,153670167
58,662781353,307319781,153651381
59,663336015,307561600,153785403
60,618500385,300513814,177086216
61,0,0,0
62,0,0,0
63,0,0,0
