# OWD receiver: AF43  port=5003
[1784205570.379505] seq=1 owd=0.281 ms
[1784205570.399351] seq=2 owd=0.108 ms
[1784205570.429430] seq=3 owd=10.153 ms
[1784205570.492270] seq=4 owd=53.016 ms
[1784205570.554905] seq=5 owd=95.673 ms
[1784205570.617994] seq=6 owd=138.707 ms
[1784205570.680589] seq=7 owd=181.341 ms
[1784205570.743291] seq=8 owd=224.062 ms
[1784205570.773087] seq=9 owd=233.827 ms
[1784205570.813053] seq=11 owd=233.798 ms
[1784205570.913080] seq=16 owd=233.800 ms
[1784205570.933067] seq=17 owd=233.792 ms
[1784205571.093117] seq=25 owd=233.869 ms
[1784205571.213282] seq=31 owd=234.027 ms
[1784205571.253182] seq=33 owd=233.883 ms
[1784205571.313095] seq=36 owd=233.811 ms
[1784205571.373138] seq=39 owd=233.879 ms
[1784205571.393051] seq=40 owd=233.816 ms
[1784205571.473075] seq=44 owd=233.804 ms
[1784205571.513076] seq=46 owd=233.820 ms
[1784205571.532986] seq=47 owd=233.726 ms
[1784205571.552972] seq=48 owd=233.727 ms
[1784205571.592903] seq=50 owd=233.621 ms
[1784205571.653061] seq=53 owd=233.785 ms
[1784205571.739363] seq=57 owd=240.111 ms
[1784205571.813134] seq=61 owd=233.886 ms
[1784205571.853121] seq=63 owd=233.846 ms
[1784205572.054714] seq=73 owd=235.461 ms
[1784205572.094112] seq=75 owd=234.880 ms
[1784205572.173149] seq=79 owd=233.896 ms
[1784205572.213141] seq=81 owd=233.890 ms
[1784205572.313144] seq=86 owd=233.889 ms
[1784205572.393179] seq=90 owd=233.886 ms
[1784205572.473100] seq=94 owd=233.867 ms
[1784205572.493116] seq=95 owd=233.867 ms
[1784205572.593103] seq=100 owd=233.835 ms
[1784205572.693168] seq=105 owd=233.913 ms
[1784205572.733158] seq=107 owd=233.870 ms
[1784205572.773094] seq=109 owd=233.841 ms
[1784205572.793007] seq=110 owd=233.753 ms
[1784205572.813035] seq=111 owd=233.784 ms
[1784205572.852984] seq=113 owd=233.727 ms
[1784205572.912934] seq=116 owd=233.679 ms
[1784205572.992962] seq=120 owd=233.710 ms
[1784205573.093207] seq=125 owd=233.957 ms
[1784205573.133162] seq=127 owd=233.887 ms
[1784205573.173083] seq=129 owd=233.829 ms
[1784205573.213054] seq=131 owd=233.776 ms
[1784205573.293040] seq=135 owd=233.785 ms
[1784205573.313025] seq=136 owd=233.769 ms
[1784205573.333002] seq=137 owd=233.747 ms
[1784205573.352942] seq=138 owd=233.691 ms
[1784205573.372886] seq=139 owd=233.635 ms
[1784205573.433032] seq=142 owd=233.741 ms
[1784205573.472940] seq=144 owd=233.670 ms
[1784205573.573159] seq=149 owd=233.865 ms
[1784205573.693094] seq=155 owd=233.837 ms
[1784205573.793182] seq=160 owd=233.906 ms
[1784205573.813227] seq=161 owd=233.939 ms
[1784205573.913125] seq=166 owd=233.868 ms
[1784205574.033216] seq=172 owd=233.956 ms
[1784205574.073158] seq=174 owd=233.910 ms
[1784205574.093115] seq=175 owd=233.862 ms
[1784205574.173170] seq=179 owd=233.933 ms
[1784205574.193055] seq=180 owd=233.800 ms
[1784205574.313206] seq=186 owd=233.925 ms
[1784205574.353192] seq=188 owd=233.893 ms
[1784205574.513111] seq=196 owd=233.860 ms
[1784205574.593206] seq=200 owd=233.979 ms
[1784205574.713068] seq=206 owd=233.819 ms
[1784205574.753254] seq=208 owd=234.003 ms
[1784205574.793182] seq=210 owd=233.888 ms
[1784205574.893215] seq=215 owd=233.962 ms
[1784205574.913078] seq=216 owd=233.827 ms
[1784205574.953095] seq=218 owd=233.852 ms
[1784205575.033149] seq=222 owd=233.890 ms
[1784205575.053128] seq=223 owd=233.867 ms
[1784205575.072972] seq=224 owd=233.690 ms
[1784205575.153087] seq=228 owd=233.830 ms
[1784205575.233042] seq=232 owd=233.798 ms
[1784205575.253095] seq=233 owd=233.805 ms
[1784205575.293121] seq=235 owd=233.865 ms
[1784205575.393096] seq=240 owd=233.866 ms
[1784205575.473107] seq=244 owd=233.855 ms
[1784205575.493184] seq=245 owd=233.930 ms
[1784205575.513042] seq=246 owd=233.793 ms
[1784205575.573094] seq=249 owd=233.831 ms
[1784205575.592941] seq=250 owd=233.660 ms
[1784205575.612922] seq=251 owd=233.674 ms
[1784205575.632942] seq=252 owd=233.702 ms
[1784205575.692935] seq=255 owd=233.674 ms
[1784205575.752931] seq=258 owd=233.696 ms
[1784205575.772907] seq=259 owd=233.659 ms
[1784205575.792958] seq=260 owd=233.701 ms
[1784205575.812901] seq=261 owd=233.669 ms
[1784205575.873040] seq=264 owd=233.743 ms
[1784205575.973031] seq=269 owd=233.735 ms
[1784205576.113297] seq=276 owd=234.025 ms
[1784205576.153195] seq=278 owd=233.937 ms
[1784205576.173156] seq=279 owd=233.897 ms
[1784205576.193055] seq=280 owd=233.798 ms
[1784205576.253213] seq=283 owd=233.925 ms
[1784205576.273018] seq=284 owd=233.747 ms
[1784205576.312934] seq=286 owd=233.656 ms
[1784205576.352898] seq=288 owd=233.655 ms
[1784205576.413008] seq=291 owd=233.740 ms
[1784205576.452997] seq=293 owd=233.735 ms
[1784205576.613229] seq=301 owd=233.983 ms
[1784205576.673155] seq=304 owd=233.903 ms
[1784205576.753177] seq=308 owd=233.921 ms
[1784205576.813175] seq=311 owd=233.895 ms
[1784205576.853162] seq=313 owd=233.898 ms
[1784205576.973162] seq=319 owd=233.896 ms
[1784205577.013122] seq=321 owd=233.858 ms
[1784205577.033097] seq=322 owd=233.844 ms
[1784205577.072965] seq=324 owd=233.711 ms
[1784205577.113104] seq=326 owd=233.844 ms
[1784205577.193091] seq=330 owd=233.797 ms
[1784205577.253074] seq=333 owd=233.792 ms
[1784205577.293070] seq=335 owd=233.819 ms
[1784205577.313067] seq=336 owd=233.807 ms
[1784205577.413088] seq=341 owd=233.838 ms
[1784205577.433061] seq=342 owd=233.810 ms
[1784205577.452988] seq=343 owd=233.743 ms
[1784205577.512911] seq=346 owd=233.677 ms
[1784205577.653109] seq=353 owd=233.866 ms
[1784205577.693141] seq=355 owd=233.865 ms
[1784205577.773239] seq=359 owd=233.950 ms
[1784205577.833083] seq=362 owd=233.832 ms
[1784205577.953089] seq=368 owd=233.839 ms
[1784205577.973080] seq=369 owd=233.824 ms
[1784205578.053171] seq=373 owd=233.909 ms
[1784205578.653337] seq=403 owd=234.047 ms
[1784205578.773221] seq=409 owd=233.976 ms
[1784205578.813208] seq=411 owd=233.939 ms
[1784205578.873218] seq=414 owd=233.944 ms
[1784205578.913112] seq=416 owd=233.864 ms
[1784205578.973123] seq=419 owd=233.868 ms
[1784205578.992927] seq=420 owd=233.678 ms
[1784205579.012983] seq=421 owd=233.693 ms
[1784205579.053062] seq=423 owd=233.795 ms
[1784205579.073012] seq=424 owd=233.715 ms
[1784205579.092929] seq=425 owd=233.669 ms
[1784205579.353337] seq=438 owd=234.052 ms
[1784205579.433241] seq=442 owd=233.984 ms
[1784205579.513224] seq=446 owd=233.960 ms
[1784205579.553151] seq=448 owd=233.897 ms
[1784205579.693207] seq=455 owd=233.960 ms
[1784205579.713179] seq=456 owd=233.920 ms
[1784205579.732966] seq=457 owd=233.736 ms
[1784205579.853170] seq=463 owd=233.932 ms
[1784205579.933155] seq=467 owd=233.873 ms
[1784205579.953133] seq=468 owd=233.877 ms
[1784205580.053069] seq=473 owd=233.828 ms
[1784205580.193230] seq=480 owd=233.949 ms
[1784205580.253182] seq=483 owd=233.926 ms
[1784205580.293184] seq=485 owd=233.930 ms
[1784205580.353071] seq=488 owd=233.813 ms
[1784205580.373070] seq=489 owd=233.807 ms
[1784205580.392936] seq=490 owd=233.674 ms
[1784205580.613319] seq=501 owd=234.092 ms
[1784205580.633210] seq=502 owd=233.948 ms
[1784205580.693175] seq=505 owd=233.905 ms
[1784205580.793072] seq=510 owd=233.819 ms
[1784205580.832991] seq=512 owd=233.759 ms
[1784205580.853028] seq=513 owd=233.771 ms
[1784205580.933065] seq=517 owd=233.810 ms
[1784205580.953095] seq=518 owd=233.840 ms
[1784205581.073087] seq=524 owd=233.829 ms
[1784205581.233275] seq=532 owd=234.029 ms
[1784205581.253136] seq=533 owd=233.884 ms
[1784205581.313169] seq=536 owd=233.938 ms
[1784205581.393076] seq=540 owd=233.822 ms
[1784205581.432965] seq=542 owd=233.710 ms
[1784205581.553150] seq=548 owd=233.889 ms
[1784205581.693182] seq=555 owd=233.932 ms
[1784205581.813184] seq=561 owd=233.935 ms
[1784205581.833116] seq=562 owd=233.861 ms
[1784205581.873178] seq=564 owd=233.895 ms
[1784205581.953079] seq=568 owd=233.828 ms
[1784205581.972991] seq=569 owd=233.758 ms
[1784205582.013040] seq=571 owd=233.756 ms
[1784205582.093107] seq=575 owd=233.850 ms
[1784205582.173030] seq=579 owd=233.778 ms
[1784205582.193067] seq=580 owd=233.815 ms
[1784205582.273030] seq=584 owd=233.775 ms
[1784205582.333081] seq=587 owd=233.821 ms
[1784205582.473150] seq=594 owd=233.897 ms
[1784205582.493109] seq=595 owd=233.867 ms
[1784205582.533240] seq=597 owd=233.941 ms
[1784205582.653109] seq=603 owd=233.860 ms
[1784205582.693094] seq=605 owd=233.848 ms
[1784205582.773130] seq=609 owd=233.881 ms
[1784205582.833165] seq=612 owd=233.935 ms
[1784205582.873055] seq=614 owd=233.795 ms
[1784205582.912999] seq=616 owd=233.726 ms
[1784205583.133285] seq=627 owd=234.049 ms
[1784205583.213262] seq=631 owd=234.004 ms
[1784205583.233181] seq=632 owd=233.946 ms
[1784205583.253148] seq=633 owd=233.896 ms
[1784205583.313021] seq=636 owd=233.769 ms
[1784205583.413129] seq=641 owd=233.876 ms
[1784205583.432960] seq=642 owd=233.700 ms
[1784205583.493129] seq=645 owd=233.864 ms
[1784205583.653115] seq=653 owd=233.887 ms
[1784205583.693226] seq=655 owd=233.949 ms
[1784205583.753131] seq=658 owd=233.876 ms
[1784205583.773136] seq=659 owd=233.884 ms
[1784205584.053272] seq=673 owd=234.025 ms
[1784205584.073189] seq=674 owd=233.948 ms
[1784205584.113100] seq=676 owd=233.854 ms
[1784205584.233119] seq=682 owd=233.863 ms
[1784205584.293154] seq=685 owd=233.899 ms
[1784205584.433189] seq=692 owd=233.938 ms
[1784205584.473284] seq=694 owd=234.013 ms
[1784205584.513108] seq=696 owd=233.858 ms
[1784205584.613186] seq=701 owd=233.918 ms
[1784205584.673093] seq=704 owd=233.838 ms
[1784205584.713073] seq=706 owd=233.822 ms
[1784205584.773114] seq=709 owd=233.866 ms
[1784205584.832988] seq=712 owd=233.757 ms
[1784205584.913126] seq=716 owd=233.888 ms
[1784205585.053246] seq=723 owd=233.999 ms
[1784205585.153199] seq=728 owd=233.948 ms
[1784205585.173175] seq=729 owd=233.923 ms
[1784205585.193186] seq=730 owd=233.931 ms
[1784205585.353163] seq=738 owd=233.905 ms
[1784205585.453187] seq=743 owd=233.935 ms
[1784205585.593197] seq=750 owd=233.943 ms
[1784205585.653221] seq=753 owd=233.964 ms
[1784205585.733162] seq=757 owd=233.913 ms
[1784205585.773152] seq=759 owd=233.917 ms
[1784205585.813036] seq=761 owd=233.786 ms
[1784205585.853108] seq=763 owd=233.842 ms
[1784205585.973075] seq=769 owd=233.815 ms
[1784205586.013115] seq=771 owd=233.860 ms
[1784205586.073167] seq=774 owd=233.897 ms
[1784205586.093147] seq=775 owd=233.893 ms
[1784205586.113086] seq=776 owd=233.790 ms
[1784205586.132996] seq=777 owd=233.744 ms
[1784205586.152938] seq=778 owd=233.682 ms
[1784205586.172809] seq=779 owd=233.555 ms
[1784205586.192781] seq=780 owd=233.551 ms
[1784205586.272884] seq=784 owd=233.627 ms
[1784205586.292820] seq=785 owd=233.564 ms
[1784205586.312886] seq=786 owd=233.623 ms
[1784205586.553358] seq=798 owd=234.076 ms
[1784205586.713209] seq=806 owd=233.948 ms
[1784205586.773190] seq=809 owd=233.905 ms
[1784205586.833233] seq=812 owd=233.977 ms
[1784205586.893110] seq=815 owd=233.856 ms
[1784205586.953178] seq=818 owd=233.925 ms
[1784205586.993062] seq=820 owd=233.807 ms
[1784205587.073112] seq=824 owd=233.830 ms
[1784205587.113146] seq=826 owd=233.856 ms
[1784205587.133070] seq=827 owd=233.822 ms
[1784205587.193141] seq=830 owd=233.881 ms
[1784205587.212996] seq=831 owd=233.725 ms
[1784205587.293023] seq=835 owd=233.766 ms
[1784205587.393076] seq=840 owd=233.822 ms
[1784205587.453175] seq=843 owd=233.920 ms
[1784205587.473134] seq=844 owd=233.867 ms
[1784205587.593113] seq=850 owd=233.858 ms
[1784205587.673078] seq=854 owd=233.823 ms
[1784205587.853286] seq=863 owd=234.017 ms
[1784205587.873236] seq=864 owd=233.984 ms
[1784205588.013241] seq=871 owd=233.988 ms
[1784205588.053105] seq=873 owd=233.834 ms
[1784205588.073080] seq=874 owd=233.793 ms
[1784205588.233166] seq=882 owd=233.895 ms
[1784205588.253078] seq=883 owd=233.820 ms
[1784205588.293272] seq=885 owd=234.025 ms
[1784205588.313173] seq=886 owd=233.928 ms
[1784205588.393075] seq=890 owd=233.811 ms
[1784205588.613350] seq=901 owd=234.060 ms
[1784205588.653219] seq=903 owd=233.942 ms
[1784205588.693131] seq=905 owd=233.882 ms
[1784205588.733124] seq=907 owd=233.884 ms
[1784205588.773017] seq=909 owd=233.763 ms
[1784205588.813010] seq=911 owd=233.727 ms
[1784205588.832945] seq=912 owd=233.690 ms
[1784205588.852912] seq=913 owd=233.671 ms
[1784205588.912943] seq=916 owd=233.648 ms
[1784205588.932985] seq=917 owd=233.724 ms
[1784205588.952891] seq=918 owd=233.634 ms
[1784205588.992849] seq=920 owd=233.594 ms
[1784205589.032908] seq=922 owd=233.653 ms
[1784205589.132997] seq=927 owd=233.742 ms
[1784205589.233195] seq=932 owd=233.933 ms
[1784205589.353241] seq=938 owd=234.010 ms
[1784205589.373209] seq=939 owd=233.940 ms
[1784205589.413125] seq=941 owd=233.877 ms
[1784205589.473082] seq=944 owd=233.853 ms
[1784205589.513072] seq=946 owd=233.818 ms
[1784205589.533017] seq=947 owd=233.761 ms
[1784205589.572929] seq=949 owd=233.674 ms
[1784205589.592978] seq=950 owd=233.720 ms
[1784205589.632985] seq=952 owd=233.757 ms
[1784205589.732977] seq=957 owd=233.693 ms
[1784205589.793062] seq=960 owd=233.811 ms
[1784205589.873214] seq=964 owd=233.967 ms
[1784205589.913091] seq=966 owd=233.837 ms
[1784205589.953081] seq=968 owd=233.810 ms
[1784205590.053063] seq=973 owd=233.804 ms
[1784205590.093135] seq=975 owd=233.878 ms
[1784205590.113034] seq=976 owd=233.779 ms
[1784205590.173105] seq=979 owd=233.818 ms
[1784205590.213064] seq=981 owd=233.814 ms
[1784205590.233049] seq=982 owd=233.795 ms
[1784205590.272979] seq=984 owd=233.729 ms
[1784205590.292915] seq=985 owd=233.663 ms
[1784205590.353006] seq=988 owd=233.764 ms
[1784205590.392923] seq=990 owd=233.669 ms
[1784205590.453027] seq=993 owd=233.746 ms
[1784205590.513057] seq=996 owd=233.803 ms
[1784205590.533113] seq=997 owd=233.878 ms
[1784205590.613091] seq=1001 owd=233.820 ms
[1784205590.653065] seq=1003 owd=233.813 ms
[1784205590.693059] seq=1005 owd=233.799 ms
[1784205590.733084] seq=1007 owd=233.800 ms
[1784205590.853159] seq=1013 owd=233.865 ms
[1784205590.913147] seq=1016 owd=233.863 ms
[1784205591.113213] seq=1026 owd=233.971 ms
[1784205591.253193] seq=1033 owd=233.950 ms
[1784205591.293212] seq=1035 owd=233.920 ms
[1784205591.333170] seq=1037 owd=233.942 ms
[1784205591.393102] seq=1040 owd=233.847 ms
[1784205591.473151] seq=1044 owd=233.877 ms
[1784205591.553175] seq=1048 owd=233.870 ms
[1784205591.693206] seq=1055 owd=233.913 ms
[1784205591.713168] seq=1056 owd=233.924 ms
[1784205591.873274] seq=1064 owd=234.004 ms
[1784205592.013300] seq=1071 owd=234.051 ms
[1784205592.053212] seq=1073 owd=233.957 ms
[1784205592.093048] seq=1075 owd=233.793 ms
[1784205592.113123] seq=1076 owd=233.831 ms
[1784205592.173151] seq=1079 owd=233.862 ms
[1784205592.213071] seq=1081 owd=233.821 ms
[1784205592.313085] seq=1086 owd=233.848 ms
[1784205592.393125] seq=1090 owd=233.867 ms
[1784205592.433138] seq=1092 owd=233.854 ms
[1784205592.453144] seq=1093 owd=233.885 ms
[1784205592.493106] seq=1095 owd=233.825 ms
[1784205592.513177] seq=1096 owd=233.845 ms
[1784205592.552963] seq=1098 owd=233.680 ms
[1784205592.613007] seq=1101 owd=233.738 ms
[1784205592.632972] seq=1102 owd=233.720 ms
[1784205592.713010] seq=1106 owd=233.747 ms
[1784205592.733093] seq=1107 owd=233.806 ms
[1784205592.772987] seq=1109 owd=233.731 ms
[1784205592.813044] seq=1111 owd=233.787 ms
[1784205592.832965] seq=1112 owd=233.675 ms
[1784205592.852992] seq=1113 owd=233.699 ms
[1784205592.892942] seq=1115 owd=233.688 ms
[1784205592.952982] seq=1118 owd=233.737 ms
[1784205593.013006] seq=1121 owd=233.751 ms
[1784205593.213258] seq=1131 owd=234.006 ms
[1784205593.233188] seq=1132 owd=233.952 ms
[1784205593.293151] seq=1135 owd=233.876 ms
[1784205593.433082] seq=1142 owd=233.826 ms
[1784205593.453073] seq=1143 owd=233.817 ms
[1784205593.473139] seq=1144 owd=233.885 ms
[1784205593.573097] seq=1149 owd=233.844 ms
[1784205593.633060] seq=1152 owd=233.779 ms
[1784205593.733148] seq=1157 owd=233.892 ms
[1784205593.773110] seq=1159 owd=233.850 ms
[1784205593.793091] seq=1160 owd=233.833 ms
[1784205593.893104] seq=1165 owd=233.859 ms
[1784205593.933115] seq=1167 owd=233.858 ms
[1784205594.153316] seq=1178 owd=234.038 ms
[1784205594.173202] seq=1179 owd=233.930 ms
[1784205594.313204] seq=1186 owd=233.919 ms
[1784205594.373169] seq=1189 owd=233.899 ms
[1784205594.393146] seq=1190 owd=233.858 ms
[1784205594.453251] seq=1193 owd=233.995 ms
[1784205594.473020] seq=1194 owd=233.779 ms
[1784205594.533028] seq=1197 owd=233.756 ms
[1784205594.553005] seq=1198 owd=233.738 ms
[1784205594.593023] seq=1200 owd=233.768 ms
[1784205594.612865] seq=1201 owd=233.611 ms
[1784205594.913244] seq=1216 owd=234.014 ms
[1784205595.033262] seq=1222 owd=234.009 ms
[1784205595.133146] seq=1227 owd=233.864 ms
[1784205595.153181] seq=1228 owd=233.932 ms
[1784205595.173138] seq=1229 owd=233.886 ms
[1784205595.253093] seq=1233 owd=233.821 ms
[1784205595.273077] seq=1234 owd=233.786 ms
[1784205595.292998] seq=1235 owd=233.734 ms
[1784205595.333008] seq=1237 owd=233.730 ms
[1784205595.392962] seq=1240 owd=233.701 ms
[1784205595.453010] seq=1243 owd=233.752 ms
[1784205595.533088] seq=1247 owd=233.831 ms
[1784205595.593128] seq=1250 owd=233.879 ms
[1784205595.693165] seq=1255 owd=233.907 ms
[1784205595.713146] seq=1256 owd=233.895 ms
[1784205595.733004] seq=1257 owd=233.748 ms
[1784205595.833076] seq=1262 owd=233.830 ms
[1784205595.973206] seq=1269 owd=233.952 ms
[1784205595.993173] seq=1270 owd=233.927 ms
[1784205596.033165] seq=1272 owd=233.866 ms
[1784205596.073149] seq=1274 owd=233.910 ms
[1784205596.113013] seq=1276 owd=233.740 ms
[1784205596.213154] seq=1281 owd=233.924 ms
[1784205596.253041] seq=1283 owd=233.751 ms
[1784205596.293068] seq=1285 owd=233.800 ms
[1784205596.333027] seq=1287 owd=233.776 ms
[1784205596.373115] seq=1289 owd=233.866 ms
[1784205596.393114] seq=1290 owd=233.817 ms
[1784205596.453001] seq=1293 owd=233.747 ms
[1784205596.634915] seq=1302 owd=235.687 ms
[1784205596.733190] seq=1307 owd=233.936 ms
[1784205596.753575] seq=1308 owd=234.289 ms
[1784205596.773069] seq=1309 owd=233.828 ms
[1784205596.854071] seq=1313 owd=234.818 ms
[1784205597.053227] seq=1323 owd=233.971 ms
[1784205597.073168] seq=1324 owd=233.907 ms
[1784205597.153118] seq=1328 owd=233.883 ms
[1784205597.273201] seq=1334 owd=233.947 ms
[1784205597.353170] seq=1338 owd=233.902 ms
[1784205597.413270] seq=1341 owd=234.010 ms
[1784205597.513222] seq=1346 owd=233.965 ms
