time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,476855343,224623061,117237256
2,661092737,306526199,153258932
3,663520183,307672458,153841083
4,662886722,307357446,153679245
5,663011637,307420000,153714796
6,663360784,307580997,153777737
7,663636237,307708390,153859157
8,663190636,307509311,153741637
9,663421181,307591691,153804990
10,663253428,307536099,153768264
11,662868642,307348260,153679006
12,663833488,307797844,153894713
13,663029424,307420107,153723759
14,663421581,307609735,153796272
15,663306682,307563317,153777373
16,662824175,307321687,153661219
17,663011422,307437948,153723689
18,663056374,307410837,153705741
19,663539848,307688202,153840272
20,663369797,307572210,153795536
21,663242541,307529266,153760478
22,663519968,307654814,153814161
23,662832692,307339850,153670274
24,663655810,307715283,153866923
25,663378314,307580889,153795267
26,663253321,307526991,153750746
27,662814959,307330796,153678953
28,663627496,307699219,153840976
29,663002851,307419785,153714527
30,663307166,307554047,153768533
31,663529139,307654330,153832127
32,663268657,307538276,153778121
33,663235629,307527367,153759251
34,663003090,307402075,153705657
35,663430191,307609872,153796087
36,663502001,307654061,153832073
37,662976009,307410999,153705902
38,663387852,307580782,153795160
39,662898089,307373679,153678357
40,663627388,307708336,153850147
41,662985064,307402159,153697008
42,663752667,307744215,153885649
43,662725647,307303566,153643002
44,663119458,307455812,153733036
45,663324792,307563424,153786535
46,663788760,307788888,153894659
47,662859910,307339205,153661112
48,663510743,307654599,153823009
49,663367605,307582896,153796356
50,660273882,306131432,153079540
51,663083215,307455681,153723689
52,663573758,307672296,153840868
53,659638626,305809331,152900541
54,663394659,307591715,153787747
55,663439254,307627569,153814376
56,662895393,307348368,153678845
57,663412278,307618452,153805097
58,663538041,307654223,153840814
59,662806119,307330581,153651896
60,663047588,307438216,153715118
61,16265735,21576811,37653239
62,0,69,0
63,0,0,0
