# OWD receiver: AF41  port=5001
[1784627694.365995] seq=1 owd=0.417 ms
[1784627694.385739] seq=2 owd=0.137 ms
[1784627694.405793] seq=3 owd=0.189 ms
[1784627694.425774] seq=4 owd=0.149 ms
[1784627694.446031] seq=5 owd=0.426 ms
[1784627694.465996] seq=6 owd=0.388 ms
[1784627694.486151] seq=7 owd=0.499 ms
[1784627694.506083] seq=8 owd=0.485 ms
[1784627694.526047] seq=9 owd=0.448 ms
[1784627694.546081] seq=10 owd=0.460 ms
[1784627694.566099] seq=11 owd=0.489 ms
[1784627694.586101] seq=12 owd=0.504 ms
[1784627694.606108] seq=13 owd=0.507 ms
[1784627694.625744] seq=14 owd=0.144 ms
[1784627694.645724] seq=15 owd=0.124 ms
[1784627694.665809] seq=16 owd=0.164 ms
[1784627694.685757] seq=17 owd=0.159 ms
[1784627694.705729] seq=18 owd=0.145 ms
[1784627694.725807] seq=19 owd=0.164 ms
[1784627694.745730] seq=20 owd=0.136 ms
[1784627694.765761] seq=21 owd=0.158 ms
[1784627694.785739] seq=22 owd=0.140 ms
[1784627694.805735] seq=23 owd=0.133 ms
[1784627694.825753] seq=24 owd=0.152 ms
[1784627694.845784] seq=25 owd=0.181 ms
[1784627694.865735] seq=26 owd=0.134 ms
[1784627694.885764] seq=27 owd=0.158 ms
[1784627694.905755] seq=28 owd=0.156 ms
[1784627694.925869] seq=29 owd=0.179 ms
[1784627694.945745] seq=30 owd=0.145 ms
[1784627694.965766] seq=31 owd=0.158 ms
[1784627694.985765] seq=32 owd=0.156 ms
[1784627695.005736] seq=33 owd=0.130 ms
[1784627695.025739] seq=34 owd=0.133 ms
[1784627695.045751] seq=35 owd=0.135 ms
[1784627695.065788] seq=36 owd=0.151 ms
[1784627695.085778] seq=37 owd=0.158 ms
[1784627695.105766] seq=38 owd=0.156 ms
[1784627695.125754] seq=39 owd=0.145 ms
[1784627695.145772] seq=40 owd=0.159 ms
[1784627695.165779] seq=41 owd=0.150 ms
