time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,774439172,76504382,38252753
2,1004813962,79925123,39971517
3,1005252760,79961001,39980527
4,1004616872,79880288,39944649
5,1004073564,79872652,39931745
6,1005227844,79971006,39985566
7,1004121322,79855878,39918974
8,1004950473,79926222,39967611
9,1005297541,79951938,39980635
10,1004807239,79917174,39958640
11,1004082565,79881492,39940853
12,1005422928,79961001,39980420
13,1004010933,79872545,39931906
14,1005172155,79934294,39962561
15,1004306246,79890332,39940746
16,1004449349,79872437,39949693
17,1004413560,79899440,39949639
18,1004968368,79935361,39958718
19,1004512033,79890332,39949639
20,989221153,90663685,45336320
21,0,5908262,29738063
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,77,77,77
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,77,77,77
39,0,0,0
40,70370443,11461444,5717355
41,1005225892,89024651,44530372
42,1003823040,79827916,39905010
43,1005030921,79962017,39976642
44,1005414025,79952099,39980527
45,1004984075,79943143,39962615
46,1003343671,79793137,39910035
47,1005299339,79952855,39985375
48,1004637373,79917520,39940823
49,1005388811,79952909,39985482
50,1003706726,79845810,39913958
51,1004887765,79926336,39958790
52,1004789399,79908388,39967641
53,1005369191,79969850,39989591
54,1004813908,79934133,39962615
55,1002995033,79766226,39883328
56,1005628974,79987886,39989699
57,1004948328,79925416,39953683
58,1005109462,79943089,39980635
59,1003670937,79836756,39923012
60,927915462,91693101,72608736
61,0,0,0
62,0,0,0
63,0,0,0
