# OWD receiver: AF43  port=5003
[1784627770.683958] seq=1 owd=0.121 ms
[1784627770.704183] seq=2 owd=0.319 ms
[1784627770.754321] seq=3 owd=30.458 ms
[1784627770.927491] seq=4 owd=183.627 ms
[1784627771.169054] seq=5 owd=405.187 ms
[1784627771.410886] seq=6 owd=627.021 ms
[1784627772.103824] seq=27 owd=899.950 ms
[1784627772.223802] seq=33 owd=899.929 ms
[1784627772.363816] seq=40 owd=899.952 ms
[1784627773.083676] seq=76 owd=899.833 ms
[1784627773.463871] seq=95 owd=900.011 ms
[1784627774.544220] seq=149 owd=900.363 ms
[1784627774.704038] seq=157 owd=900.176 ms
[1784627774.783674] seq=161 owd=899.810 ms
[1784627774.883472] seq=166 owd=899.610 ms
[1784627775.283326] seq=186 owd=899.449 ms
[1784627775.323242] seq=188 owd=899.388 ms
[1784627775.363072] seq=190 owd=899.191 ms
[1784627775.482893] seq=196 owd=899.035 ms
[1784627775.502533] seq=197 owd=898.678 ms
[1784627775.522121] seq=198 owd=898.226 ms
[1784627775.582289] seq=201 owd=898.425 ms
[1784627775.702267] seq=207 owd=898.407 ms
[1784627775.842331] seq=214 owd=898.465 ms
[1784627776.322855] seq=238 owd=899.015 ms
[1784627776.483606] seq=246 owd=899.748 ms
[1784627776.542951] seq=249 owd=899.096 ms
[1784627776.743572] seq=259 owd=899.715 ms
[1784627776.863146] seq=265 owd=899.287 ms
[1784627777.243129] seq=284 owd=899.261 ms
[1784627777.804076] seq=312 owd=900.215 ms
[1784627777.923734] seq=318 owd=899.880 ms
[1784627778.023498] seq=323 owd=899.638 ms
[1784627778.543539] seq=349 owd=899.677 ms
[1784627778.763524] seq=360 owd=899.662 ms
[1784627779.143576] seq=379 owd=899.711 ms
[1784627779.283625] seq=386 owd=899.755 ms
[1784627779.663599] seq=405 owd=899.725 ms
[1784627779.883547] seq=416 owd=899.683 ms
[1784627780.023570] seq=423 owd=899.686 ms
[1784627780.183543] seq=431 owd=899.676 ms
[1784627780.243380] seq=434 owd=899.521 ms
[1784627780.322969] seq=438 owd=899.103 ms
[1784627780.843379] seq=464 owd=899.496 ms
[1784627780.863194] seq=465 owd=899.305 ms
[1784627781.784250] seq=511 owd=900.401 ms
[1784627782.243800] seq=534 owd=899.932 ms
[1784627782.543715] seq=549 owd=899.845 ms
[1784627782.583636] seq=551 owd=899.774 ms
[1784627783.504446] seq=597 owd=900.577 ms
[1784627783.724060] seq=608 owd=900.200 ms
[1784627783.923810] seq=618 owd=899.947 ms
[1784627784.223409] seq=633 owd=899.547 ms
[1784627784.243387] seq=634 owd=899.530 ms
[1784627785.384251] seq=691 owd=900.388 ms
[1784627785.404032] seq=692 owd=900.162 ms
[1784627785.643961] seq=704 owd=900.093 ms
[1784627786.083440] seq=726 owd=899.585 ms
[1784627786.183460] seq=731 owd=899.555 ms
[1784627786.242955] seq=734 owd=899.092 ms
[1784627786.544418] seq=749 owd=900.533 ms
[1784627786.763123] seq=760 owd=899.269 ms
[1784627786.983391] seq=771 owd=899.526 ms
[1784627787.163556] seq=780 owd=899.693 ms
[1784627787.283075] seq=786 owd=899.210 ms
[1784627787.463223] seq=795 owd=899.357 ms
[1784627787.823130] seq=813 owd=899.255 ms
[1784627787.963280] seq=820 owd=899.410 ms
[1784627788.243631] seq=834 owd=899.766 ms
[1784627788.623503] seq=853 owd=899.612 ms
[1784627788.766905] seq=860 owd=903.041 ms
