time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,662077166,67593264,33815045
2,1004760302,79934049,39953790
3,1004804952,79907103,39953551
4,1004787039,79916328,39962507
5,1003424075,79819749,39910196
6,1006014035,80014727,40007653
7,1004789399,79899279,39958748
8,1003885671,79863598,39922851
9,1004894513,79934079,39962669
10,1004055669,79836541,39923012
11,1005351332,79978752,39980474
12,1004512057,79890463,39958664
13,1004282159,79873433,39936743
14,1005335128,79961910,39976642
15,1004458350,79908011,39949639
16,1004798292,79917066,39949747
17,1003966197,79854704,39931906
18,1005664745,79978699,39998494
19,1004028881,79854543,39922905
20,1003936245,80784808,40401414
21,0,16946224,35279275
22,77,77,77
23,110931509,17643719,8660675
24,1004876601,86830227,42148029
25,1004222800,79862484,39944703
26,1004306193,79890332,39931906
27,1005010944,79970119,39998332
28,1005306551,79880342,39944703
29,1004787109,79934025,39953551
30,1004894513,79916167,39953605
31,1003232599,79854674,39931876
32,1005700569,79925069,39971517
33,1004491539,79916382,39953820
34,1004921382,79925231,39971613
35,1003993038,79854650,39922851
36,1004903470,79943077,39962561
37,1004807293,79881331,39940692
38,1004849733,79934187,39980581
39,1004118300,79881492,39931799
40,1005914333,79977968,39993547
41,993426344,79049367,39511408
42,1005700623,79969958,39989484
43,1003805146,79881546,39922744
44,1004804952,79889245,39971733
45,1005619964,79952045,39980689
46,1004127247,79917227,39949854
47,1005539412,114979539,85442557
48,1003966197,79836541,39922959
49,1004547769,79926013,39958479
50,1005001988,79925015,39962669
51,1004503164,79890302,39940931
52,1003975144,79854597,39931960
53,1005433548,79979751,39994429
54,1004795996,79916167,39962561
55,1003769410,79836648,39904957
56,1005888649,80050402,40025631
57,1004894513,79880235,39935747
58,1003563570,79836541,39914119
59,1005825956,79978968,39998440
60,1003969047,79864495,39936850
61,71392756,23432501,38505543
62,0,0,41
63,0,0,0
