# OWD receiver: AF42  port=5002
[1784627418.811214] seq=1 owd=0.210 ms
[1784627418.831187] seq=2 owd=0.145 ms
[1784627418.906014] seq=3 owd=54.974 ms
[1784627419.073859] seq=4 owd=202.822 ms
[1784627419.716646] seq=35 owd=225.635 ms
[1784627420.236752] seq=61 owd=225.707 ms
[1784627420.296553] seq=64 owd=225.477 ms
[1784627421.236525] seq=111 owd=225.486 ms
[1784627421.417024] seq=120 owd=225.935 ms
[1784627421.616267] seq=130 owd=225.223 ms
[1784627422.356548] seq=167 owd=225.458 ms
[1784627422.496522] seq=174 owd=225.487 ms
[1784627423.096690] seq=204 owd=225.652 ms
[1784627423.496486] seq=224 owd=225.456 ms
[1784627424.236480] seq=261 owd=225.447 ms
[1784627425.756815] seq=337 owd=225.757 ms
[1784627426.016396] seq=350 owd=225.355 ms
[1784627426.256561] seq=362 owd=225.550 ms
[1784627426.276376] seq=363 owd=225.326 ms
[1784627426.576504] seq=378 owd=225.438 ms
[1784627427.756726] seq=437 owd=225.664 ms
[1784627428.496730] seq=474 owd=225.698 ms
[1784627428.796710] seq=489 owd=225.637 ms
[1784627429.316605] seq=515 owd=225.557 ms
[1784627429.616659] seq=530 owd=225.642 ms
[1784627430.416701] seq=570 owd=225.694 ms
[1784627430.496704] seq=574 owd=225.672 ms
[1784627430.756727] seq=587 owd=225.696 ms
[1784627431.016754] seq=600 owd=225.716 ms
[1784627431.316852] seq=615 owd=225.794 ms
[1784627431.716711] seq=635 owd=225.699 ms
[1784627431.756504] seq=637 owd=225.469 ms
[1784627432.536715] seq=676 owd=225.667 ms
[1784627433.536717] seq=726 owd=225.661 ms
[1784627433.576477] seq=728 owd=225.381 ms
[1784627434.016774] seq=750 owd=225.726 ms
[1784627434.276798] seq=763 owd=225.758 ms
[1784627434.576700] seq=778 owd=225.671 ms
[1784627434.756470] seq=787 owd=225.424 ms
[1784627435.016754] seq=800 owd=225.733 ms
[1784627435.276640] seq=813 owd=225.576 ms
[1784627435.716915] seq=835 owd=225.883 ms
[1784627435.756671] seq=837 owd=225.637 ms
[1784627437.176532] seq=908 owd=225.515 ms
[1784627437.536805] seq=926 owd=225.764 ms
[1784627438.056772] seq=952 owd=225.722 ms
[1784627438.276749] seq=963 owd=225.690 ms
[1784627438.576771] seq=978 owd=225.727 ms
[1784627438.756443] seq=987 owd=225.409 ms
[1784627439.016721] seq=1000 owd=225.688 ms
[1784627439.576756] seq=1028 owd=225.687 ms
[1784627439.756601] seq=1037 owd=225.562 ms
[1784627439.996637] seq=1049 owd=225.629 ms
[1784627440.276860] seq=1063 owd=225.813 ms
[1784627440.756735] seq=1087 owd=225.693 ms
[1784627441.016725] seq=1100 owd=225.684 ms
[1784627442.016563] seq=1150 owd=225.531 ms
[1784627442.216558] seq=1160 owd=225.547 ms
[1784627442.276489] seq=1163 owd=225.442 ms
[1784627442.916518] seq=1195 owd=225.459 ms
[1784627443.056516] seq=1202 owd=225.458 ms
[1784627443.276523] seq=1213 owd=225.486 ms
[1784627443.656550] seq=1232 owd=225.514 ms
[1784627444.536211] seq=1276 owd=225.159 ms
[1784627445.536702] seq=1326 owd=225.670 ms
[1784627445.576337] seq=1328 owd=225.283 ms
[1784627446.516642] seq=1375 owd=225.605 ms
[1784627446.876540] seq=1393 owd=225.522 ms
[1784627447.536577] seq=1426 owd=225.546 ms
[1784627449.496719] seq=1524 owd=225.710 ms
[1784627450.096501] seq=1554 owd=225.441 ms
[1784627450.536583] seq=1576 owd=225.553 ms
[1784627451.216652] seq=1610 owd=225.609 ms
[1784627451.436591] seq=1621 owd=225.560 ms
[1784627451.556413] seq=1627 owd=225.404 ms
[1784627452.056486] seq=1652 owd=225.454 ms
[1784627452.316666] seq=1665 owd=225.615 ms
[1784627452.956542] seq=1697 owd=225.529 ms
[1784627453.096360] seq=1704 owd=225.310 ms
[1784627454.016459] seq=1750 owd=225.443 ms
[1784627454.496692] seq=1774 owd=225.682 ms
[1784627454.616768] seq=1780 owd=225.715 ms
[1784627455.316818] seq=1815 owd=225.788 ms
[1784627455.576782] seq=1828 owd=225.740 ms
[1784627455.916717] seq=1845 owd=225.646 ms
[1784627456.576760] seq=1878 owd=225.729 ms
[1784627458.096607] seq=1954 owd=225.575 ms
[1784627458.576639] seq=1978 owd=225.586 ms
[1784627458.836738] seq=1991 owd=225.693 ms
[1784627459.236688] seq=2011 owd=225.680 ms
[1784627459.576650] seq=2028 owd=225.618 ms
[1784627460.096711] seq=2054 owd=225.672 ms
[1784627460.296321] seq=2064 owd=225.312 ms
[1784627460.576901] seq=2078 owd=225.858 ms
[1784627461.856677] seq=2142 owd=225.604 ms
[1784627463.356716] seq=2217 owd=225.672 ms
[1784627463.616467] seq=2230 owd=225.409 ms
[1784627464.136546] seq=2256 owd=225.482 ms
