time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,802043194,75637600,42333300
2,1005627503,79986825,39984689
3,1003912591,79845619,39913982
4,1004932501,79934961,39976481
5,1003769357,79845488,39931852
6,1005405111,79951872,39971625
7,1004778083,79951776,39971410
8,1004957207,79916221,39962615
9,1004894513,79915952,39953713
10,1003769357,79836541,39923066
11,1005396113,79969850,39980474
12,1004306193,79872330,39949800
13,1005288663,79960972,39980551
14,1004813908,79907157,39944541
15,1004598960,79996665,40007342
16,1003939408,79756069,39878222
17,1004939294,79934025,39962561
18,1004858689,79916059,39962507
19,1004637241,79908119,39958587
20,1004787093,79951938,39962723
21,1004634784,79880288,39935854
22,1004598960,79960894,39989537
23,1004625906,79844488,39926910
24,1005145286,79969850,39971464
25,1004778137,79925123,39962723
26,1004010933,79854382,39922798
27,1004804952,79898147,39962669
28,1004536266,79889137,39944649
29,1005118418,79960840,39971464
30,1004518408,79906996,39944864
31,1004581047,79880181,39962669
32,1005028856,79951884,39971679
33,1005011021,79916191,39953683
34,1004511980,79917066,39949693
35,1004930434,79916101,39962669
36,1004778083,79925069,39962669
37,1003894618,79845488,39931799
38,1005001988,79933972,39962669
39,1004368823,79881170,39931745
40,1004769181,79925015,39971517
41,1004858689,79925069,39962776
42,1004858689,79916113,39953551
43,1004733380,79916029,39962693
44,1003823094,79854382,39922905
45,1005172155,79951884,39971571
46,1005118418,79942982,39971571
47,1004912426,79916113,39962723
48,1004010933,79863275,39931691
49,1005654398,79977752,39993439
50,1003679884,79836487,39913904
51,1005073637,79934187,39971733
52,1004948250,79942982,39971464
53,1004118378,79845673,39941200
54,1004831874,79925015,39944756
55,1004912426,79996665,39989430
56,1004688521,79853474,39926737
57,1004697478,79907103,39962776
58,1004118300,79863329,39922851
59,1005073691,79978699,39989322
60,951400342,93584543,73675207
61,0,0,0
62,0,0,0
63,77,77,77
