# OWD receiver: AF41  port=5001
[1784628458.396877] seq=1 owd=0.141 ms
[1784628458.416996] seq=2 owd=0.232 ms
[1784628458.437014] seq=3 owd=0.252 ms
[1784628458.458886] seq=4 owd=2.126 ms
[1784628458.486411] seq=5 owd=9.647 ms
[1784628458.529450] seq=7 owd=12.675 ms
[1784628458.549401] seq=8 owd=12.641 ms
[1784628458.589485] seq=10 owd=12.735 ms
[1784628458.609430] seq=11 owd=12.672 ms
[1784628458.690459] seq=15 owd=13.701 ms
[1784628458.710516] seq=16 owd=13.755 ms
[1784628458.730485] seq=17 owd=13.690 ms
[1784628458.750456] seq=18 owd=13.696 ms
[1784628458.870496] seq=24 owd=13.719 ms
[1784628458.890435] seq=25 owd=13.672 ms
[1784628458.910506] seq=26 owd=13.745 ms
[1784628458.930430] seq=27 owd=13.669 ms
[1784628458.970495] seq=29 owd=13.730 ms
[1784628459.010472] seq=31 owd=13.697 ms
[1784628459.030531] seq=32 owd=13.722 ms
[1784628459.050448] seq=33 owd=13.702 ms
[1784628459.110436] seq=36 owd=13.663 ms
[1784628459.130417] seq=37 owd=13.644 ms
[1784628459.150487] seq=38 owd=13.726 ms
[1784628459.170504] seq=39 owd=13.742 ms
[1784628459.190468] seq=40 owd=13.713 ms
[1784628459.210474] seq=41 owd=13.713 ms
[1784628459.250421] seq=43 owd=13.661 ms
[1784628459.270445] seq=44 owd=13.683 ms
[1784628459.330406] seq=47 owd=13.628 ms
[1784628459.390518] seq=50 owd=13.755 ms
[1784628459.410470] seq=51 owd=13.710 ms
[1784628459.450418] seq=53 owd=13.648 ms
[1784628459.470454] seq=54 owd=13.683 ms
[1784628459.510425] seq=56 owd=13.652 ms
[1784628459.530431] seq=57 owd=13.670 ms
[1784628459.550430] seq=58 owd=13.670 ms
[1784628459.570407] seq=59 owd=13.649 ms
[1784628459.590405] seq=60 owd=13.649 ms
[1784628459.690485] seq=65 owd=13.685 ms
[1784628459.710418] seq=66 owd=13.663 ms
[1784628459.730454] seq=67 owd=13.691 ms
[1784628459.750435] seq=68 owd=13.676 ms
[1784628459.790429] seq=70 owd=13.687 ms
[1784628459.830463] seq=72 owd=13.702 ms
[1784628459.850489] seq=73 owd=13.691 ms
[1784628459.870453] seq=74 owd=13.692 ms
[1784628459.930413] seq=77 owd=13.653 ms
[1784628459.950423] seq=78 owd=13.665 ms
[1784628459.990412] seq=80 owd=13.658 ms
[1784628460.010442] seq=81 owd=13.688 ms
[1784628460.030445] seq=82 owd=13.690 ms
[1784628460.050442] seq=83 owd=13.688 ms
[1784628460.090467] seq=85 owd=13.696 ms
[1784628460.210441] seq=91 owd=13.673 ms
[1784628460.230429] seq=92 owd=13.661 ms
[1784628460.250425] seq=93 owd=13.656 ms
[1784628460.270477] seq=94 owd=13.705 ms
[1784628460.330468] seq=97 owd=13.685 ms
[1784628460.350388] seq=98 owd=13.626 ms
[1784628460.390399] seq=100 owd=13.638 ms
[1784628460.410425] seq=101 owd=13.667 ms
[1784628460.450404] seq=103 owd=13.644 ms
[1784628460.470425] seq=104 owd=13.665 ms
