time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,545737286,253027976,126532705
2,663806404,307780039,153885810
3,662370687,307132021,153570667
4,663976649,307869517,153930669
5,662415041,307141121,153570829
6,663396841,307590308,153795309
7,663968099,307851097,153921850
8,662671802,307259217,153634216
9,663808266,307804571,153902634
10,662701606,307257481,153633666
11,664075197,307923231,153957245
12,662770384,307303470,153652380
13,663493045,307627677,153823063
14,662895723,307384073,153669976
15,663226640,307509526,153768694
16,663949595,307851366,153921581
17,663011745,307428786,153714704
18,663047695,307437948,153714903
19,662725647,307285753,153643432
20,663609207,307976968,153993284
21,0,13447791,33507824
22,0,0,0
23,0,0,0
24,77,77,77
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,77,77,77
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,147120125,68196258,34134025
42,663253482,307527313,153777319
43,663235826,307518604,153759771
44,663582446,307690370,153840922
45,663295956,307537739,153769219
46,662958210,307384252,153696782
47,663278258,307547340,153778229
48,662799660,307319996,153651328
49,664119870,307950045,153975157
50,662806280,307312579,153661004
51,663513006,307643735,153822163
52,663261838,307536314,153759586
53,663011930,307428756,153714927
54,663092109,307446680,153723689
55,663629321,307697472,153848736
56,663065697,307455627,153732583
57,663645462,307708444,153849986
58,663367551,307582573,153787454
59,662701552,307266312,153650952
60,602332397,293025235,173337311
61,0,0,0
62,0,0,0
63,77,77,77
