# OWD receiver: AF41  port=5001
[1784628535.264719] seq=1 owd=0.208 ms
[1784628535.284687] seq=2 owd=0.149 ms
[1784628535.304831] seq=3 owd=0.287 ms
[1784628535.324943] seq=4 owd=0.389 ms
[1784628535.351737] seq=5 owd=7.136 ms
[1784628535.397058] seq=7 owd=12.516 ms
[1784628535.476972] seq=11 owd=12.440 ms
[1784628535.518009] seq=13 owd=13.459 ms
[1784628535.538231] seq=14 owd=13.685 ms
[1784628535.558227] seq=15 owd=13.684 ms
[1784628535.578233] seq=16 owd=13.682 ms
[1784628535.638219] seq=19 owd=13.671 ms
[1784628535.658204] seq=20 owd=13.662 ms
[1784628535.678258] seq=21 owd=13.685 ms
[1784628535.698246] seq=22 owd=13.702 ms
[1784628535.798223] seq=27 owd=13.677 ms
[1784628535.818217] seq=28 owd=13.680 ms
[1784628535.838199] seq=29 owd=13.662 ms
[1784628535.858238] seq=30 owd=13.699 ms
[1784628535.878228] seq=31 owd=13.669 ms
[1784628535.918215] seq=33 owd=13.674 ms
[1784628535.958248] seq=35 owd=13.674 ms
[1784628535.978215] seq=36 owd=13.677 ms
[1784628535.998246] seq=37 owd=13.697 ms
[1784628536.018221] seq=38 owd=13.682 ms
[1784628536.058179] seq=40 owd=13.650 ms
[1784628536.138238] seq=44 owd=13.693 ms
[1784628536.158227] seq=45 owd=13.675 ms
[1784628536.198196] seq=47 owd=13.650 ms
[1784628536.238206] seq=49 owd=13.666 ms
[1784628536.258268] seq=50 owd=13.721 ms
[1784628536.278194] seq=51 owd=13.652 ms
[1784628536.298236] seq=52 owd=13.698 ms
[1784628536.338236] seq=54 owd=13.695 ms
[1784628536.358212] seq=55 owd=13.664 ms
[1784628536.378199] seq=56 owd=13.656 ms
[1784628536.398192] seq=57 owd=13.649 ms
[1784628536.418221] seq=58 owd=13.678 ms
[1784628536.438220] seq=59 owd=13.680 ms
[1784628536.458224] seq=60 owd=13.688 ms
[1784628536.498214] seq=62 owd=13.675 ms
[1784628536.518195] seq=63 owd=13.658 ms
[1784628536.538253] seq=64 owd=13.710 ms
[1784628536.558283] seq=65 owd=13.742 ms
[1784628536.578268] seq=66 owd=13.738 ms
[1784628536.618291] seq=68 owd=13.731 ms
[1784628536.678241] seq=71 owd=13.721 ms
[1784628536.718193] seq=73 owd=13.654 ms
[1784628536.738217] seq=74 owd=13.679 ms
[1784628536.758191] seq=75 owd=13.651 ms
[1784628536.798216] seq=77 owd=13.699 ms
[1784628536.818209] seq=78 owd=13.654 ms
[1784628536.838235] seq=79 owd=13.661 ms
[1784628536.898210] seq=82 owd=13.657 ms
[1784628536.918205] seq=83 owd=13.661 ms
[1784628536.938276] seq=84 owd=13.733 ms
[1784628536.958205] seq=85 owd=13.666 ms
[1784628536.978236] seq=86 owd=13.695 ms
[1784628536.998218] seq=87 owd=13.682 ms
[1784628537.078256] seq=91 owd=13.717 ms
[1784628537.098213] seq=92 owd=13.676 ms
[1784628537.138293] seq=94 owd=13.750 ms
[1784628537.198153] seq=97 owd=13.615 ms
[1784628537.218259] seq=98 owd=13.705 ms
[1784628537.238240] seq=99 owd=13.690 ms
[1784628537.258218] seq=100 owd=13.680 ms
[1784628537.318315] seq=103 owd=13.702 ms
[1784628537.338202] seq=104 owd=13.671 ms
[1784628537.358203] seq=105 owd=13.658 ms
[1784628537.378201] seq=106 owd=13.660 ms
[1784628537.398248] seq=107 owd=13.699 ms
[1784628537.418196] seq=108 owd=13.648 ms
[1784628537.438215] seq=109 owd=13.691 ms
[1784628537.458252] seq=110 owd=13.703 ms
[1784628537.478224] seq=111 owd=13.681 ms
[1784628537.518243] seq=113 owd=13.702 ms
[1784628537.558239] seq=115 owd=13.693 ms
[1784628537.638207] seq=119 owd=13.660 ms
[1784628537.658221] seq=120 owd=13.676 ms
[1784628537.678261] seq=121 owd=13.718 ms
[1784628537.698243] seq=122 owd=13.703 ms
[1784628537.718232] seq=123 owd=13.686 ms
[1784628537.738239] seq=124 owd=13.698 ms
[1784628537.778389] seq=126 owd=13.737 ms
[1784628537.818242] seq=128 owd=13.694 ms
[1784628537.838194] seq=129 owd=13.659 ms
[1784628537.858229] seq=130 owd=13.690 ms
[1784628537.918220] seq=133 owd=13.682 ms
[1784628537.938241] seq=134 owd=13.664 ms
[1784628537.958264] seq=135 owd=13.705 ms
[1784628537.978241] seq=136 owd=13.708 ms
[1784628538.018231] seq=138 owd=13.682 ms
[1784628538.038236] seq=139 owd=13.693 ms
[1784628538.058232] seq=140 owd=13.680 ms
[1784628538.078187] seq=141 owd=13.664 ms
[1784628538.098231] seq=142 owd=13.690 ms
[1784628538.118172] seq=143 owd=13.647 ms
[1784628538.138253] seq=144 owd=13.716 ms
[1784628538.158166] seq=145 owd=13.625 ms
[1784628538.178227] seq=146 owd=13.690 ms
[1784628538.198227] seq=147 owd=13.685 ms
[1784628538.218255] seq=148 owd=13.704 ms
[1784628538.238198] seq=149 owd=13.656 ms
[1784628538.258225] seq=150 owd=13.711 ms
[1784628538.358242] seq=155 owd=13.691 ms
[1784628538.378206] seq=156 owd=13.663 ms
[1784628538.398232] seq=157 owd=13.690 ms
[1784628538.478263] seq=161 owd=13.721 ms
[1784628538.498193] seq=162 owd=13.671 ms
[1784628538.518198] seq=163 owd=13.660 ms
[1784628538.558262] seq=165 owd=13.699 ms
[1784628538.618205] seq=168 owd=13.686 ms
[1784628538.678194] seq=171 owd=13.647 ms
[1784628538.718230] seq=173 owd=13.705 ms
[1784628538.838209] seq=179 owd=13.672 ms
[1784628538.858241] seq=180 owd=13.698 ms
[1784628538.878214] seq=181 owd=13.669 ms
[1784628538.898261] seq=182 owd=13.681 ms
[1784628538.938195] seq=184 owd=13.657 ms
[1784628538.958182] seq=185 owd=13.642 ms
[1784628538.978203] seq=186 owd=13.663 ms
[1784628539.038234] seq=189 owd=13.694 ms
[1784628539.058209] seq=190 owd=13.668 ms
[1784628539.078210] seq=191 owd=13.660 ms
[1784628539.098215] seq=192 owd=13.679 ms
[1784628539.118300] seq=193 owd=13.763 ms
[1784628539.158218] seq=195 owd=13.675 ms
[1784628539.198202] seq=197 owd=13.686 ms
[1784628539.218210] seq=198 owd=13.667 ms
[1784628539.298236] seq=202 owd=13.693 ms
[1784628539.318228] seq=203 owd=13.680 ms
[1784628539.358245] seq=205 owd=13.694 ms
[1784628539.378205] seq=206 owd=13.685 ms
[1784628539.398232] seq=207 owd=13.675 ms
[1784628539.478312] seq=211 owd=13.737 ms
[1784628539.498219] seq=212 owd=13.685 ms
[1784628539.538306] seq=214 owd=13.721 ms
[1784628539.578319] seq=216 owd=13.779 ms
[1784628539.598217] seq=217 owd=13.676 ms
[1784628539.618275] seq=218 owd=13.737 ms
[1784628539.638219] seq=219 owd=13.684 ms
[1784628539.658240] seq=220 owd=13.697 ms
[1784628539.678261] seq=221 owd=13.722 ms
[1784628539.698256] seq=222 owd=13.686 ms
[1784628539.718191] seq=223 owd=13.658 ms
[1784628539.738284] seq=224 owd=13.740 ms
[1784628539.758260] seq=225 owd=13.713 ms
[1784628539.798246] seq=227 owd=13.701 ms
[1784628539.858243] seq=230 owd=13.698 ms
[1784628539.898227] seq=232 owd=13.680 ms
[1784628539.938205] seq=234 owd=13.667 ms
[1784628539.998221] seq=237 owd=13.673 ms
[1784628540.018228] seq=238 owd=13.677 ms
[1784628540.038198] seq=239 owd=13.659 ms
[1784628540.098238] seq=242 owd=13.691 ms
[1784628540.118246] seq=243 owd=13.673 ms
[1784628540.138220] seq=244 owd=13.689 ms
[1784628540.178245] seq=246 owd=13.706 ms
[1784628540.198203] seq=247 owd=13.661 ms
[1784628540.238291] seq=249 owd=13.749 ms
[1784628540.278237] seq=251 owd=13.690 ms
[1784628540.298217] seq=252 owd=13.673 ms
[1784628540.318208] seq=253 owd=13.665 ms
[1784628540.378247] seq=256 owd=13.673 ms
[1784628540.398235] seq=257 owd=13.707 ms
[1784628540.418159] seq=258 owd=13.636 ms
[1784628540.458218] seq=260 owd=13.676 ms
[1784628540.477939] seq=261 owd=13.401 ms
[1784628540.498221] seq=262 owd=13.676 ms
