time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,530048059,245759261,122889203
2,663770902,307779555,153894605
3,662567530,307212413,153597966
4,663423265,307607731,153804053
5,663403430,307591745,153796249
6,663137006,307482738,153750573
7,663457352,307628065,153805390
8,662788117,307294577,153652272
9,663655936,307724045,153857952
10,662984796,307428893,153714581
11,663289432,307536260,153777373
12,662713116,307273445,153623972
13,664032001,307894258,153956318
14,663092270,307464897,153732690
15,662835467,307337550,153669204
16,663735023,307735043,153858780
17,663047450,307455651,153723820
18,663770687,307752633,153885595
19,662850640,307348368,153679168
20,663860302,307806424,153895035
21,554178,13997487,33769322
22,0,0,0
23,45739294,19909631,9457774
24,665857529,317148037,157620266
25,662931166,307375102,153723582
26,663537880,307681199,153814430
27,663217663,307545124,153759448
28,663188589,307448338,153778605
29,662922380,307383834,153669844
30,663502055,307645697,153804936
31,663752613,307770868,153867898
32,663251336,307519880,153778282
33,663385733,307600970,153796464
34,662591331,307241108,153615946
35,663394420,307574101,153787346
36,663688530,307719114,153895902
37,662564889,307232023,153571651
38,664003655,307878288,153939386
39,663101164,307438001,153741207
40,662886483,307374941,153670005
41,657008882,304609338,152345241
42,663251282,307511408,153751414
43,662976063,307428612,153687793
44,663332065,307582735,153796249
45,662922326,307393050,153696847
46,663468055,307598999,153813054
47,686671908,332508063,192944091
48,663376723,307573778,153795872
49,662850801,307339367,153660736
50,663600304,307699165,153859157
51,663360849,307581104,153786266
52,663083323,307446734,153724011
53,662370940,307122976,153553274
54,663817160,307786891,153902688
55,663173118,307509203,153750585
56,663537934,307636364,153831804
57,663548604,307670547,153822133
58,662805797,307339313,153661327
59,663627496,307708121,153867737
60,633078806,307118397,180495938
61,0,0,0
62,0,0,0
63,0,0,0
