# OWD receiver: AF41  port=5001
[1784628385.358692] seq=1 owd=0.204 ms
[1784628385.378847] seq=2 owd=0.252 ms
[1784628385.398763] seq=3 owd=0.174 ms
[1784628385.418886] seq=4 owd=0.270 ms
[1784628385.438729] seq=5 owd=0.211 ms
[1784628385.462528] seq=6 owd=4.008 ms
[1784628385.489982] seq=7 owd=11.459 ms
[1784628385.532469] seq=9 owd=13.962 ms
[1784628385.552308] seq=10 owd=13.788 ms
[1784628385.592196] seq=12 owd=13.686 ms
[1784628385.632179] seq=14 owd=13.669 ms
[1784628385.692291] seq=17 owd=13.720 ms
[1784628385.732256] seq=19 owd=13.738 ms
[1784628385.752273] seq=20 owd=13.733 ms
[1784628385.772250] seq=21 owd=13.734 ms
[1784628385.792259] seq=22 owd=13.746 ms
[1784628385.812215] seq=23 owd=13.701 ms
[1784628385.852346] seq=25 owd=13.821 ms
[1784628385.872259] seq=26 owd=13.734 ms
[1784628385.892223] seq=27 owd=13.712 ms
[1784628385.912223] seq=28 owd=13.717 ms
[1784628385.932213] seq=29 owd=13.698 ms
[1784628385.992223] seq=32 owd=13.699 ms
[1784628386.012275] seq=33 owd=13.756 ms
[1784628386.032240] seq=34 owd=13.693 ms
[1784628386.052226] seq=35 owd=13.713 ms
[1784628386.092295] seq=37 owd=13.774 ms
[1784628386.132239] seq=39 owd=13.721 ms
[1784628386.152190] seq=40 owd=13.676 ms
[1784628386.172250] seq=41 owd=13.731 ms
[1784628386.192211] seq=42 owd=13.693 ms
[1784628386.212277] seq=43 owd=13.732 ms
[1784628386.232219] seq=44 owd=13.705 ms
[1784628386.272224] seq=46 owd=13.706 ms
[1784628386.332235] seq=49 owd=13.685 ms
[1784628386.372211] seq=51 owd=13.691 ms
[1784628386.412212] seq=53 owd=13.704 ms
[1784628386.432338] seq=54 owd=13.793 ms
[1784628386.472245] seq=56 owd=13.723 ms
[1784628386.512249] seq=58 owd=13.713 ms
[1784628386.532230] seq=59 owd=13.713 ms
[1784628386.552209] seq=60 owd=13.694 ms
[1784628386.572244] seq=61 owd=13.729 ms
[1784628386.592254] seq=62 owd=13.740 ms
[1784628386.632289] seq=64 owd=13.734 ms
[1784628386.692271] seq=67 owd=13.716 ms
[1784628386.712193] seq=68 owd=13.655 ms
[1784628386.732262] seq=69 owd=13.744 ms
[1784628386.752253] seq=70 owd=13.710 ms
[1784628386.792317] seq=72 owd=13.770 ms
[1784628386.812212] seq=73 owd=13.690 ms
[1784628386.832319] seq=74 owd=13.717 ms
[1784628386.852237] seq=75 owd=13.710 ms
[1784628386.892227] seq=77 owd=13.712 ms
[1784628386.932194] seq=79 owd=13.678 ms
[1784628386.952240] seq=80 owd=13.750 ms
[1784628386.992247] seq=82 owd=13.729 ms
[1784628387.012303] seq=83 owd=13.785 ms
[1784628387.052270] seq=85 owd=13.753 ms
[1784628387.092306] seq=87 owd=13.782 ms
[1784628387.112208] seq=88 owd=13.695 ms
[1784628387.132258] seq=89 owd=13.741 ms
[1784628387.152226] seq=90 owd=13.710 ms
[1784628387.232221] seq=94 owd=13.705 ms
[1784628387.252224] seq=95 owd=13.717 ms
[1784628387.292229] seq=97 owd=13.712 ms
[1784628387.312237] seq=98 owd=13.730 ms
[1784628387.332236] seq=99 owd=13.710 ms
[1784628387.352389] seq=100 owd=13.868 ms
[1784628387.372243] seq=101 owd=13.723 ms
[1784628387.412216] seq=103 owd=13.698 ms
[1784628387.432291] seq=104 owd=13.773 ms
[1784628387.452280] seq=105 owd=13.740 ms
[1784628387.512234] seq=108 owd=13.714 ms
[1784628387.532224] seq=109 owd=13.701 ms
[1784628387.552248] seq=110 owd=13.732 ms
[1784628387.572250] seq=111 owd=13.726 ms
[1784628387.592224] seq=112 owd=13.722 ms
[1784628387.632282] seq=114 owd=13.784 ms
[1784628387.652215] seq=115 owd=13.721 ms
[1784628387.672225] seq=116 owd=13.713 ms
[1784628387.692269] seq=117 owd=13.720 ms
[1784628387.712211] seq=118 owd=13.700 ms
[1784628387.732249] seq=119 owd=13.704 ms
[1784628387.792271] seq=122 owd=13.718 ms
[1784628387.812199] seq=123 owd=13.685 ms
[1784628387.832226] seq=124 owd=13.712 ms
[1784628387.932231] seq=129 owd=13.716 ms
[1784628387.952207] seq=130 owd=13.691 ms
[1784628387.992267] seq=132 owd=13.759 ms
[1784628388.012263] seq=133 owd=13.772 ms
[1784628388.032254] seq=134 owd=13.740 ms
[1784628388.072244] seq=136 owd=13.720 ms
[1784628388.092288] seq=137 owd=13.765 ms
[1784628388.112196] seq=138 owd=13.679 ms
[1784628388.132226] seq=139 owd=13.709 ms
[1784628388.152224] seq=140 owd=13.703 ms
[1784628388.172231] seq=141 owd=13.723 ms
[1784628388.272235] seq=146 owd=13.722 ms
[1784628388.292253] seq=147 owd=13.728 ms
[1784628388.312284] seq=148 owd=13.734 ms
[1784628388.332203] seq=149 owd=13.670 ms
[1784628388.352202] seq=150 owd=13.678 ms
[1784628388.372201] seq=151 owd=13.685 ms
[1784628388.392256] seq=152 owd=13.735 ms
[1784628388.412218] seq=153 owd=13.703 ms
[1784628388.452253] seq=155 owd=13.732 ms
[1784628388.472239] seq=156 owd=13.721 ms
[1784628388.512287] seq=158 owd=13.774 ms
[1784628388.532300] seq=159 owd=13.776 ms
[1784628388.592227] seq=162 owd=13.711 ms
[1784628388.632223] seq=164 owd=13.711 ms
[1784628388.652280] seq=165 owd=13.735 ms
[1784628388.692236] seq=167 owd=13.720 ms
[1784628388.712277] seq=168 owd=13.757 ms
[1784628388.752261] seq=170 owd=13.741 ms
[1784628388.792273] seq=172 owd=13.734 ms
[1784628388.812233] seq=173 owd=13.713 ms
[1784628388.832220] seq=174 owd=13.710 ms
[1784628388.852258] seq=175 owd=13.710 ms
[1784628388.872320] seq=176 owd=13.743 ms
[1784628388.892248] seq=177 owd=13.724 ms
[1784628388.932203] seq=179 owd=13.676 ms
[1784628388.952250] seq=180 owd=13.728 ms
[1784628388.992260] seq=182 owd=13.739 ms
[1784628389.012235] seq=183 owd=13.713 ms
[1784628389.032293] seq=184 owd=13.736 ms
[1784628389.052224] seq=185 owd=13.711 ms
[1784628389.132264] seq=189 owd=13.736 ms
[1784628389.172210] seq=191 owd=13.713 ms
[1784628389.192273] seq=192 owd=13.728 ms
[1784628389.212217] seq=193 owd=13.702 ms
[1784628389.312232] seq=198 owd=13.738 ms
[1784628389.352245] seq=200 owd=13.729 ms
[1784628389.372283] seq=201 owd=13.749 ms
[1784628389.392228] seq=202 owd=13.702 ms
[1784628389.452234] seq=205 owd=13.719 ms
[1784628389.472250] seq=206 owd=13.731 ms
[1784628389.512257] seq=208 owd=13.700 ms
[1784628389.592222] seq=212 owd=13.697 ms
[1784628389.632288] seq=214 owd=13.742 ms
[1784628389.672256] seq=216 owd=13.712 ms
[1784628389.692258] seq=217 owd=13.749 ms
[1784628389.732237] seq=219 owd=13.711 ms
[1784628389.752329] seq=220 owd=13.810 ms
[1784628389.772239] seq=221 owd=13.721 ms
[1784628389.792260] seq=222 owd=13.743 ms
[1784628389.812237] seq=223 owd=13.717 ms
[1784628389.852363] seq=225 owd=13.770 ms
[1784628389.912204] seq=228 owd=13.680 ms
[1784628389.932273] seq=229 owd=13.729 ms
[1784628389.952299] seq=230 owd=13.744 ms
[1784628389.972264] seq=231 owd=13.732 ms
[1784628389.992232] seq=232 owd=13.721 ms
[1784628390.032215] seq=234 owd=13.692 ms
[1784628390.052204] seq=235 owd=13.692 ms
[1784628390.092257] seq=237 owd=13.744 ms
[1784628390.112170] seq=238 owd=13.678 ms
[1784628390.152212] seq=240 owd=13.714 ms
[1784628390.192284] seq=242 owd=13.752 ms
[1784628390.212299] seq=243 owd=13.753 ms
[1784628390.252265] seq=245 owd=13.752 ms
[1784628390.272351] seq=246 owd=13.819 ms
[1784628390.312851] seq=248 owd=14.320 ms
[1784628390.332398] seq=249 owd=13.893 ms
[1784628390.352241] seq=250 owd=13.732 ms
[1784628390.392261] seq=252 owd=13.725 ms
[1784628390.412247] seq=253 owd=13.688 ms
[1784628390.472343] seq=256 owd=13.768 ms
[1784628390.552250] seq=260 owd=13.706 ms
[1784628390.592288] seq=262 owd=13.740 ms
[1784628390.612224] seq=263 owd=13.703 ms
[1784628390.652182] seq=265 owd=13.681 ms
[1784628390.672223] seq=266 owd=13.702 ms
[1784628390.692219] seq=267 owd=13.707 ms
[1784628390.712291] seq=268 owd=13.748 ms
[1784628390.752262] seq=270 owd=13.741 ms
[1784628390.772203] seq=271 owd=13.681 ms
[1784628390.832259] seq=274 owd=13.735 ms
[1784628390.892288] seq=277 owd=13.757 ms
[1784628390.912312] seq=278 owd=13.746 ms
[1784628390.932234] seq=279 owd=13.722 ms
[1784628390.952253] seq=280 owd=13.734 ms
[1784628390.972245] seq=281 owd=13.726 ms
[1784628391.012280] seq=283 owd=13.722 ms
[1784628391.052318] seq=285 owd=13.783 ms
[1784628391.072235] seq=286 owd=13.720 ms
[1784628391.092285] seq=287 owd=13.738 ms
[1784628391.132227] seq=289 owd=13.718 ms
[1784628391.152228] seq=290 owd=13.713 ms
[1784628391.172212] seq=291 owd=13.696 ms
[1784628391.192286] seq=292 owd=13.731 ms
[1784628391.232223] seq=294 owd=13.703 ms
[1784628391.292244] seq=297 owd=13.726 ms
[1784628391.332311] seq=299 owd=13.788 ms
[1784628391.372250] seq=301 owd=13.694 ms
