time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,AF41,27738
1,LER_Ingress,leri-cr1,AF42,54416
1,LER_Ingress,leri-cr1,AF43,23716
1,LER_Ingress,leri-cr2,AF41,0
1,LER_Ingress,leri-cr2,AF42,0
1,LER_Ingress,leri-cr2,AF43,0
1,LER_Ingress,leri-cr3,AF41,0
1,LER_Ingress,leri-cr3,AF42,0
1,LER_Ingress,leri-cr3,AF43,0
2,LER_Ingress,leri-cr1,AF41,38583
2,LER_Ingress,leri-cr1,AF42,74392
2,LER_Ingress,leri-cr1,AF43,37216
2,LER_Ingress,leri-cr2,AF41,0
2,LER_Ingress,leri-cr2,AF42,0
2,LER_Ingress,leri-cr2,AF43,0
2,LER_Ingress,leri-cr3,AF41,0
2,LER_Ingress,leri-cr3,AF42,0
2,LER_Ingress,leri-cr3,AF43,0
3,LER_Ingress,leri-cr1,AF41,38543
3,LER_Ingress,leri-cr1,AF42,74305
3,LER_Ingress,leri-cr1,AF43,37165
3,LER_Ingress,leri-cr2,AF41,0
3,LER_Ingress,leri-cr2,AF42,0
3,LER_Ingress,leri-cr2,AF43,0
3,LER_Ingress,leri-cr3,AF41,0
3,LER_Ingress,leri-cr3,AF42,0
3,LER_Ingress,leri-cr3,AF43,0
4,LER_Ingress,leri-cr1,AF41,38551
4,LER_Ingress,leri-cr1,AF42,74336
4,LER_Ingress,leri-cr1,AF43,37187
4,LER_Ingress,leri-cr2,AF41,0
4,LER_Ingress,leri-cr2,AF42,0
4,LER_Ingress,leri-cr2,AF43,0
4,LER_Ingress,leri-cr3,AF41,0
4,LER_Ingress,leri-cr3,AF42,0
4,LER_Ingress,leri-cr3,AF43,0
5,LER_Ingress,leri-cr1,AF41,38578
5,LER_Ingress,leri-cr1,AF42,74374
5,LER_Ingress,leri-cr1,AF43,37212
5,LER_Ingress,leri-cr2,AF41,0
5,LER_Ingress,leri-cr2,AF42,0
5,LER_Ingress,leri-cr2,AF43,0
5,LER_Ingress,leri-cr3,AF41,0
5,LER_Ingress,leri-cr3,AF42,0
5,LER_Ingress,leri-cr3,AF43,0
6,LER_Ingress,leri-cr1,AF41,38642
6,LER_Ingress,leri-cr1,AF42,74513
6,LER_Ingress,leri-cr1,AF43,37263
6,LER_Ingress,leri-cr2,AF41,0
6,LER_Ingress,leri-cr2,AF42,0
6,LER_Ingress,leri-cr2,AF43,0
6,LER_Ingress,leri-cr3,AF41,0
6,LER_Ingress,leri-cr3,AF42,0
6,LER_Ingress,leri-cr3,AF43,0
7,LER_Ingress,leri-cr1,AF41,38625
7,LER_Ingress,leri-cr1,AF42,74484
7,LER_Ingress,leri-cr1,AF43,37259
7,LER_Ingress,leri-cr2,AF41,0
7,LER_Ingress,leri-cr2,AF42,0
7,LER_Ingress,leri-cr2,AF43,0
7,LER_Ingress,leri-cr3,AF41,0
7,LER_Ingress,leri-cr3,AF42,0
7,LER_Ingress,leri-cr3,AF43,0
8,LER_Ingress,leri-cr1,AF41,38590
8,LER_Ingress,leri-cr1,AF42,74418
8,LER_Ingress,leri-cr1,AF43,37225
8,LER_Ingress,leri-cr2,AF41,0
8,LER_Ingress,leri-cr2,AF42,0
8,LER_Ingress,leri-cr2,AF43,0
8,LER_Ingress,leri-cr3,AF41,0
8,LER_Ingress,leri-cr3,AF42,0
8,LER_Ingress,leri-cr3,AF43,0
9,LER_Ingress,leri-cr1,AF41,38571
9,LER_Ingress,leri-cr1,AF42,74373
9,LER_Ingress,leri-cr1,AF43,37202
9,LER_Ingress,leri-cr2,AF41,0
9,LER_Ingress,leri-cr2,AF42,0
9,LER_Ingress,leri-cr2,AF43,0
9,LER_Ingress,leri-cr3,AF41,0
9,LER_Ingress,leri-cr3,AF42,0
9,LER_Ingress,leri-cr3,AF43,0
10,LER_Ingress,leri-cr1,AF41,38599
10,LER_Ingress,leri-cr1,AF42,74417
10,LER_Ingress,leri-cr1,AF43,37223
10,LER_Ingress,leri-cr2,AF41,0
10,LER_Ingress,leri-cr2,AF42,0
10,LER_Ingress,leri-cr2,AF43,0
10,LER_Ingress,leri-cr3,AF41,0
10,LER_Ingress,leri-cr3,AF42,0
10,LER_Ingress,leri-cr3,AF43,0
11,LER_Ingress,leri-cr1,AF41,38627
11,LER_Ingress,leri-cr1,AF42,74477
11,LER_Ingress,leri-cr1,AF43,37254
11,LER_Ingress,leri-cr2,AF41,0
11,LER_Ingress,leri-cr2,AF42,0
11,LER_Ingress,leri-cr2,AF43,0
11,LER_Ingress,leri-cr3,AF41,0
11,LER_Ingress,leri-cr3,AF42,0
11,LER_Ingress,leri-cr3,AF43,0
12,LER_Ingress,leri-cr1,AF41,38592
12,LER_Ingress,leri-cr1,AF42,74412
12,LER_Ingress,leri-cr1,AF43,37220
12,LER_Ingress,leri-cr2,AF41,0
12,LER_Ingress,leri-cr2,AF42,0
12,LER_Ingress,leri-cr2,AF43,0
12,LER_Ingress,leri-cr3,AF41,0
12,LER_Ingress,leri-cr3,AF42,0
12,LER_Ingress,leri-cr3,AF43,0
13,LER_Ingress,leri-cr1,AF41,38577
13,LER_Ingress,leri-cr1,AF42,74367
13,LER_Ingress,leri-cr1,AF43,37197
13,LER_Ingress,leri-cr2,AF41,0
13,LER_Ingress,leri-cr2,AF42,0
13,LER_Ingress,leri-cr2,AF43,0
13,LER_Ingress,leri-cr3,AF41,0
13,LER_Ingress,leri-cr3,AF42,0
13,LER_Ingress,leri-cr3,AF43,0
14,LER_Ingress,leri-cr1,AF41,38566
14,LER_Ingress,leri-cr1,AF42,74350
14,LER_Ingress,leri-cr1,AF43,37186
