time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,487936889,233240397,121103281
2,663468216,307625518,153822001
3,663394743,307582896,153787400
4,663331942,307573994,153787077
5,662993797,307437787,153714634
6,663172945,307482296,153750734
7,663511358,307645505,153823087
8,663296440,307564768,153769111
9,663340952,307555490,153796249
10,662796957,307312686,153652218
11,663636452,307708067,153840976
12,663011852,307437518,153723528
13,663279840,307509257,153768640
14,663430368,307627300,153805258
15,663457113,307636418,153814215
16,663200013,307509365,153750316
17,663253452,307500656,153759341
18,662850425,307383834,153687739
19,663645408,307672404,153841029
20,662842015,307357799,153669791
21,663744033,307744107,153876908
22,663038372,307429124,153732867
23,663591509,307699434,153831750
24,663376669,307582627,153796195
25,663206501,307529213,153760585
26,662531831,307176552,153597966
27,663842199,307788804,153877147
28,662859695,307366262,153678953
29,663260077,307538223,153778551
30,663573974,307672458,153841137
31,663466284,307618505,153805205
32,662707592,307285683,153643325
33,663939230,307844572,153922582
34,662636013,307267681,153634204
35,663341005,307573886,153778444
36,663636398,307699488,153859103
37,663376478,307573749,153778683
38,663161774,307502278,153760101
39,662707699,307285576,153625323
40,663591444,307654599,153850039
41,662868535,307366531,153678792
42,663815414,307797790,153895089
43,662788117,307294415,153643164
44,663466392,307627677,153823117
45,663537934,307663555,153832181
46,663074722,307464652,153723874
47,663493099,307636472,153814053
48,663190744,307509580,153759532
49,663092593,307437894,153714581
50,663385786,307591422,153805474
51,662993797,307419892,153705472
52,663101164,307473522,153732636
53,663396692,307589783,153795643
54,663537934,307654653,153832235
55,662796903,307312525,153652057
56,663600705,307708360,153849956
57,663636774,307708175,153858565
58,662752274,307268218,153643217
59,663421342,307618774,153795818
60,663492830,307636203,153832073
61,11288192,19065785,36237358
62,0,0,0
63,0,0,0
