# OWD receiver: AF43  port=5003
[1784633667.594544] seq=1 owd=0.079 ms
[1784633667.638695] seq=2 owd=24.154 ms
[1784633667.701357] seq=3 owd=66.859 ms
[1784633667.764152] seq=4 owd=109.655 ms
[1784633667.826870] seq=5 owd=152.375 ms
[1784633667.889779] seq=6 owd=195.289 ms
[1784633667.948260] seq=7 owd=233.768 ms
[1784633667.968233] seq=8 owd=233.743 ms
[1784633668.048254] seq=12 owd=233.788 ms
[1784633668.108225] seq=15 owd=233.736 ms
[1784633668.268372] seq=23 owd=233.871 ms
[1784633668.368452] seq=28 owd=233.939 ms
[1784633668.428356] seq=31 owd=233.878 ms
[1784633668.508368] seq=35 owd=233.872 ms
[1784633668.668443] seq=43 owd=233.952 ms
[1784633668.688315] seq=44 owd=233.828 ms
[1784633668.708287] seq=45 owd=233.817 ms
[1784633669.008435] seq=60 owd=233.948 ms
[1784633669.248491] seq=72 owd=234.010 ms
[1784633669.388499] seq=79 owd=234.007 ms
[1784633669.448359] seq=82 owd=233.858 ms
[1784633669.468260] seq=83 owd=233.773 ms
[1784633669.528351] seq=86 owd=233.860 ms
[1784633669.568185] seq=88 owd=233.710 ms
[1784633669.668316] seq=93 owd=233.824 ms
[1784633669.688296] seq=94 owd=233.801 ms
[1784633669.788247] seq=99 owd=233.756 ms
[1784633669.828359] seq=101 owd=233.874 ms
[1784633669.848213] seq=102 owd=233.723 ms
[1784633669.888196] seq=104 owd=233.698 ms
[1784633669.908187] seq=105 owd=233.678 ms
[1784633669.928121] seq=106 owd=233.633 ms
[1784633669.968165] seq=108 owd=233.680 ms
[1784633670.008138] seq=110 owd=233.631 ms
[1784633670.068057] seq=113 owd=233.578 ms
[1784633670.088093] seq=114 owd=233.605 ms
[1784633670.128140] seq=116 owd=233.655 ms
[1784633670.268368] seq=123 owd=233.882 ms
[1784633670.368390] seq=128 owd=233.902 ms
[1784633670.388290] seq=129 owd=233.796 ms
[1784633670.428399] seq=131 owd=233.864 ms
[1784633670.788446] seq=149 owd=233.948 ms
[1784633670.868438] seq=153 owd=233.961 ms
[1784633670.948354] seq=157 owd=233.871 ms
[1784633670.968297] seq=158 owd=233.757 ms
[1784633671.088322] seq=164 owd=233.837 ms
[1784633671.168377] seq=168 owd=233.864 ms
[1784633671.308441] seq=175 owd=233.928 ms
[1784633671.328380] seq=176 owd=233.891 ms
[1784633671.428349] seq=181 owd=233.846 ms
[1784633671.488297] seq=184 owd=233.808 ms
[1784633671.628375] seq=191 owd=233.888 ms
[1784633671.708273] seq=195 owd=233.787 ms
[1784633671.808301] seq=200 owd=233.827 ms
[1784633671.828265] seq=201 owd=233.780 ms
[1784633671.888340] seq=204 owd=233.819 ms
[1784633671.908299] seq=205 owd=233.806 ms
[1784633671.988286] seq=209 owd=233.770 ms
[1784633672.148399] seq=217 owd=233.904 ms
[1784633672.168306] seq=218 owd=233.808 ms
[1784633672.268394] seq=223 owd=233.886 ms
[1784633672.448385] seq=232 owd=233.886 ms
[1784633672.468306] seq=233 owd=233.811 ms
[1784633672.528331] seq=236 owd=233.841 ms
[1784633672.568262] seq=238 owd=233.789 ms
[1784633672.628282] seq=241 owd=233.792 ms
[1784633672.648147] seq=242 owd=233.658 ms
[1784633672.668096] seq=243 owd=233.609 ms
[1784633672.708200] seq=245 owd=233.682 ms
[1784633672.728079] seq=246 owd=233.596 ms
[1784633672.748062] seq=247 owd=233.567 ms
[1784633672.788085] seq=249 owd=233.598 ms
[1784633672.908194] seq=255 owd=233.701 ms
[1784633672.928220] seq=256 owd=233.733 ms
[1784633673.008323] seq=260 owd=233.826 ms
[1784633673.028243] seq=261 owd=233.747 ms
[1784633673.048171] seq=262 owd=233.676 ms
[1784633673.108215] seq=265 owd=233.715 ms
[1784633673.188168] seq=269 owd=233.677 ms
[1784633673.288326] seq=274 owd=233.823 ms
[1784633673.328235] seq=276 owd=233.742 ms
[1784633673.388317] seq=279 owd=233.844 ms
[1784633673.468314] seq=283 owd=233.825 ms
[1784633673.528326] seq=286 owd=233.839 ms
[1784633673.588296] seq=289 owd=233.806 ms
[1784633673.608232] seq=290 owd=233.754 ms
[1784633673.748292] seq=297 owd=233.791 ms
[1784633673.888398] seq=304 owd=233.909 ms
[1784633673.988451] seq=309 owd=233.971 ms
[1784633674.088305] seq=314 owd=233.835 ms
[1784633674.108320] seq=315 owd=233.828 ms
[1784633674.128378] seq=316 owd=233.857 ms
[1784633674.328301] seq=326 owd=233.804 ms
[1784633674.348333] seq=327 owd=233.845 ms
[1784633674.448385] seq=332 owd=233.891 ms
[1784633674.488281] seq=334 owd=233.791 ms
[1784633674.548252] seq=337 owd=233.761 ms
[1784633674.728431] seq=346 owd=233.937 ms
[1784633674.808464] seq=350 owd=233.943 ms
[1784633674.848309] seq=352 owd=233.821 ms
