time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,515618236,246187984,127595116
2,662824067,307330742,153678630
3,663287077,307546988,153769727
4,663726121,307744215,153876585
5,662922218,307384264,153696740
6,663074660,307446680,153715118
7,663235641,307509418,153759371
8,663376830,307591868,153796249
9,663493099,307645589,153822902
10,663295687,307547394,153769326
11,662922648,307375102,153687954
12,663690296,307735097,153868005
13,663403454,307600778,153805121
14,662447852,307143064,153562692
15,663770579,307788673,153885756
16,662958169,307383996,153706117
17,663287322,307547125,153778121
18,663385625,307591906,153787185
19,663511173,307663394,153832181
20,662806065,307312417,153661343
21,9912652,18314773,35950284
22,0,0,0
23,77,77,77
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,77,77,77
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,35654641,24969870,12458093
41,663520075,307645374,153823225
42,662886537,307374887,153696955
43,663376585,307582651,153778414
44,663457274,307627623,153823225
45,662621053,307230236,153615789
46,663815306,307797725,153894754
47,663493141,307627731,153814215
48,662546218,307196425,153598320
49,663376346,307591745,153796141
50,663665379,307723777,153866953
51,662725594,307294630,153643002
52,663672115,307726087,153859049
53,662850664,307339283,153678977
54,663441590,307616571,153804214
55,663432212,307607731,153804053
56,663349854,307591691,153787131
57,663421396,307600378,153814215
58,663206770,307502290,153742511
59,662949598,307392889,153696901
60,627230553,304592691,179152659
61,0,0,0
62,0,0,0
63,77,77,77
