# OWD receiver: AF43  port=5003
[1784633744.549994] seq=1 owd=0.078 ms
[1784633744.592661] seq=2 owd=22.736 ms
[1784633744.655555] seq=3 owd=65.613 ms
[1784633744.718450] seq=4 owd=108.486 ms
[1784633744.781178] seq=5 owd=151.235 ms
[1784633744.843837] seq=6 owd=193.907 ms
[1784633744.923800] seq=8 owd=233.880 ms
[1784633745.023744] seq=13 owd=233.806 ms
[1784633745.043664] seq=14 owd=233.746 ms
[1784633745.063726] seq=15 owd=233.789 ms
[1784633745.083717] seq=16 owd=233.779 ms
[1784633745.123550] seq=18 owd=233.614 ms
[1784633745.163573] seq=20 owd=233.637 ms
[1784633745.403951] seq=32 owd=234.009 ms
[1784633745.423816] seq=33 owd=233.868 ms
[1784633745.603785] seq=42 owd=233.844 ms
[1784633745.663914] seq=45 owd=233.935 ms
[1784633745.743805] seq=49 owd=233.870 ms
[1784633745.823768] seq=53 owd=233.826 ms
[1784633745.843764] seq=54 owd=233.828 ms
[1784633745.883684] seq=56 owd=233.754 ms
[1784633745.903602] seq=57 owd=233.667 ms
[1784633746.043659] seq=64 owd=233.721 ms
[1784633746.103833] seq=67 owd=233.894 ms
[1784633746.163738] seq=70 owd=233.799 ms
[1784633746.223641] seq=73 owd=233.705 ms
[1784633746.303685] seq=77 owd=233.749 ms
[1784633746.423815] seq=83 owd=233.877 ms
[1784633746.443726] seq=84 owd=233.791 ms
[1784633746.563873] seq=90 owd=233.930 ms
[1784633746.623716] seq=93 owd=233.788 ms
[1784633746.643646] seq=94 owd=233.692 ms
[1784633746.843848] seq=104 owd=233.908 ms
[1784633746.863789] seq=105 owd=233.852 ms
[1784633746.903773] seq=107 owd=233.808 ms
[1784633746.943707] seq=109 owd=233.742 ms
[1784633747.003727] seq=112 owd=233.786 ms
[1784633747.083633] seq=116 owd=233.693 ms
[1784633747.143806] seq=119 owd=233.870 ms
[1784633747.163654] seq=120 owd=233.713 ms
[1784633747.263694] seq=125 owd=233.753 ms
[1784633747.283753] seq=126 owd=233.790 ms
[1784633747.303658] seq=127 owd=233.719 ms
[1784633747.343650] seq=129 owd=233.703 ms
[1784633747.423667] seq=133 owd=233.727 ms
[1784633747.503707] seq=137 owd=233.759 ms
[1784633747.523685] seq=138 owd=233.737 ms
[1784633747.583798] seq=141 owd=233.857 ms
[1784633747.603706] seq=142 owd=233.747 ms
[1784633747.643635] seq=144 owd=233.682 ms
[1784633747.663630] seq=145 owd=233.666 ms
[1784633747.743658] seq=149 owd=233.722 ms
[1784633747.843670] seq=154 owd=233.750 ms
[1784633747.883789] seq=156 owd=233.861 ms
[1784633748.123934] seq=168 owd=233.972 ms
[1784633748.143792] seq=169 owd=233.873 ms
[1784633748.223817] seq=173 owd=233.846 ms
[1784633748.363823] seq=180 owd=233.861 ms
[1784633748.383806] seq=181 owd=233.872 ms
[1784633748.483893] seq=186 owd=233.915 ms
[1784633748.563725] seq=190 owd=233.788 ms
[1784633748.683752] seq=196 owd=233.827 ms
[1784633748.703729] seq=197 owd=233.790 ms
[1784633748.803809] seq=202 owd=233.870 ms
[1784633748.843733] seq=204 owd=233.809 ms
[1784633748.883620] seq=206 owd=233.683 ms
[1784633749.203923] seq=222 owd=233.983 ms
[1784633749.243863] seq=224 owd=233.925 ms
[1784633749.263861] seq=225 owd=233.878 ms
[1784633749.383754] seq=231 owd=233.816 ms
[1784633749.423663] seq=233 owd=233.746 ms
[1784633749.503797] seq=237 owd=233.865 ms
[1784633749.523727] seq=238 owd=233.788 ms
[1784633749.563687] seq=240 owd=233.756 ms
[1784633749.603594] seq=242 owd=233.651 ms
[1784633749.643608] seq=244 owd=233.674 ms
[1784633749.903874] seq=257 owd=233.912 ms
[1784633749.963919] seq=260 owd=233.981 ms
[1784633750.263914] seq=275 owd=233.996 ms
[1784633750.363817] seq=280 owd=233.879 ms
[1784633750.403852] seq=282 owd=233.921 ms
[1784633750.603879] seq=292 owd=233.905 ms
[1784633750.643813] seq=294 owd=233.877 ms
[1784633750.823780] seq=303 owd=233.806 ms
[1784633750.843842] seq=304 owd=233.918 ms
[1784633750.863762] seq=305 owd=233.793 ms
[1784633750.883761] seq=306 owd=233.818 ms
[1784633750.963654] seq=310 owd=233.711 ms
[1784633751.023643] seq=313 owd=233.683 ms
[1784633751.103662] seq=317 owd=233.721 ms
