# OWD receiver: AF41  port=5001
[1784633295.796058] seq=1 owd=0.166 ms
[1784633295.816038] seq=2 owd=0.121 ms
[1784633295.836067] seq=3 owd=0.144 ms
[1784633295.855973] seq=4 owd=0.060 ms
[1784633295.876008] seq=5 owd=0.081 ms
[1784633295.896006] seq=6 owd=0.101 ms
[1784633295.916005] seq=7 owd=0.101 ms
[1784633295.936012] seq=8 owd=0.069 ms
[1784633295.956008] seq=9 owd=0.084 ms
[1784633295.975966] seq=10 owd=0.072 ms
[1784633295.996012] seq=11 owd=0.064 ms
[1784633296.016017] seq=12 owd=0.117 ms
[1784633296.035993] seq=13 owd=0.084 ms
[1784633296.056003] seq=14 owd=0.094 ms
[1784633296.076024] seq=15 owd=0.076 ms
[1784633296.095995] seq=16 owd=0.086 ms
[1784633296.115983] seq=17 owd=0.088 ms
[1784633296.136051] seq=18 owd=0.120 ms
[1784633296.156000] seq=19 owd=0.085 ms
[1784633296.176018] seq=20 owd=0.071 ms
[1784633296.196026] seq=21 owd=0.070 ms
[1784633296.215997] seq=22 owd=0.087 ms
[1784633296.235980] seq=23 owd=0.068 ms
[1784633296.256032] seq=24 owd=0.072 ms
[1784633296.275987] seq=25 owd=0.088 ms
[1784633296.296038] seq=26 owd=0.083 ms
[1784633296.315997] seq=27 owd=0.087 ms
[1784633296.336001] seq=28 owd=0.090 ms
[1784633296.356017] seq=29 owd=0.107 ms
[1784633296.376024] seq=30 owd=0.109 ms
[1784633296.396001] seq=31 owd=0.087 ms
[1784633296.416026] seq=32 owd=0.097 ms
[1784633296.436030] seq=33 owd=0.118 ms
[1784633296.456004] seq=34 owd=0.089 ms
[1784633296.475980] seq=35 owd=0.085 ms
[1784633296.496003] seq=36 owd=0.089 ms
[1784633296.516013] seq=37 owd=0.067 ms
[1784633296.535992] seq=38 owd=0.097 ms
[1784633296.556003] seq=39 owd=0.068 ms
[1784633296.575994] seq=40 owd=0.082 ms
[1784633296.595999] seq=41 owd=0.070 ms
[1784633296.616008] seq=42 owd=0.100 ms
[1784633296.636015] seq=43 owd=0.106 ms
[1784633296.655982] seq=44 owd=0.072 ms
[1784633296.676009] seq=45 owd=0.083 ms
[1784633296.695995] seq=46 owd=0.083 ms
[1784633296.716007] seq=47 owd=0.072 ms
[1784633296.735975] seq=48 owd=0.067 ms
[1784633296.756011] seq=49 owd=0.074 ms
[1784633296.776016] seq=50 owd=0.110 ms
[1784633296.796038] seq=51 owd=0.122 ms
[1784633296.815999] seq=52 owd=0.071 ms
[1784633296.835988] seq=53 owd=0.083 ms
[1784633296.856004] seq=54 owd=0.072 ms
[1784633296.876037] seq=55 owd=0.105 ms
[1784633296.895993] seq=56 owd=0.081 ms
[1784633296.915996] seq=57 owd=0.081 ms
[1784633296.936019] seq=58 owd=0.105 ms
[1784633296.955995] seq=59 owd=0.085 ms
[1784633296.976005] seq=60 owd=0.081 ms
[1784633296.996040] seq=61 owd=0.111 ms
[1784633297.015998] seq=62 owd=0.078 ms
[1784633297.035992] seq=63 owd=0.083 ms
[1784633297.055961] seq=64 owd=0.059 ms
[1784633297.076010] seq=65 owd=0.098 ms
[1784633297.096017] seq=66 owd=0.105 ms
[1784633297.116009] seq=67 owd=0.101 ms
[1784633297.135996] seq=68 owd=0.074 ms
[1784633297.156012] seq=69 owd=0.106 ms
[1784633297.176040] seq=70 owd=0.085 ms
[1784633297.196023] seq=71 owd=0.092 ms
[1784633297.215986] seq=72 owd=0.076 ms
[1784633297.236028] seq=73 owd=0.098 ms
[1784633297.255975] seq=74 owd=0.073 ms
[1784633297.275994] seq=75 owd=0.087 ms
[1784633297.295990] seq=76 owd=0.081 ms
[1784633297.316078] seq=77 owd=0.126 ms
[1784633297.336057] seq=78 owd=0.154 ms
[1784633297.356014] seq=79 owd=0.101 ms
[1784633297.376086] seq=80 owd=0.143 ms
[1784633297.396047] seq=81 owd=0.109 ms
[1784633297.416007] seq=82 owd=0.094 ms
[1784633297.436055] seq=83 owd=0.139 ms
[1784633297.456019] seq=84 owd=0.107 ms
[1784633297.476006] seq=85 owd=0.095 ms
[1784633297.495989] seq=86 owd=0.088 ms
[1784633297.516000] seq=87 owd=0.086 ms
[1784633297.536030] seq=88 owd=0.116 ms
[1784633297.556012] seq=89 owd=0.082 ms
[1784633297.576001] seq=90 owd=0.089 ms
[1784633297.595982] seq=91 owd=0.080 ms
[1784633297.616050] seq=92 owd=0.097 ms
[1784633297.636025] seq=93 owd=0.119 ms
[1784633297.656041] seq=94 owd=0.097 ms
[1784633297.676008] seq=95 owd=0.099 ms
[1784633297.696008] seq=96 owd=0.095 ms
[1784633297.715990] seq=97 owd=0.069 ms
[1784633297.736008] seq=98 owd=0.093 ms
[1784633297.756021] seq=99 owd=0.108 ms
[1784633297.775998] seq=100 owd=0.086 ms
[1784633297.796012] seq=101 owd=0.100 ms
[1784633297.816020] seq=102 owd=0.086 ms
[1784633297.835999] seq=103 owd=0.093 ms
[1784633297.855983] seq=104 owd=0.087 ms
[1784633297.876041] seq=105 owd=0.101 ms
[1784633297.896028] seq=106 owd=0.118 ms
[1784633297.916007] seq=107 owd=0.087 ms
[1784633297.935999] seq=108 owd=0.091 ms
[1784633297.956002] seq=109 owd=0.094 ms
[1784633297.976009] seq=110 owd=0.090 ms
[1784633297.996011] seq=111 owd=0.063 ms
[1784633298.015996] seq=112 owd=0.091 ms
[1784633298.036015] seq=113 owd=0.080 ms
[1784633298.056024] seq=114 owd=0.116 ms
[1784633298.075999] seq=115 owd=0.085 ms
[1784633298.096017] seq=116 owd=0.106 ms
[1784633298.115981] seq=117 owd=0.070 ms
[1784633298.135996] seq=118 owd=0.085 ms
[1784633298.156022] seq=119 owd=0.110 ms
[1784633298.175999] seq=120 owd=0.090 ms
[1784633298.196014] seq=121 owd=0.081 ms
[1784633298.216028] seq=122 owd=0.119 ms
[1784633298.236003] seq=123 owd=0.091 ms
[1784633298.255979] seq=124 owd=0.074 ms
[1784633298.276004] seq=125 owd=0.108 ms
[1784633298.296018] seq=126 owd=0.066 ms
[1784633298.316022] seq=127 owd=0.086 ms
[1784633298.336048] seq=128 owd=0.108 ms
[1784633298.356057] seq=129 owd=0.138 ms
[1784633298.375988] seq=130 owd=0.075 ms
[1784633298.395994] seq=131 owd=0.070 ms
[1784633298.416029] seq=132 owd=0.115 ms
[1784633298.436007] seq=133 owd=0.085 ms
[1784633298.455995] seq=134 owd=0.085 ms
[1784633298.475999] seq=135 owd=0.087 ms
[1784633298.496042] seq=136 owd=0.106 ms
[1784633298.516003] seq=137 owd=0.092 ms
[1784633298.535992] seq=138 owd=0.093 ms
[1784633298.555992] seq=139 owd=0.078 ms
[1784633298.576025] seq=140 owd=0.111 ms
[1784633298.596008] seq=141 owd=0.090 ms
[1784633298.616009] seq=142 owd=0.103 ms
[1784633298.636026] seq=143 owd=0.100 ms
[1784633298.656069] seq=144 owd=0.154 ms
[1784633298.675992] seq=145 owd=0.074 ms
[1784633298.696012] seq=146 owd=0.095 ms
[1784633298.716005] seq=147 owd=0.093 ms
[1784633298.736014] seq=148 owd=0.101 ms
[1784633298.756029] seq=149 owd=0.088 ms
[1784633298.775995] seq=150 owd=0.086 ms
[1784633298.796021] seq=151 owd=0.098 ms
[1784633298.815982] seq=152 owd=0.075 ms
[1784633298.836027] seq=153 owd=0.093 ms
[1784633298.856019] seq=154 owd=0.103 ms
[1784633298.876000] seq=155 owd=0.088 ms
[1784633298.895988] seq=156 owd=0.075 ms
[1784633298.916026] seq=157 owd=0.090 ms
[1784633298.936002] seq=158 owd=0.098 ms
[1784633298.956009] seq=159 owd=0.097 ms
[1784633298.975999] seq=160 owd=0.089 ms
[1784633298.996007] seq=161 owd=0.075 ms
[1784633299.016029] seq=162 owd=0.084 ms
[1784633299.035973] seq=163 owd=0.064 ms
[1784633299.055995] seq=164 owd=0.075 ms
[1784633299.075987] seq=165 owd=0.074 ms
[1784633299.096013] seq=166 owd=0.101 ms
[1784633299.116028] seq=167 owd=0.073 ms
[1784633299.136025] seq=168 owd=0.088 ms
[1784633299.156023] seq=169 owd=0.112 ms
