# OWD receiver: AF41  port=5001
[1784633593.994114] seq=1 owd=0.158 ms
[1784633594.014185] seq=2 owd=0.186 ms
[1784633594.034114] seq=3 owd=0.127 ms
[1784633594.054066] seq=4 owd=0.080 ms
[1784633594.081747] seq=5 owd=7.757 ms
[1784633594.207591] seq=11 owd=13.614 ms
[1784633594.247614] seq=13 owd=13.628 ms
[1784633594.267611] seq=14 owd=13.606 ms
[1784633594.347581] seq=18 owd=13.609 ms
[1784633594.367592] seq=19 owd=13.611 ms
[1784633594.387576] seq=20 owd=13.606 ms
[1784633594.407569] seq=21 owd=13.589 ms
[1784633594.427612] seq=22 owd=13.637 ms
[1784633594.507597] seq=26 owd=13.620 ms
[1784633594.547567] seq=28 owd=13.590 ms
[1784633594.567605] seq=29 owd=13.611 ms
[1784633594.587665] seq=30 owd=13.667 ms
[1784633594.607598] seq=31 owd=13.588 ms
[1784633594.647633] seq=33 owd=13.649 ms
[1784633594.667627] seq=34 owd=13.663 ms
[1784633594.687661] seq=35 owd=13.652 ms
[1784633594.707603] seq=36 owd=13.622 ms
[1784633594.727600] seq=37 owd=13.623 ms
[1784633594.747580] seq=38 owd=13.597 ms
[1784633594.787625] seq=40 owd=13.637 ms
[1784633594.807577] seq=41 owd=13.597 ms
[1784633594.847677] seq=43 owd=13.686 ms
[1784633594.867646] seq=44 owd=13.642 ms
[1784633594.887642] seq=45 owd=13.644 ms
[1784633594.947571] seq=48 owd=13.611 ms
[1784633594.967556] seq=49 owd=13.578 ms
[1784633594.987601] seq=50 owd=13.623 ms
[1784633595.007551] seq=51 owd=13.575 ms
[1784633595.027609] seq=52 owd=13.616 ms
[1784633595.067582] seq=54 owd=13.605 ms
[1784633595.107627] seq=56 owd=13.617 ms
[1784633595.127604] seq=57 owd=13.629 ms
[1784633595.147576] seq=58 owd=13.597 ms
[1784633595.167596] seq=59 owd=13.620 ms
[1784633595.227572] seq=62 owd=13.594 ms
[1784633595.267596] seq=64 owd=13.624 ms
[1784633595.327604] seq=67 owd=13.624 ms
[1784633595.347584] seq=68 owd=13.605 ms
[1784633595.387603] seq=70 owd=13.626 ms
[1784633595.427620] seq=72 owd=13.648 ms
[1784633595.447592] seq=73 owd=13.606 ms
[1784633595.467598] seq=74 owd=13.626 ms
[1784633595.487579] seq=75 owd=13.595 ms
[1784633595.507616] seq=76 owd=13.639 ms
[1784633595.527603] seq=77 owd=13.625 ms
[1784633595.547600] seq=78 owd=13.621 ms
[1784633595.567581] seq=79 owd=13.602 ms
[1784633595.607628] seq=81 owd=13.619 ms
[1784633595.687617] seq=85 owd=13.595 ms
[1784633595.707577] seq=86 owd=13.616 ms
[1784633595.727590] seq=87 owd=13.603 ms
[1784633595.767642] seq=89 owd=13.628 ms
[1784633595.787572] seq=90 owd=13.549 ms
[1784633595.807578] seq=91 owd=13.615 ms
[1784633595.827608] seq=92 owd=13.623 ms
[1784633595.847585] seq=93 owd=13.592 ms
[1784633595.867582] seq=94 owd=13.609 ms
[1784633595.887605] seq=95 owd=13.612 ms
[1784633595.907587] seq=96 owd=13.608 ms
[1784633595.967569] seq=99 owd=13.591 ms
[1784633595.987607] seq=100 owd=13.623 ms
[1784633596.027587] seq=102 owd=13.609 ms
[1784633596.087624] seq=105 owd=13.636 ms
[1784633596.107608] seq=106 owd=13.629 ms
[1784633596.147598] seq=108 owd=13.611 ms
[1784633596.167586] seq=109 owd=13.606 ms
[1784633596.187585] seq=110 owd=13.598 ms
[1784633596.227622] seq=112 owd=13.611 ms
[1784633596.247606] seq=113 owd=13.632 ms
[1784633596.267560] seq=114 owd=13.575 ms
[1784633596.287627] seq=115 owd=13.644 ms
[1784633596.307595] seq=116 owd=13.614 ms
[1784633596.327590] seq=117 owd=13.612 ms
[1784633596.387614] seq=120 owd=13.633 ms
[1784633596.407597] seq=121 owd=13.618 ms
[1784633596.427638] seq=122 owd=13.648 ms
[1784633596.447614] seq=123 owd=13.606 ms
[1784633596.467648] seq=124 owd=13.617 ms
[1784633596.487608] seq=125 owd=13.624 ms
[1784633596.507607] seq=126 owd=13.639 ms
[1784633596.527564] seq=127 owd=13.587 ms
[1784633596.547601] seq=128 owd=13.621 ms
[1784633596.587592] seq=130 owd=13.604 ms
[1784633596.607634] seq=131 owd=13.607 ms
[1784633596.647617] seq=133 owd=13.624 ms
[1784633596.667614] seq=134 owd=13.609 ms
[1784633596.687610] seq=135 owd=13.602 ms
[1784633596.727600] seq=137 owd=13.621 ms
[1784633596.747616] seq=138 owd=13.630 ms
[1784633596.767575] seq=139 owd=13.597 ms
[1784633596.787564] seq=140 owd=13.587 ms
[1784633596.847606] seq=143 owd=13.609 ms
[1784633596.887579] seq=145 owd=13.610 ms
[1784633596.907581] seq=146 owd=13.590 ms
[1784633596.947604] seq=148 owd=13.624 ms
[1784633596.987603] seq=150 owd=13.611 ms
[1784633597.027638] seq=152 owd=13.659 ms
[1784633597.067618] seq=154 owd=13.651 ms
[1784633597.087606] seq=155 owd=13.623 ms
[1784633597.127594] seq=157 owd=13.619 ms
[1784633597.167574] seq=159 owd=13.602 ms
[1784633597.187569] seq=160 owd=13.580 ms
[1784633597.207618] seq=161 owd=13.640 ms
[1784633597.247583] seq=163 owd=13.608 ms
[1784633597.267585] seq=164 owd=13.608 ms
[1784633597.307630] seq=166 owd=13.612 ms
[1784633597.327570] seq=167 owd=13.594 ms
[1784633597.347569] seq=168 owd=13.585 ms
[1784633597.367611] seq=169 owd=13.615 ms
[1784633597.407604] seq=171 owd=13.610 ms
[1784633597.467633] seq=174 owd=13.633 ms
[1784633597.507572] seq=176 owd=13.601 ms
[1784633597.607584] seq=181 owd=13.591 ms
[1784633597.627625] seq=182 owd=13.644 ms
[1784633597.707578] seq=186 owd=13.599 ms
[1784633597.727593] seq=187 owd=13.620 ms
[1784633597.747595] seq=188 owd=13.616 ms
[1784633597.787562] seq=190 owd=13.581 ms
[1784633597.807623] seq=191 owd=13.643 ms
[1784633597.847610] seq=193 owd=13.631 ms
[1784633597.887593] seq=195 owd=13.613 ms
[1784633597.927621] seq=197 owd=13.601 ms
[1784633597.947580] seq=198 owd=13.603 ms
[1784633597.987646] seq=200 owd=13.633 ms
[1784633598.007579] seq=201 owd=13.608 ms
[1784633598.027586] seq=202 owd=13.588 ms
[1784633598.047572] seq=203 owd=13.608 ms
[1784633598.067608] seq=204 owd=13.625 ms
[1784633598.147565] seq=208 owd=13.585 ms
[1784633598.167636] seq=209 owd=13.625 ms
[1784633598.187613] seq=210 owd=13.603 ms
[1784633598.207603] seq=211 owd=13.633 ms
[1784633598.247602] seq=213 owd=13.623 ms
[1784633598.267588] seq=214 owd=13.608 ms
[1784633598.287584] seq=215 owd=13.605 ms
[1784633598.327627] seq=217 owd=13.642 ms
[1784633598.347620] seq=218 owd=13.648 ms
[1784633598.367662] seq=219 owd=13.646 ms
[1784633598.387583] seq=220 owd=13.607 ms
[1784633598.427596] seq=222 owd=13.623 ms
[1784633598.567598] seq=229 owd=13.622 ms
[1784633598.587609] seq=230 owd=13.629 ms
[1784633598.607606] seq=231 owd=13.628 ms
[1784633598.627625] seq=232 owd=13.641 ms
[1784633598.647604] seq=233 owd=13.621 ms
[1784633598.667618] seq=234 owd=13.608 ms
[1784633598.687605] seq=235 owd=13.626 ms
[1784633598.707578] seq=236 owd=13.600 ms
[1784633598.727619] seq=237 owd=13.639 ms
[1784633598.747615] seq=238 owd=13.638 ms
[1784633598.767609] seq=239 owd=13.647 ms
[1784633598.787613] seq=240 owd=13.601 ms
[1784633598.807587] seq=241 owd=13.613 ms
[1784633598.827584] seq=242 owd=13.625 ms
[1784633598.867609] seq=244 owd=13.629 ms
[1784633598.887625] seq=245 owd=13.647 ms
[1784633598.907620] seq=246 owd=13.638 ms
[1784633598.927613] seq=247 owd=13.633 ms
[1784633598.947621] seq=248 owd=13.654 ms
[1784633598.967592] seq=249 owd=13.614 ms
[1784633598.987635] seq=250 owd=13.621 ms
[1784633599.007567] seq=251 owd=13.591 ms
[1784633599.027609] seq=252 owd=13.634 ms
[1784633599.087633] seq=255 owd=13.611 ms
[1784633599.127618] seq=257 owd=13.631 ms
[1784633599.147575] seq=258 owd=13.596 ms
[1784633599.167624] seq=259 owd=13.640 ms
[1784633599.187631] seq=260 owd=13.627 ms
[1784633599.227567] seq=262 owd=13.580 ms
[1784633599.267592] seq=264 owd=13.625 ms
[1784633599.327615] seq=267 owd=13.610 ms
[1784633599.367618] seq=269 owd=13.608 ms
[1784633599.387597] seq=270 owd=13.610 ms
[1784633599.407619] seq=271 owd=13.634 ms
[1784633599.447575] seq=273 owd=13.592 ms
[1784633599.527595] seq=277 owd=13.614 ms
[1784633599.547601] seq=278 owd=13.612 ms
[1784633599.587566] seq=280 owd=13.586 ms
[1784633599.607608] seq=281 owd=13.634 ms
[1784633599.627545] seq=282 owd=13.583 ms
[1784633599.647619] seq=283 owd=13.605 ms
[1784633599.667618] seq=284 owd=13.646 ms
[1784633599.727612] seq=287 owd=13.630 ms
[1784633599.747622] seq=288 owd=13.641 ms
[1784633599.767571] seq=289 owd=13.605 ms
[1784633599.787601] seq=290 owd=13.623 ms
[1784633599.827576] seq=292 owd=13.618 ms
[1784633599.847621] seq=293 owd=13.610 ms
[1784633599.867600] seq=294 owd=13.627 ms
[1784633599.887631] seq=295 owd=13.626 ms
[1784633599.907625] seq=296 owd=13.622 ms
[1784633599.987592] seq=300 owd=13.592 ms
