time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,AF41,31016
1,LER_Ingress,leri-cr1,AF42,60725
1,LER_Ingress,leri-cr1,AF43,26870
1,LER_Ingress,leri-cr2,AF41,0
1,LER_Ingress,leri-cr2,AF42,0
1,LER_Ingress,leri-cr2,AF43,0
1,LER_Ingress,leri-cr3,AF41,0
1,LER_Ingress,leri-cr3,AF42,0
1,LER_Ingress,leri-cr3,AF43,0
2,LER_Ingress,leri-cr1,AF41,38536
2,LER_Ingress,leri-cr1,AF42,74302
2,LER_Ingress,leri-cr1,AF43,37165
2,LER_Ingress,leri-cr2,AF41,0
2,LER_Ingress,leri-cr2,AF42,0
2,LER_Ingress,leri-cr2,AF43,0
2,LER_Ingress,leri-cr3,AF41,0
2,LER_Ingress,leri-cr3,AF42,0
2,LER_Ingress,leri-cr3,AF43,0
3,LER_Ingress,leri-cr1,AF41,38552
3,LER_Ingress,leri-cr1,AF42,74335
3,LER_Ingress,leri-cr1,AF43,37173
3,LER_Ingress,leri-cr2,AF41,0
3,LER_Ingress,leri-cr2,AF42,0
3,LER_Ingress,leri-cr2,AF43,0
3,LER_Ingress,leri-cr3,AF41,0
3,LER_Ingress,leri-cr3,AF42,0
3,LER_Ingress,leri-cr3,AF43,0
4,LER_Ingress,leri-cr1,AF41,38560
4,LER_Ingress,leri-cr1,AF42,74346
4,LER_Ingress,leri-cr1,AF43,37184
4,LER_Ingress,leri-cr2,AF41,0
4,LER_Ingress,leri-cr2,AF42,0
4,LER_Ingress,leri-cr2,AF43,0
4,LER_Ingress,leri-cr3,AF41,0
4,LER_Ingress,leri-cr3,AF42,0
4,LER_Ingress,leri-cr3,AF43,0
5,LER_Ingress,leri-cr1,AF41,38552
5,LER_Ingress,leri-cr1,AF42,74342
5,LER_Ingress,leri-cr1,AF43,37182
5,LER_Ingress,leri-cr2,AF41,0
5,LER_Ingress,leri-cr2,AF42,0
5,LER_Ingress,leri-cr2,AF43,0
5,LER_Ingress,leri-cr3,AF41,0
5,LER_Ingress,leri-cr3,AF42,0
5,LER_Ingress,leri-cr3,AF43,0
6,LER_Ingress,leri-cr1,AF41,38543
6,LER_Ingress,leri-cr1,AF42,74314
6,LER_Ingress,leri-cr1,AF43,37176
6,LER_Ingress,leri-cr2,AF41,0
6,LER_Ingress,leri-cr2,AF42,0
6,LER_Ingress,leri-cr2,AF43,0
6,LER_Ingress,leri-cr3,AF41,0
6,LER_Ingress,leri-cr3,AF42,0
6,LER_Ingress,leri-cr3,AF43,0
7,LER_Ingress,leri-cr1,AF41,38576
7,LER_Ingress,leri-cr1,AF42,74363
7,LER_Ingress,leri-cr1,AF43,37198
7,LER_Ingress,leri-cr2,AF41,0
7,LER_Ingress,leri-cr2,AF42,0
7,LER_Ingress,leri-cr2,AF43,0
7,LER_Ingress,leri-cr3,AF41,0
7,LER_Ingress,leri-cr3,AF42,0
7,LER_Ingress,leri-cr3,AF43,0
9,LER_Ingress,leri-cr1,AF41,38560
9,LER_Ingress,leri-cr1,AF42,74335
9,LER_Ingress,leri-cr1,AF43,37183
9,LER_Ingress,leri-cr2,AF41,0
9,LER_Ingress,leri-cr2,AF42,0
9,LER_Ingress,leri-cr2,AF43,0
9,LER_Ingress,leri-cr3,AF41,0
9,LER_Ingress,leri-cr3,AF42,0
9,LER_Ingress,leri-cr3,AF43,0
10,LER_Ingress,leri-cr1,AF41,38542
10,LER_Ingress,leri-cr1,AF42,74308
10,LER_Ingress,leri-cr1,AF43,37169
10,LER_Ingress,leri-cr2,AF41,0
10,LER_Ingress,leri-cr2,AF42,0
10,LER_Ingress,leri-cr2,AF43,0
10,LER_Ingress,leri-cr3,AF41,0
10,LER_Ingress,leri-cr3,AF42,0
10,LER_Ingress,leri-cr3,AF43,0
11,LER_Ingress,leri-cr1,AF41,38540
11,LER_Ingress,leri-cr1,AF42,74313
11,LER_Ingress,leri-cr1,AF43,37176
11,LER_Ingress,leri-cr2,AF41,0
11,LER_Ingress,leri-cr2,AF42,0
11,LER_Ingress,leri-cr2,AF43,0
11,LER_Ingress,leri-cr3,AF41,0
11,LER_Ingress,leri-cr3,AF42,0
11,LER_Ingress,leri-cr3,AF43,0
12,LER_Ingress,leri-cr1,AF41,38521
12,LER_Ingress,leri-cr1,AF42,74282
12,LER_Ingress,leri-cr1,AF43,37152
12,LER_Ingress,leri-cr2,AF41,0
12,LER_Ingress,leri-cr2,AF42,0
12,LER_Ingress,leri-cr2,AF43,0
12,LER_Ingress,leri-cr3,AF41,0
12,LER_Ingress,leri-cr3,AF42,0
12,LER_Ingress,leri-cr3,AF43,0
13,LER_Ingress,leri-cr1,AF41,38571
13,LER_Ingress,leri-cr1,AF42,74370
13,LER_Ingress,leri-cr1,AF43,37202
13,LER_Ingress,leri-cr2,AF41,0
13,LER_Ingress,leri-cr2,AF42,0
13,LER_Ingress,leri-cr2,AF43,0
13,LER_Ingress,leri-cr3,AF41,0
13,LER_Ingress,leri-cr3,AF42,0
13,LER_Ingress,leri-cr3,AF43,0
14,LER_Ingress,leri-cr1,AF41,38552
14,LER_Ingress,leri-cr1,AF42,74324
14,LER_Ingress,leri-cr1,AF43,37183
14,LER_Ingress,leri-cr2,AF41,0
14,LER_Ingress,leri-cr2,AF42,0
14,LER_Ingress,leri-cr2,AF43,0
14,LER_Ingress,leri-cr3,AF41,0
