# OWD receiver: AF41  port=5001
[1784633369.375058] seq=1 owd=0.129 ms
[1784633369.395236] seq=2 owd=0.137 ms
[1784633369.415058] seq=3 owd=0.112 ms
[1784633369.435090] seq=4 owd=0.127 ms
[1784633369.455090] seq=5 owd=0.133 ms
[1784633369.475061] seq=6 owd=0.108 ms
[1784633369.495114] seq=7 owd=0.161 ms
[1784633369.515265] seq=8 owd=0.123 ms
[1784633369.535042] seq=9 owd=0.083 ms
[1784633369.555069] seq=10 owd=0.117 ms
[1784633369.575118] seq=11 owd=0.126 ms
[1784633369.595097] seq=12 owd=0.129 ms
[1784633369.615073] seq=13 owd=0.123 ms
[1784633369.635060] seq=14 owd=0.114 ms
[1784633369.655066] seq=15 owd=0.113 ms
[1784633369.675054] seq=16 owd=0.104 ms
[1784633369.695055] seq=17 owd=0.101 ms
[1784633369.715074] seq=18 owd=0.123 ms
[1784633369.735034] seq=19 owd=0.087 ms
[1784633369.755011] seq=20 owd=0.078 ms
[1784633369.775028] seq=21 owd=0.074 ms
[1784633369.795056] seq=22 owd=0.084 ms
[1784633369.815018] seq=23 owd=0.074 ms
[1784633369.835050] seq=24 owd=0.118 ms
[1784633369.855067] seq=25 owd=0.112 ms
[1784633369.875038] seq=26 owd=0.080 ms
[1784633369.895035] seq=27 owd=0.088 ms
[1784633369.915015] seq=28 owd=0.071 ms
[1784633369.935069] seq=29 owd=0.118 ms
[1784633369.955040] seq=30 owd=0.090 ms
[1784633369.975003] seq=31 owd=0.069 ms
[1784633369.995038] seq=32 owd=0.094 ms
[1784633370.015048] seq=33 owd=0.100 ms
[1784633370.035048] seq=34 owd=0.100 ms
[1784633370.055049] seq=35 owd=0.098 ms
[1784633370.075084] seq=36 owd=0.104 ms
[1784633370.095018] seq=37 owd=0.067 ms
[1784633370.115088] seq=38 owd=0.108 ms
[1784633370.135081] seq=39 owd=0.134 ms
[1784633370.155008] seq=40 owd=0.066 ms
[1784633370.175032] seq=41 owd=0.091 ms
[1784633370.195045] seq=42 owd=0.090 ms
[1784633370.215083] seq=43 owd=0.116 ms
[1784633370.235053] seq=44 owd=0.091 ms
[1784633370.255085] seq=45 owd=0.127 ms
[1784633370.275015] seq=46 owd=0.084 ms
[1784633370.295093] seq=47 owd=0.146 ms
[1784633370.315053] seq=48 owd=0.084 ms
[1784633370.335057] seq=49 owd=0.124 ms
[1784633370.355076] seq=50 owd=0.132 ms
[1784633370.375065] seq=51 owd=0.118 ms
[1784633370.395015] seq=52 owd=0.066 ms
[1784633370.415014] seq=53 owd=0.055 ms
[1784633370.435019] seq=54 owd=0.074 ms
[1784633370.455031] seq=55 owd=0.084 ms
[1784633370.475039] seq=56 owd=0.093 ms
[1784633370.495047] seq=57 owd=0.093 ms
[1784633370.515043] seq=58 owd=0.093 ms
[1784633370.535064] seq=59 owd=0.085 ms
[1784633370.555034] seq=60 owd=0.088 ms
[1784633370.575048] seq=61 owd=0.101 ms
[1784633370.595073] seq=62 owd=0.123 ms
[1784633370.615039] seq=63 owd=0.091 ms
[1784633370.635036] seq=64 owd=0.087 ms
[1784633370.655054] seq=65 owd=0.104 ms
[1784633370.675034] seq=66 owd=0.086 ms
[1784633370.695061] seq=67 owd=0.116 ms
[1784633370.715075] seq=68 owd=0.119 ms
[1784633370.735055] seq=69 owd=0.106 ms
[1784633370.755065] seq=70 owd=0.107 ms
[1784633370.775054] seq=71 owd=0.078 ms
[1784633370.795043] seq=72 owd=0.107 ms
[1784633370.815089] seq=73 owd=0.135 ms
[1784633370.835034] seq=74 owd=0.085 ms
[1784633370.855041] seq=75 owd=0.093 ms
[1784633370.875090] seq=76 owd=0.136 ms
[1784633370.895069] seq=77 owd=0.125 ms
[1784633370.915081] seq=78 owd=0.098 ms
[1784633370.935017] seq=79 owd=0.077 ms
[1784633370.955078] seq=80 owd=0.121 ms
[1784633370.975011] seq=81 owd=0.065 ms
[1784633370.995063] seq=82 owd=0.113 ms
[1784633371.015077] seq=83 owd=0.121 ms
[1784633371.035050] seq=84 owd=0.115 ms
[1784633371.055057] seq=85 owd=0.070 ms
[1784633371.075029] seq=86 owd=0.084 ms
[1784633371.095049] seq=87 owd=0.086 ms
[1784633371.115076] seq=88 owd=0.122 ms
[1784633371.135038] seq=89 owd=0.088 ms
[1784633371.155076] seq=90 owd=0.118 ms
[1784633371.175077] seq=91 owd=0.117 ms
