# OWD receiver: AF42  port=5002
[1784633446.860295] seq=1 owd=0.171 ms
[1784633446.880230] seq=2 owd=0.081 ms
[1784633446.900286] seq=3 owd=0.138 ms
[1784633446.920230] seq=4 owd=0.080 ms
[1784633447.045554] seq=5 owd=105.397 ms
[1784633447.405478] seq=17 owd=225.348 ms
[1784633447.425176] seq=18 owd=224.985 ms
[1784633447.805200] seq=37 owd=225.050 ms
[1784633448.125032] seq=53 owd=224.878 ms
[1784633448.225251] seq=58 owd=225.108 ms
[1784633448.605235] seq=77 owd=225.091 ms
[1784633448.745149] seq=84 owd=224.997 ms
[1784633448.965039] seq=95 owd=224.897 ms
[1784633449.184947] seq=106 owd=224.808 ms
[1784633449.585195] seq=126 owd=225.063 ms
[1784633449.745120] seq=134 owd=224.943 ms
[1784633449.905344] seq=142 owd=225.174 ms
[1784633449.965162] seq=145 owd=225.019 ms
[1784633450.265214] seq=160 owd=225.054 ms
[1784633450.364998] seq=165 owd=224.848 ms
[1784633450.685255] seq=181 owd=225.128 ms
[1784633450.905055] seq=192 owd=224.909 ms
[1784633450.924932] seq=193 owd=224.783 ms
[1784633451.264975] seq=210 owd=224.832 ms
[1784633451.645314] seq=229 owd=225.138 ms
[1784633451.745267] seq=234 owd=225.117 ms
[1784633451.965070] seq=245 owd=224.924 ms
[1784633452.065023] seq=250 owd=224.875 ms
[1784633452.365161] seq=265 owd=225.017 ms
[1784633452.465100] seq=270 owd=224.957 ms
[1784633452.685254] seq=281 owd=225.107 ms
[1784633453.225241] seq=308 owd=225.091 ms
[1784633453.325146] seq=313 owd=224.986 ms
[1784633453.345074] seq=314 owd=224.926 ms
[1784633453.484959] seq=321 owd=224.808 ms
[1784633453.705042] seq=332 owd=224.898 ms
[1784633453.965226] seq=345 owd=225.078 ms
[1784633454.405204] seq=367 owd=225.062 ms
[1784633454.484405] seq=371 owd=224.241 ms
[1784633454.564934] seq=375 owd=224.785 ms
[1784633454.705009] seq=382 owd=224.866 ms
[1784633454.905064] seq=392 owd=224.903 ms
[1784633455.145303] seq=404 owd=225.177 ms
[1784633455.445220] seq=419 owd=225.067 ms
[1784633455.925446] seq=443 owd=225.261 ms
[1784633455.964963] seq=445 owd=224.815 ms
[1784633456.185050] seq=456 owd=224.898 ms
[1784633456.324875] seq=463 owd=224.687 ms
[1784633456.925214] seq=493 owd=225.087 ms
[1784633456.985237] seq=496 owd=225.099 ms
[1784633457.025128] seq=498 owd=225.001 ms
[1784633457.064873] seq=500 owd=224.725 ms
[1784633457.184932] seq=506 owd=224.783 ms
[1784633457.405194] seq=517 owd=225.049 ms
