time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,750335670,71482279,40322406
2,1005225892,79951992,39980581
3,1005064681,79943035,39962615
4,1004527310,79889352,39953551
5,1004428792,79907264,39944810
6,1004375187,79871571,39944876
7,1004921382,79925123,39962776
8,1005358496,79960037,39984636
9,1004375055,79889298,39944810
10,1004464617,79898254,39944703
11,1004410934,79889513,39944703
12,1004518354,79907318,39944864
13,1004831820,79916113,39962776
14,1004795996,79978860,39989537
15,1004270403,79809806,39904903
16,1005440972,79970143,39989776
17,1004742258,79907318,39944756
18,1004285494,79889406,39953766
19,1005421252,79960037,39975617
20,1003945159,79862591,39935800
21,5343256,18324889,36022059
22,0,0,0
23,202486061,31637631,14593094
24,1005333366,79960786,39980527
25,1003787251,79836744,39913797
26,1005055856,79943167,39971703
27,1004234614,79872437,39940692
28,1004840776,79943197,39962711
29,1004410880,79880450,39944810
30,1005297595,79960840,39980635
31,1005073637,79943089,39962669
32,1004028827,79854435,39940692
33,1005243804,79951884,39971464
34,1004118300,79872384,39931799
35,1004771504,79908065,39958640
36,1005019978,79952284,39962747
37,1004482529,79880288,39953605
38,1004482529,79907372,39953605
39,1005315496,79943035,39971517
40,1004446758,79889352,39944864
41,994782992,79110219,39550739
42,1004037775,115688549,84390859
43,1005306498,79961055,39980527
44,1004538875,79908280,39949747
45,1005091549,79952099,39971786
46,1004172061,79899303,39940716
47,1004804952,79889340,39953820
48,1005342322,79951776,39980420
49,1004563189,79907211,39953754
50,1004813908,79916167,39962669
51,1004509398,79889191,39935800
52,1004778083,79916436,39962561
53,1003867777,79863436,39922798
54,1005019954,79943035,39971625
55,1004163114,79872407,39940985
56,1005770891,79977860,39993493
57,1004742258,79925231,39953820
58,1003769410,79827755,39914065
59,1005136330,79996719,39998547
60,1004744340,79872384,39940746
61,715674,17878320,35728268
62,0,0,0
63,0,0,0
