time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,817533443,77085777,42941109
2,1003751462,79845488,39923036
3,1004822918,79925015,39953713
4,1004751215,79916436,39962938
5,1004297245,79890439,39949639
6,1005351320,79943197,39971571
7,1005145364,79943113,39971810
8,1003442005,79820071,39910035
9,1004538821,79890493,39941014
10,1005566227,79996826,39989591
11,1004661653,79907157,39962615
12,1004565717,79899225,39949639
13,1004545223,79898254,39944864
14,1004894513,79916274,39962776
15,1005100505,79961109,39980527
16,1004966163,79925177,39962561
17,1004545354,79898225,39944996
18,1004993031,79925338,39971679
19,1004661653,79916113,39953713
20,1004252509,79890439,39931691
21,1004377824,79872222,39941138
22,1004760171,79916436,39971505
23,1004948250,79925177,39962723
24,1004679565,79898189,39953874
25,1004154159,79872507,39931745
26,1005234902,79960948,39980366
27,1004494163,79908250,39949717
28,1004858689,79907264,39953766
29,1005001988,79933918,39971571
30,1004118300,79872276,39931691
31,1005358550,79977752,39984582
32,1004509398,79871482,39945079
33,1004234614,79890439,39931906
34,1004760171,79898416,39962723
35,1004136195,79881331,39940746
36,1004619400,79908173,39949800
37,1005002065,79934049,39962854
38,1004975119,79934133,39971679
39,1004538821,79899225,39940907
40,1004948346,79934079,39971464
41,1004610400,79890547,39949854
42,1005190067,79952099,39971786
43,1004180931,79872652,39940788
44,1005100559,79943089,39971786
45,1004795996,79925069,39953659
46,1003572517,79809848,39913904
47,1005914410,80022925,40002590
48,1003653042,79827862,39922798
49,1005387157,79952099,39980527
50,1004377771,79899333,39940746
51,1004822864,79925123,39953766
52,1004903470,79934133,39971679
53,1004840776,79907211,39953605
54,1004643794,79907211,39953820
55,1004616872,79907372,39953766
56,1004984153,79934211,39980498
57,1004261456,79863490,39923066
58,1004279351,79881223,39940800
59,1004679619,79916113,39962776
60,930993255,91899049,72868047
61,0,0,0
62,0,0,0
63,0,0,0
