# OWD receiver: AF41  port=5001
[1784633667.536146] seq=1 owd=0.113 ms
[1784633667.556189] seq=2 owd=0.131 ms
[1784633667.576225] seq=3 owd=0.164 ms
[1784633667.596122] seq=4 owd=0.061 ms
[1784633667.622739] seq=5 owd=6.684 ms
[1784633667.649662] seq=6 owd=13.599 ms
[1784633667.669653] seq=7 owd=13.596 ms
[1784633667.689758] seq=8 owd=13.701 ms
[1784633667.729681] seq=10 owd=13.622 ms
[1784633667.789653] seq=13 owd=13.597 ms
[1784633667.829675] seq=15 owd=13.623 ms
[1784633667.849625] seq=16 owd=13.589 ms
[1784633667.869672] seq=17 owd=13.616 ms
[1784633667.909657] seq=19 owd=13.578 ms
[1784633667.929706] seq=20 owd=13.620 ms
[1784633667.949646] seq=21 owd=13.595 ms
[1784633667.969654] seq=22 owd=13.600 ms
[1784633667.989708] seq=23 owd=13.618 ms
[1784633668.009630] seq=24 owd=13.583 ms
[1784633668.029674] seq=25 owd=13.629 ms
[1784633668.089686] seq=28 owd=13.622 ms
[1784633668.109643] seq=29 owd=13.586 ms
[1784633668.209709] seq=34 owd=13.640 ms
[1784633668.229644] seq=35 owd=13.601 ms
[1784633668.249648] seq=36 owd=13.575 ms
[1784633668.269626] seq=37 owd=13.576 ms
[1784633668.289704] seq=38 owd=13.627 ms
[1784633668.329713] seq=40 owd=13.636 ms
[1784633668.349663] seq=41 owd=13.601 ms
[1784633668.389693] seq=43 owd=13.635 ms
[1784633668.409678] seq=44 owd=13.616 ms
[1784633668.429681] seq=45 owd=13.605 ms
[1784633668.449660] seq=46 owd=13.608 ms
[1784633668.469733] seq=47 owd=13.650 ms
[1784633668.489642] seq=48 owd=13.592 ms
[1784633668.529660] seq=50 owd=13.604 ms
[1784633668.549632] seq=51 owd=13.593 ms
[1784633668.589672] seq=53 owd=13.607 ms
[1784633668.609664] seq=54 owd=13.599 ms
[1784633668.629712] seq=55 owd=13.635 ms
[1784633668.669688] seq=57 owd=13.623 ms
[1784633668.689690] seq=58 owd=13.625 ms
[1784633668.729676] seq=60 owd=13.620 ms
[1784633668.749657] seq=61 owd=13.581 ms
[1784633668.769664] seq=62 owd=13.597 ms
[1784633668.789689] seq=63 owd=13.626 ms
[1784633668.809685] seq=64 owd=13.632 ms
[1784633668.909668] seq=69 owd=13.613 ms
[1784633668.929658] seq=70 owd=13.591 ms
[1784633668.949717] seq=71 owd=13.629 ms
[1784633669.009679] seq=74 owd=13.613 ms
[1784633669.049711] seq=76 owd=13.629 ms
[1784633669.069695] seq=77 owd=13.626 ms
[1784633669.169678] seq=82 owd=13.614 ms
[1784633669.189669] seq=83 owd=13.580 ms
[1784633669.209657] seq=84 owd=13.598 ms
[1784633669.229647] seq=85 owd=13.591 ms
[1784633669.269683] seq=87 owd=13.623 ms
[1784633669.289648] seq=88 owd=13.592 ms
[1784633669.309721] seq=89 owd=13.633 ms
[1784633669.329661] seq=90 owd=13.599 ms
[1784633669.349678] seq=91 owd=13.606 ms
[1784633669.369653] seq=92 owd=13.597 ms
[1784633669.429680] seq=95 owd=13.615 ms
[1784633669.449672] seq=96 owd=13.603 ms
[1784633669.469702] seq=97 owd=13.639 ms
[1784633669.529698] seq=100 owd=13.649 ms
[1784633669.549694] seq=101 owd=13.638 ms
[1784633669.589661] seq=103 owd=13.620 ms
[1784633669.629649] seq=105 owd=13.594 ms
[1784633669.669614] seq=107 owd=13.557 ms
[1784633669.709674] seq=109 owd=13.620 ms
[1784633669.729693] seq=110 owd=13.614 ms
[1784633669.749656] seq=111 owd=13.600 ms
[1784633669.769654] seq=112 owd=13.595 ms
[1784633669.789689] seq=113 owd=13.629 ms
[1784633669.809642] seq=114 owd=13.598 ms
[1784633669.829663] seq=115 owd=13.607 ms
[1784633669.849662] seq=116 owd=13.599 ms
[1784633669.889673] seq=118 owd=13.613 ms
[1784633669.909668] seq=119 owd=13.608 ms
[1784633669.929655] seq=120 owd=13.597 ms
[1784633670.009669] seq=124 owd=13.619 ms
[1784633670.029665] seq=125 owd=13.598 ms
[1784633670.049692] seq=126 owd=13.627 ms
