# OWD receiver: AF42  port=5002
[1784633744.519190] seq=1 owd=0.181 ms
[1784633744.539200] seq=2 owd=0.148 ms
[1784633744.559121] seq=3 owd=0.081 ms
[1784633744.623838] seq=4 owd=44.784 ms
[1784633744.737594] seq=9 owd=58.559 ms
[1784633744.897561] seq=17 owd=58.519 ms
[1784633745.017592] seq=23 owd=58.549 ms
[1784633745.037528] seq=24 owd=58.483 ms
[1784633745.197575] seq=32 owd=58.516 ms
[1784633745.217555] seq=33 owd=58.524 ms
[1784633745.297588] seq=37 owd=58.544 ms
[1784633745.337568] seq=39 owd=58.529 ms
[1784633745.357575] seq=40 owd=58.535 ms
[1784633745.577591] seq=51 owd=58.547 ms
[1784633745.637557] seq=54 owd=58.526 ms
[1784633745.737589] seq=59 owd=58.548 ms
[1784633745.757567] seq=60 owd=58.533 ms
[1784633745.917582] seq=68 owd=58.538 ms
[1784633745.937550] seq=69 owd=58.522 ms
[1784633745.977541] seq=71 owd=58.472 ms
[1784633745.997581] seq=72 owd=58.529 ms
[1784633746.017529] seq=73 owd=58.490 ms
[1784633746.097568] seq=77 owd=58.522 ms
[1784633746.157587] seq=80 owd=58.523 ms
[1784633746.177568] seq=81 owd=58.521 ms
[1784633746.277588] seq=86 owd=58.540 ms
[1784633746.297570] seq=87 owd=58.506 ms
[1784633746.357561] seq=90 owd=58.533 ms
[1784633746.437626] seq=94 owd=58.582 ms
[1784633746.497739] seq=97 owd=58.522 ms
[1784633746.557578] seq=100 owd=58.518 ms
[1784633746.577538] seq=101 owd=58.496 ms
[1784633746.597503] seq=102 owd=58.455 ms
[1784633746.657612] seq=105 owd=58.572 ms
[1784633746.717611] seq=108 owd=58.564 ms
[1784633746.997573] seq=122 owd=58.530 ms
[1784633747.177556] seq=131 owd=58.503 ms
[1784633747.337610] seq=139 owd=58.593 ms
[1784633747.397580] seq=142 owd=58.544 ms
[1784633747.477639] seq=146 owd=58.562 ms
[1784633747.537601] seq=149 owd=58.542 ms
[1784633747.657592] seq=155 owd=58.558 ms
[1784633747.697611] seq=157 owd=58.573 ms
[1784633747.817600] seq=163 owd=58.528 ms
[1784633747.837596] seq=164 owd=58.551 ms
[1784633747.917612] seq=168 owd=58.546 ms
[1784633747.937596] seq=169 owd=58.510 ms
[1784633747.957542] seq=170 owd=58.499 ms
[1784633747.977554] seq=171 owd=58.494 ms
[1784633748.037637] seq=174 owd=58.563 ms
[1784633748.057558] seq=175 owd=58.516 ms
[1784633748.117580] seq=178 owd=58.539 ms
[1784633748.157561] seq=180 owd=58.510 ms
[1784633748.277602] seq=186 owd=58.560 ms
[1784633748.297570] seq=187 owd=58.523 ms
[1784633748.357562] seq=190 owd=58.532 ms
[1784633748.377616] seq=191 owd=58.564 ms
[1784633748.557582] seq=200 owd=58.532 ms
[1784633748.597549] seq=202 owd=58.504 ms
[1784633748.657582] seq=205 owd=58.532 ms
[1784633748.677569] seq=206 owd=58.498 ms
[1784633748.877645] seq=216 owd=58.586 ms
[1784633748.917620] seq=218 owd=58.587 ms
[1784633748.957540] seq=220 owd=58.491 ms
[1784633748.977576] seq=221 owd=58.532 ms
[1784633748.997514] seq=222 owd=58.479 ms
[1784633749.217597] seq=233 owd=58.546 ms
[1784633749.277572] seq=236 owd=58.532 ms
[1784633749.358144] seq=240 owd=58.578 ms
[1784633749.397583] seq=242 owd=58.522 ms
[1784633749.417553] seq=243 owd=58.511 ms
[1784633749.437564] seq=244 owd=58.515 ms
