time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,535566659,255170709,132158125
2,663930426,307835607,153922636
3,662627496,307249625,153616483
4,663841044,307799908,153904705
5,662529184,307187102,153589319
6,663932137,307842864,153930454
7,663090233,307475368,153733501
8,663215619,307502183,153742619
9,663394796,307591691,153796302
10,663161613,307484109,153751414
11,663009519,307421416,153715912
12,663493260,307654545,153805043
13,663342955,307553940,153795267
14,662824121,307339205,153660951
15,663725798,307743677,153876639
16,662850396,307348445,153670244
17,662877482,307366423,153670167
18,663672330,307699219,153867844
19,663305019,307573994,153787292
20,663421557,307591960,153787239
21,8034696,17465166,35556587
22,0,0,0
23,9958304,6433082,1789452
24,667236996,315007619,157521964
25,662877751,307339044,153660843
26,663484113,307636657,153823195
27,663215565,307511085,153760370
28,663358649,307591637,153787077
29,662886698,307366101,153679168
30,663173010,307473361,153741584
31,663403484,307609926,153814322
32,663331942,307564661,153778229
33,663511011,307654599,153823386
34,663038425,307419892,153705687
35,663197438,307502075,153760585
36,663260047,307529021,153769189
37,663457167,307645589,153814107
38,662895645,307357691,153669898
39,663179741,307484217,153759940
40,663358703,307582938,153787011
41,663251121,307547017,153760209
42,663403806,307583057,153796087
43,679143715,337080125,194460742
44,663546890,307663340,153840760
45,662824067,307348583,153661112
46,663466254,307618637,153814185
47,663492992,307645643,153823225
48,662442113,307150005,153570721
49,663878376,307815649,153912786
50,663208800,307527420,153759639
51,662716646,307249840,153634055
52,663940693,307878450,153939547
53,663511011,307636525,153813731
54,663403752,307592013,153796033
55,662716754,307285898,153643379
56,663850195,307809112,153904729
57,662958115,307384334,153688061
58,662877697,307357154,153678953
59,663358488,307591637,153795980
60,631995397,306805012,180227347
61,0,0,0
62,0,0,0
63,0,0,0
