# OWD receiver: AF42  port=5002
[1784633594.018839] seq=1 owd=0.163 ms
[1784633594.038859] seq=2 owd=0.153 ms
[1784633594.058780] seq=3 owd=0.079 ms
[1784633594.123015] seq=4 owd=44.307 ms
[1784633594.177227] seq=6 owd=58.526 ms
[1784633594.197160] seq=7 owd=58.460 ms
[1784633594.277245] seq=11 owd=58.545 ms
[1784633594.377271] seq=16 owd=58.546 ms
[1784633594.437229] seq=19 owd=58.533 ms
[1784633594.457238] seq=20 owd=58.545 ms
[1784633594.477158] seq=21 owd=58.470 ms
[1784633594.737231] seq=34 owd=58.538 ms
[1784633594.877222] seq=41 owd=58.525 ms
[1784633594.917209] seq=43 owd=58.525 ms
[1784633594.937199] seq=44 owd=58.519 ms
[1784633594.957191] seq=45 owd=58.459 ms
[1784633595.037241] seq=49 owd=58.563 ms
[1784633595.057215] seq=50 owd=58.532 ms
[1784633595.077149] seq=51 owd=58.453 ms
[1784633595.117274] seq=53 owd=58.555 ms
[1784633595.197299] seq=57 owd=58.564 ms
[1784633595.237294] seq=59 owd=58.572 ms
[1784633595.357248] seq=65 owd=58.560 ms
[1784633595.457236] seq=70 owd=58.536 ms
[1784633595.537247] seq=74 owd=58.531 ms
[1784633595.577232] seq=76 owd=58.530 ms
[1784633595.597162] seq=77 owd=58.467 ms
[1784633595.697234] seq=82 owd=58.533 ms
[1784633595.717250] seq=83 owd=58.537 ms
[1784633595.817255] seq=88 owd=58.555 ms
[1784633595.857235] seq=90 owd=58.537 ms
[1784633595.897203] seq=92 owd=58.499 ms
[1784633595.977240] seq=96 owd=58.544 ms
[1784633595.997164] seq=97 owd=58.461 ms
[1784633596.017185] seq=98 owd=58.483 ms
[1784633596.117242] seq=103 owd=58.542 ms
[1784633596.137217] seq=104 owd=58.517 ms
[1784633596.157167] seq=105 owd=58.466 ms
[1784633596.177268] seq=106 owd=58.567 ms
[1784633596.277250] seq=111 owd=58.550 ms
[1784633596.397258] seq=117 owd=58.560 ms
[1784633596.557247] seq=125 owd=58.541 ms
[1784633596.957222] seq=145 owd=58.522 ms
[1784633597.097248] seq=152 owd=58.519 ms
[1784633597.117220] seq=153 owd=58.525 ms
[1784633597.177262] seq=156 owd=58.530 ms
[1784633597.197208] seq=157 owd=58.524 ms
[1784633597.377233] seq=166 owd=58.529 ms
[1784633597.397228] seq=167 owd=58.526 ms
[1784633597.417164] seq=168 owd=58.467 ms
[1784633597.677233] seq=181 owd=58.534 ms
[1784633597.757257] seq=185 owd=58.528 ms
[1784633597.817251] seq=188 owd=58.544 ms
[1784633597.857226] seq=190 owd=58.542 ms
[1784633597.877202] seq=191 owd=58.503 ms
[1784633597.937251] seq=194 owd=58.542 ms
[1784633597.977172] seq=196 owd=58.472 ms
[1784633598.377261] seq=216 owd=58.551 ms
[1784633598.417219] seq=218 owd=58.526 ms
[1784633598.477243] seq=221 owd=58.523 ms
[1784633598.497196] seq=222 owd=58.496 ms
[1784633598.517232] seq=223 owd=58.526 ms
[1784633598.657240] seq=230 owd=58.539 ms
[1784633598.677173] seq=231 owd=58.475 ms
[1784633598.697206] seq=232 owd=58.501 ms
[1784633598.777242] seq=236 owd=58.517 ms
[1784633598.957271] seq=245 owd=58.574 ms
[1784633598.977228] seq=246 owd=58.532 ms
[1784633598.997151] seq=247 owd=58.463 ms
[1784633599.077240] seq=251 owd=58.542 ms
[1784633599.117174] seq=253 owd=58.474 ms
[1784633599.177247] seq=256 owd=58.550 ms
[1784633599.217235] seq=258 owd=58.508 ms
[1784633599.337194] seq=264 owd=58.510 ms
[1784633599.377178] seq=266 owd=58.477 ms
[1784633599.417217] seq=268 owd=58.516 ms
[1784633599.537220] seq=274 owd=58.524 ms
[1784633599.557209] seq=275 owd=58.514 ms
[1784633599.597205] seq=277 owd=58.482 ms
[1784633599.657239] seq=280 owd=58.541 ms
[1784633599.777301] seq=286 owd=58.595 ms
[1784633599.797181] seq=287 owd=58.481 ms
[1784633599.817162] seq=288 owd=58.457 ms
[1784633599.957211] seq=295 owd=58.528 ms
[1784633599.997207] seq=297 owd=58.512 ms
[1784633600.037199] seq=299 owd=58.493 ms
[1784633600.077230] seq=301 owd=58.531 ms
[1784633600.177248] seq=306 owd=58.516 ms
[1784633600.237253] seq=309 owd=58.556 ms
[1784633600.337247] seq=314 owd=58.532 ms
[1784633600.417205] seq=318 owd=58.510 ms
[1784633600.437250] seq=319 owd=58.550 ms
[1784633600.477186] seq=321 owd=58.469 ms
[1784633600.497183] seq=322 owd=58.481 ms
[1784633600.657247] seq=330 owd=58.545 ms
[1784633600.737261] seq=334 owd=58.551 ms
[1784633600.817224] seq=338 owd=58.527 ms
[1784633600.897266] seq=342 owd=58.564 ms
[1784633600.937217] seq=344 owd=58.514 ms
[1784633600.997300] seq=347 owd=58.574 ms
[1784633601.137257] seq=354 owd=58.532 ms
[1784633601.177258] seq=356 owd=58.545 ms
[1784633601.197177] seq=357 owd=58.472 ms
[1784633601.237156] seq=359 owd=58.455 ms
[1784633601.297249] seq=362 owd=58.549 ms
[1784633601.317205] seq=363 owd=58.502 ms
[1784633601.357268] seq=365 owd=58.566 ms
[1784633601.377152] seq=366 owd=58.443 ms
[1784633601.457246] seq=370 owd=58.545 ms
[1784633601.477300] seq=371 owd=58.566 ms
[1784633601.497162] seq=372 owd=58.464 ms
[1784633601.597256] seq=377 owd=58.556 ms
[1784633601.677202] seq=381 owd=58.521 ms
[1784633601.717248] seq=383 owd=58.521 ms
[1784633601.737186] seq=384 owd=58.486 ms
[1784633601.777234] seq=386 owd=58.523 ms
[1784633601.837261] seq=389 owd=58.564 ms
[1784633601.857215] seq=390 owd=58.505 ms
[1784633601.877163] seq=391 owd=58.481 ms
[1784633601.917234] seq=393 owd=58.541 ms
[1784633602.237214] seq=409 owd=58.514 ms
[1784633602.277191] seq=411 owd=58.501 ms
[1784633602.317208] seq=413 owd=58.505 ms
[1784633602.457246] seq=420 owd=58.530 ms
[1784633602.477223] seq=421 owd=58.525 ms
[1784633602.517270] seq=423 owd=58.531 ms
[1784633602.577247] seq=426 owd=58.531 ms
[1784633602.597234] seq=427 owd=58.531 ms
[1784633602.617160] seq=428 owd=58.454 ms
[1784633602.637162] seq=429 owd=58.464 ms
[1784633602.737241] seq=434 owd=58.541 ms
[1784633602.797273] seq=437 owd=58.580 ms
[1784633602.877304] seq=441 owd=58.578 ms
[1784633602.897184] seq=442 owd=58.484 ms
[1784633602.937277] seq=444 owd=58.540 ms
[1784633602.957293] seq=445 owd=58.586 ms
[1784633602.977184] seq=446 owd=58.460 ms
[1784633603.057225] seq=450 owd=58.531 ms
[1784633603.177261] seq=456 owd=58.553 ms
[1784633603.197157] seq=457 owd=58.457 ms
[1784633603.257257] seq=460 owd=58.544 ms
[1784633603.297198] seq=462 owd=58.501 ms
[1784633603.357239] seq=465 owd=58.539 ms
[1784633603.397186] seq=467 owd=58.496 ms
[1784633603.437178] seq=469 owd=58.477 ms
[1784633603.537330] seq=474 owd=58.580 ms
[1784633603.557188] seq=475 owd=58.486 ms
[1784633603.617295] seq=478 owd=58.586 ms
[1784633603.657207] seq=480 owd=58.506 ms
[1784633603.697288] seq=482 owd=58.556 ms
[1784633603.717201] seq=483 owd=58.496 ms
[1784633603.757204] seq=485 owd=58.501 ms
[1784633603.837254] seq=489 owd=58.548 ms
[1784633603.897220] seq=492 owd=58.526 ms
[1784633603.917209] seq=493 owd=58.508 ms
[1784633604.037231] seq=499 owd=58.537 ms
[1784633604.137252] seq=504 owd=58.549 ms
[1784633604.197214] seq=507 owd=58.514 ms
[1784633604.237199] seq=509 owd=58.515 ms
[1784633604.277259] seq=511 owd=58.540 ms
[1784633604.377275] seq=516 owd=58.555 ms
[1784633604.397237] seq=517 owd=58.519 ms
[1784633604.637265] seq=529 owd=58.538 ms
[1784633604.657247] seq=530 owd=58.552 ms
[1784633604.717227] seq=533 owd=58.526 ms
[1784633604.757213] seq=535 owd=58.516 ms
[1784633604.817252] seq=538 owd=58.556 ms
[1784633604.857170] seq=540 owd=58.489 ms
[1784633604.897222] seq=542 owd=58.527 ms
[1784633605.017231] seq=548 owd=58.529 ms
[1784633605.077201] seq=551 owd=58.506 ms
[1784633605.237250] seq=559 owd=58.521 ms
[1784633605.257207] seq=560 owd=58.501 ms
[1784633605.317325] seq=563 owd=58.631 ms
[1784633605.357227] seq=565 owd=58.503 ms
[1784633605.377179] seq=566 owd=58.496 ms
[1784633605.437224] seq=569 owd=58.544 ms
[1784633605.477247] seq=571 owd=58.537 ms
[1784633605.557239] seq=575 owd=58.535 ms
[1784633605.637279] seq=579 owd=58.547 ms
[1784633605.657196] seq=580 owd=58.491 ms
[1784633605.677178] seq=581 owd=58.473 ms
[1784633605.697223] seq=582 owd=58.524 ms
[1784633605.717170] seq=583 owd=58.470 ms
[1784633605.737149] seq=584 owd=58.461 ms
[1784633605.837248] seq=589 owd=58.548 ms
[1784633605.877209] seq=591 owd=58.508 ms
[1784633605.897196] seq=592 owd=58.482 ms
[1784633605.977221] seq=596 owd=58.519 ms
[1784633605.997177] seq=597 owd=58.495 ms
[1784633606.037196] seq=599 owd=58.491 ms
[1784633606.117236] seq=603 owd=58.526 ms
[1784633606.137214] seq=604 owd=58.527 ms
[1784633606.157145] seq=605 owd=58.449 ms
[1784633606.217288] seq=608 owd=58.579 ms
[1784633606.237259] seq=609 owd=58.553 ms
[1784633606.257164] seq=610 owd=58.479 ms
[1784633606.317268] seq=613 owd=58.549 ms
[1784633606.337203] seq=614 owd=58.486 ms
[1784633606.397263] seq=617 owd=58.561 ms
[1784633606.417186] seq=618 owd=58.478 ms
[1784633606.457202] seq=620 owd=58.499 ms
[1784633606.517250] seq=623 owd=58.544 ms
[1784633606.537183] seq=624 owd=58.475 ms
[1784633606.677257] seq=631 owd=58.549 ms
[1784633606.777250] seq=636 owd=58.540 ms
[1784633606.797258] seq=637 owd=58.549 ms
[1784633606.817188] seq=638 owd=58.459 ms
[1784633606.857215] seq=640 owd=58.514 ms
[1784633606.877221] seq=641 owd=58.522 ms
[1784633606.917188] seq=643 owd=58.480 ms
[1784633606.937258] seq=644 owd=58.555 ms
[1784633606.977173] seq=646 owd=58.474 ms
[1784633607.117239] seq=653 owd=58.538 ms
[1784633607.177262] seq=656 owd=58.544 ms
[1784633607.257239] seq=660 owd=58.540 ms
[1784633607.297224] seq=662 owd=58.532 ms
[1784633607.357241] seq=665 owd=58.539 ms
[1784633607.377174] seq=666 owd=58.472 ms
[1784633607.397169] seq=667 owd=58.470 ms
[1784633607.417163] seq=668 owd=58.463 ms
[1784633607.477262] seq=671 owd=58.548 ms
[1784633607.497171] seq=672 owd=58.478 ms
[1784633607.517173] seq=673 owd=58.474 ms
[1784633607.557170] seq=675 owd=58.487 ms
[1784633607.657233] seq=680 owd=58.532 ms
[1784633607.757261] seq=685 owd=58.520 ms
[1784633607.777252] seq=686 owd=58.537 ms
[1784633607.977210] seq=696 owd=58.494 ms
[1784633607.997212] seq=697 owd=58.516 ms
[1784633608.077251] seq=701 owd=58.547 ms
[1784633608.117159] seq=703 owd=58.462 ms
[1784633608.137232] seq=704 owd=58.549 ms
[1784633608.157205] seq=705 owd=58.481 ms
[1784633608.177195] seq=706 owd=58.454 ms
[1784633608.237248] seq=709 owd=58.545 ms
[1784633608.417263] seq=718 owd=58.516 ms
[1784633608.517242] seq=723 owd=58.543 ms
[1784633608.537218] seq=724 owd=58.515 ms
[1784633608.657237] seq=730 owd=58.538 ms
[1784633608.757272] seq=735 owd=58.561 ms
[1784633608.777239] seq=736 owd=58.533 ms
[1784633608.817194] seq=738 owd=58.492 ms
[1784633609.037249] seq=749 owd=58.534 ms
[1784633609.057191] seq=750 owd=58.472 ms
[1784633609.117218] seq=753 owd=58.519 ms
[1784633609.177279] seq=756 owd=58.578 ms
[1784633609.237233] seq=759 owd=58.528 ms
[1784633609.437268] seq=769 owd=58.562 ms
[1784633609.477214] seq=771 owd=58.513 ms
[1784633609.637262] seq=779 owd=58.563 ms
[1784633609.657243] seq=780 owd=58.547 ms
[1784633609.677157] seq=781 owd=58.461 ms
[1784633609.697219] seq=782 owd=58.505 ms
[1784633609.757239] seq=785 owd=58.529 ms
[1784633609.797230] seq=787 owd=58.532 ms
[1784633609.917251] seq=793 owd=58.553 ms
[1784633609.937179] seq=794 owd=58.479 ms
[1784633609.957144] seq=795 owd=58.435 ms
[1784633610.097230] seq=802 owd=58.510 ms
[1784633610.277274] seq=811 owd=58.564 ms
[1784633610.397281] seq=817 owd=58.557 ms
[1784633610.437253] seq=819 owd=58.524 ms
[1784633610.477162] seq=821 owd=58.456 ms
[1784633610.637277] seq=829 owd=58.527 ms
[1784633610.677220] seq=831 owd=58.525 ms
[1784633610.757233] seq=835 owd=58.531 ms
[1784633610.797223] seq=837 owd=58.525 ms
[1784633610.817158] seq=838 owd=58.460 ms
[1784633610.897249] seq=842 owd=58.554 ms
[1784633610.917240] seq=843 owd=58.523 ms
[1784633610.937218] seq=844 owd=58.473 ms
[1784633611.077205] seq=851 owd=58.520 ms
