time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,545853412,259983813,134604955
2,663146169,307464790,153732851
3,663636559,307698950,153859264
4,663349663,307591583,153796302
5,663314137,307546695,153760531
6,662654242,307259014,153634336
7,663197330,307511031,153760316
8,663743603,307753278,153876854
9,663251229,307528998,153751521
10,662877858,307348529,153687793
11,663779966,307779770,153885972
12,662716700,307267950,153643217
13,662823906,307339743,153661112
14,664102280,307932133,153966685
15,663242326,307520041,153760478
16,663403416,307618583,153805498
17,663065321,307428786,153714312
18,662886805,307366047,153688115
19,663146169,307473629,153741799
20,663591456,307699503,153831966
21,663376346,307582950,153796249
22,663457328,307609603,153805167
23,663215619,307529266,153769111
24,663101164,307437787,153723850
25,663056589,307464360,153723797
26,663277960,307520065,153760501
27,663600304,307708444,153858727
28,662966901,307384049,153696632
29,663484412,307645589,153814000
30,663340898,307573940,153787615
31,662868911,307348475,153669898
32,663519968,307654276,153832073
33,662832692,307321418,153660951
34,663465962,307645266,153814161
35,663679619,307719276,153868791
36,662814875,307330604,153670137
37,663762053,307770760,153876639
38,663056589,307428786,153714527
39,663376669,307600217,153805258
40,663107768,307457617,153724653
41,663090340,307439478,153716061
42,663697333,307755082,153877810
43,662841317,307339367,153678953
44,663002744,307401675,153697062
45,663734647,307753009,153868167
46,662850987,307339713,153678869
47,663244254,307535992,153768318
48,663439308,307609657,153805635
49,663421719,307618505,153796302
50,663036119,307430749,153724599
51,662752650,307303578,153651896
52,663835323,307778159,153893848
53,663376830,307591529,153787239
54,662904324,307384425,153696740
55,663423319,307589729,153804322
56,663439655,307627862,153805229
57,663331996,307556189,153778229
58,662886483,307357207,153678899
59,663421503,307609980,153805097
60,620038958,301332806,177486489
61,0,0,0
62,0,0,0
63,0,0,0
