# OWD receiver: AF42  port=5002
[1784630564.656523] seq=1 owd=0.156 ms
[1784630564.676508] seq=2 owd=0.113 ms
[1784630564.696461] seq=3 owd=0.069 ms
[1784630564.750202] seq=4 owd=33.807 ms
[1784630564.829088] seq=7 owd=52.690 ms
[1784630564.869093] seq=9 owd=52.700 ms
[1784630565.089066] seq=20 owd=52.680 ms
[1784630565.129051] seq=22 owd=52.665 ms
[1784630565.149032] seq=23 owd=52.629 ms
[1784630565.189080] seq=25 owd=52.692 ms
[1784630565.209069] seq=26 owd=52.678 ms
[1784630565.269066] seq=29 owd=52.691 ms
[1784630565.309068] seq=31 owd=52.633 ms
[1784630565.329060] seq=32 owd=52.671 ms
[1784630565.349059] seq=33 owd=52.646 ms
[1784630565.369000] seq=34 owd=52.609 ms
[1784630565.409090] seq=36 owd=52.697 ms
[1784630565.489106] seq=40 owd=52.684 ms
[1784630565.529072] seq=42 owd=52.655 ms
[1784630565.549015] seq=43 owd=52.625 ms
[1784630565.609076] seq=46 owd=52.690 ms
[1784630565.649062] seq=48 owd=52.671 ms
[1784630565.669029] seq=49 owd=52.640 ms
[1784630565.769082] seq=54 owd=52.693 ms
[1784630565.809041] seq=56 owd=52.669 ms
[1784630565.849096] seq=58 owd=52.706 ms
[1784630565.889046] seq=60 owd=52.659 ms
[1784630565.929042] seq=62 owd=52.668 ms
[1784630565.949033] seq=63 owd=52.640 ms
[1784630565.989063] seq=65 owd=52.673 ms
[1784630566.089067] seq=70 owd=52.679 ms
[1784630566.109062] seq=71 owd=52.671 ms
[1784630566.129048] seq=72 owd=52.659 ms
[1784630566.149049] seq=73 owd=52.632 ms
[1784630566.249102] seq=78 owd=52.711 ms
[1784630566.329067] seq=82 owd=52.678 ms
[1784630566.369047] seq=84 owd=52.626 ms
[1784630566.429081] seq=87 owd=52.689 ms
[1784630566.569058] seq=94 owd=52.668 ms
[1784630566.589040] seq=95 owd=52.649 ms
[1784630566.609033] seq=96 owd=52.645 ms
[1784630566.669131] seq=99 owd=52.699 ms
[1784630566.769084] seq=104 owd=52.688 ms
[1784630566.849087] seq=108 owd=52.696 ms
[1784630566.869027] seq=109 owd=52.641 ms
[1784630566.949081] seq=113 owd=52.693 ms
[1784630566.969085] seq=114 owd=52.672 ms
[1784630567.029102] seq=117 owd=52.695 ms
[1784630567.069035] seq=119 owd=52.645 ms
[1784630567.089018] seq=120 owd=52.629 ms
[1784630567.109044] seq=121 owd=52.653 ms
[1784630567.169080] seq=124 owd=52.677 ms
[1784630567.189073] seq=125 owd=52.676 ms
[1784630567.209015] seq=126 owd=52.620 ms
[1784630567.309088] seq=131 owd=52.696 ms
[1784630567.349048] seq=133 owd=52.649 ms
[1784630567.369089] seq=134 owd=52.669 ms
[1784630567.409087] seq=136 owd=52.686 ms
[1784630567.429011] seq=137 owd=52.618 ms
[1784630567.448989] seq=138 owd=52.619 ms
[1784630567.469021] seq=139 owd=52.633 ms
[1784630567.589083] seq=145 owd=52.701 ms
[1784630567.649059] seq=148 owd=52.685 ms
[1784630567.729090] seq=152 owd=52.688 ms
[1784630567.789056] seq=155 owd=52.657 ms
[1784630567.949087] seq=163 owd=52.688 ms
[1784630567.989060] seq=165 owd=52.661 ms
[1784630568.009053] seq=166 owd=52.672 ms
[1784630568.089062] seq=170 owd=52.667 ms
[1784630568.229053] seq=177 owd=52.664 ms
[1784630568.309086] seq=181 owd=52.697 ms
[1784630568.329070] seq=182 owd=52.681 ms
[1784630568.369059] seq=184 owd=52.653 ms
[1784630568.389073] seq=185 owd=52.681 ms
[1784630568.589103] seq=195 owd=52.696 ms
[1784630568.709099] seq=201 owd=52.697 ms
[1784630568.889072] seq=210 owd=52.683 ms
[1784630568.969078] seq=214 owd=52.689 ms
[1784630568.989053] seq=215 owd=52.666 ms
[1784630569.009057] seq=216 owd=52.639 ms
[1784630569.049046] seq=218 owd=52.645 ms
[1784630569.089069] seq=220 owd=52.675 ms
[1784630569.169048] seq=224 owd=52.658 ms
[1784630569.189076] seq=225 owd=52.682 ms
[1784630569.209086] seq=226 owd=52.644 ms
[1784630569.229023] seq=227 owd=52.653 ms
[1784630569.249045] seq=228 owd=52.620 ms
[1784630569.309058] seq=231 owd=52.662 ms
[1784630569.349000] seq=233 owd=52.616 ms
[1784630569.549070] seq=243 owd=52.679 ms
[1784630569.649114] seq=248 owd=52.723 ms
[1784630569.669050] seq=249 owd=52.659 ms
[1784630569.729116] seq=252 owd=52.704 ms
[1784630569.789069] seq=255 owd=52.682 ms
[1784630569.829088] seq=257 owd=52.681 ms
[1784630569.849063] seq=258 owd=52.657 ms
[1784630569.909116] seq=261 owd=52.690 ms
[1784630569.929045] seq=262 owd=52.659 ms
