time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,569409493,272119233,141855394
2,736826885,341652392,170822340
3,737131492,341777785,170893512
4,736888956,341678840,170839904
5,736674674,341589438,170795283
6,737068676,341750543,170866646
7,736692407,341580545,170794907
8,737650446,342028938,171018920
9,736898571,341669910,170839912
10,737139836,341795378,170893964
11,735951385,341250047,170625238
12,737847750,342117585,171054798
13,737139968,341786930,170902782
14,736862728,341670179,170821910
15,736817992,341643283,170831180
16,737283243,341840213,170911715
17,737077250,341768402,170884846
18,737059515,341759553,170884900
19,737068241,341741802,170875513
20,737122031,341786153,170884308
21,9760699,18261143,35923469
22,0,0,0
23,77,77,77
24,0,0,41
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,77,77,77
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,38124398,28058726,14682513
42,737059568,341759544,170866754
43,736925127,341679187,170848884
44,737282758,341867027,170920563
45,736522517,341509020,170768334
46,737552035,341983458,170983364
47,737130922,341786356,170902436
48,736388362,341437550,170714531
49,737677260,342028292,171018866
50,736469102,341482555,170732760
51,737050382,341741964,170875567
52,737148631,341804496,170893533
53,736880615,341679348,170848615
54,736737359,341598600,170795122
55,737085830,341768778,170893856
56,737381760,341911808,170947109
57,736549520,341500019,170750332
58,737435659,341938784,170965075
59,736496105,341482394,170750439
60,702685014,339568620,196591400
61,0,0,0
62,77,77,77
63,0,0,0
