# OWD receiver: AF43  port=5003
[1784630641.610054] seq=1 owd=0.082 ms
[1784630641.647263] seq=2 owd=17.266 ms
[1784630641.709963] seq=3 owd=59.964 ms
[1784630641.772694] seq=4 owd=102.693 ms
[1784630641.835653] seq=5 owd=145.641 ms
[1784630641.898391] seq=6 owd=188.388 ms
[1784630641.960418] seq=8 owd=210.416 ms
[1784630642.100482] seq=15 owd=210.482 ms
[1784630642.180538] seq=19 owd=210.541 ms
[1784630642.240463] seq=22 owd=210.455 ms
[1784630642.300428] seq=25 owd=210.432 ms
[1784630642.400432] seq=30 owd=210.438 ms
[1784630642.600544] seq=40 owd=210.531 ms
[1784630642.660522] seq=43 owd=210.488 ms
[1784630642.700373] seq=45 owd=210.397 ms
[1784630642.820505] seq=51 owd=210.509 ms
[1784630642.860406] seq=53 owd=210.412 ms
[1784630642.900408] seq=55 owd=210.375 ms
[1784630643.180533] seq=69 owd=210.531 ms
[1784630643.280556] seq=74 owd=210.556 ms
[1784630643.400533] seq=80 owd=210.535 ms
[1784630643.500470] seq=85 owd=210.473 ms
[1784630643.540453] seq=87 owd=210.460 ms
[1784630643.560400] seq=88 owd=210.411 ms
[1784630643.640405] seq=92 owd=210.413 ms
[1784630643.700258] seq=95 owd=210.260 ms
[1784630643.740357] seq=97 owd=210.360 ms
[1784630643.760339] seq=98 owd=210.342 ms
[1784630643.860357] seq=103 owd=210.354 ms
[1784630643.980461] seq=109 owd=210.459 ms
[1784630644.020502] seq=111 owd=210.488 ms
[1784630644.040427] seq=112 owd=210.410 ms
[1784630644.140372] seq=117 owd=210.377 ms
[1784630644.180358] seq=119 owd=210.361 ms
[1784630644.240324] seq=122 owd=210.347 ms
[1784630644.360376] seq=128 owd=210.393 ms
[1784630644.400428] seq=130 owd=210.434 ms
[1784630644.440394] seq=132 owd=210.406 ms
[1784630644.480485] seq=134 owd=210.471 ms
[1784630644.700619] seq=145 owd=210.621 ms
[1784630644.740531] seq=147 owd=210.537 ms
[1784630644.820496] seq=151 owd=210.500 ms
[1784630644.860407] seq=153 owd=210.413 ms
[1784630644.900343] seq=155 owd=210.333 ms
[1784630644.960415] seq=158 owd=210.418 ms
[1784630645.000386] seq=160 owd=210.410 ms
[1784630645.020385] seq=161 owd=210.364 ms
[1784630645.080335] seq=164 owd=210.336 ms
[1784630645.100345] seq=165 owd=210.313 ms
[1784630645.200345] seq=170 owd=210.349 ms
[1784630645.240400] seq=172 owd=210.388 ms
[1784630645.400466] seq=180 owd=210.461 ms
[1784630645.420521] seq=181 owd=210.530 ms
[1784630645.460446] seq=183 owd=210.428 ms
[1784630645.500360] seq=185 owd=210.361 ms
[1784630645.540397] seq=187 owd=210.397 ms
[1784630645.560333] seq=188 owd=210.335 ms
[1784630645.620307] seq=191 owd=210.311 ms
[1784630645.720364] seq=196 owd=210.367 ms
[1784630645.740350] seq=197 owd=210.360 ms
[1784630645.800391] seq=200 owd=210.416 ms
[1784630645.880402] seq=204 owd=210.412 ms
[1784630645.940481] seq=207 owd=210.437 ms
[1784630646.020503] seq=211 owd=210.500 ms
[1784630646.040382] seq=212 owd=210.374 ms
[1784630646.100454] seq=215 owd=210.454 ms
[1784630646.240392] seq=222 owd=210.414 ms
[1784630646.280501] seq=224 owd=210.501 ms
[1784630646.340518] seq=227 owd=210.513 ms
[1784630646.400396] seq=230 owd=210.399 ms
[1784630646.620591] seq=241 owd=210.591 ms
[1784630646.660460] seq=243 owd=210.467 ms
[1784630646.700442] seq=245 owd=210.445 ms
[1784630646.740452] seq=247 owd=210.456 ms
[1784630646.780279] seq=249 owd=210.292 ms
[1784630646.820312] seq=251 owd=210.301 ms
[1784630646.900386] seq=255 owd=210.385 ms
[1784630646.940367] seq=257 owd=210.361 ms
[1784630647.060421] seq=263 owd=210.413 ms
[1784630647.140442] seq=267 owd=210.451 ms
[1784630647.160538] seq=268 owd=210.539 ms
[1784630647.200401] seq=270 owd=210.405 ms
[1784630647.240262] seq=272 owd=210.263 ms
[1784630647.260358] seq=273 owd=210.333 ms
[1784630647.280368] seq=274 owd=210.366 ms
[1784630647.300228] seq=275 owd=210.232 ms
[1784630647.440301] seq=282 owd=210.310 ms
[1784630647.460336] seq=283 owd=210.301 ms
[1784630647.540474] seq=287 owd=210.488 ms
[1784630647.560436] seq=288 owd=210.446 ms
[1784630647.580326] seq=289 owd=210.310 ms
