time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,584134442,278976911,145382597
2,737121924,341795378,170893318
3,736522624,341500127,170759387
4,737014665,341723782,170857762
5,737112806,341795324,170893749
6,736728489,341590000,170786306
7,737426434,341938569,170974354
8,736790276,341616416,170813089
9,737390824,341902691,170956011
10,736674943,341571651,170776851
11,737121924,341795378,170902597
12,736531518,341499912,170750332
13,737238462,341822300,170911446
14,736710571,341607279,170794961
15,737408844,341920980,170956065
16,737193812,341813260,170920641
17,736486943,341482179,170732330
18,737498398,341965814,170992195
19,736505160,341491072,170732491
20,737767190,342091487,171054951
21,5148554,16124819,34850864
22,0,0,0
23,128951334,69061229,33523125
24,736987205,341705924,170866719
25,736041091,341285962,170625184
26,738080581,342234147,171126418
27,736746575,341598600,170804499
28,737157910,341804161,170902800
29,737175768,341804334,170893749
30,736495878,341482125,170750386
31,737229452,341840266,170920725
32,736835219,341643231,170813197
33,737149007,341813290,170902274
34,736264013,341384015,170697121
35,737937097,342163027,171081882
36,737211348,341813153,170902567
37,736907083,341688280,170848860
38,736933952,341688173,170848752
39,737175715,341804173,170893872
40,736298943,341401600,170705703
41,737130611,341786476,170884954
42,752087639,373061547,213104418
43,737059553,341742017,170875675
44,737274179,341857964,170928982
45,737184456,341804442,170902436
46,737059416,341742149,170875914
47,736692622,341589438,170786228
48,737158017,341813667,170911446
49,737095109,341759553,170875460
50,736424527,341473231,170732330
51,737399673,341902798,170956011
52,736397363,341446443,170723383
53,737265276,341840159,170920444
54,737229721,341849169,170929627
55,737274340,341840362,170911500
56,736433122,341464577,170741516
57,737364063,341903390,170947109
58,736782417,341625012,170812909
59,736809247,341643176,170813016
60,710111362,343023746,197010009
61,0,0,1331807
62,0,0,0
63,0,0,0
