# OWD receiver: AF42  port=5002
[1784630491.019185] seq=1 owd=0.167 ms
[1784630491.039191] seq=2 owd=0.140 ms
[1784630491.059153] seq=3 owd=0.083 ms
[1784630491.113013] seq=4 owd=33.964 ms
[1784630491.151672] seq=5 owd=52.623 ms
[1784630491.171670] seq=6 owd=52.622 ms
[1784630491.211754] seq=8 owd=52.706 ms
[1784630491.251697] seq=10 owd=52.647 ms
[1784630491.271735] seq=11 owd=52.684 ms
[1784630491.311784] seq=13 owd=52.717 ms
[1784630491.371734] seq=16 owd=52.680 ms
[1784630491.391733] seq=17 owd=52.672 ms
[1784630491.491742] seq=22 owd=52.681 ms
[1784630491.511723] seq=23 owd=52.661 ms
[1784630491.531663] seq=24 owd=52.610 ms
[1784630491.571702] seq=26 owd=52.621 ms
[1784630491.591691] seq=27 owd=52.639 ms
[1784630491.611722] seq=28 owd=52.670 ms
[1784630491.631643] seq=29 owd=52.587 ms
[1784630491.691753] seq=32 owd=52.696 ms
[1784630491.711736] seq=33 owd=52.669 ms
[1784630491.731665] seq=34 owd=52.614 ms
[1784630491.791751] seq=37 owd=52.679 ms
[1784630491.831675] seq=39 owd=52.627 ms
[1784630491.851666] seq=40 owd=52.618 ms
[1784630491.871716] seq=41 owd=52.668 ms
[1784630491.951737] seq=45 owd=52.686 ms
[1784630492.011771] seq=48 owd=52.724 ms
[1784630492.031743] seq=49 owd=52.672 ms
[1784630492.051683] seq=50 owd=52.630 ms
[1784630492.131749] seq=54 owd=52.673 ms
[1784630492.151684] seq=55 owd=52.637 ms
[1784630492.211777] seq=58 owd=52.726 ms
[1784630492.471758] seq=71 owd=52.695 ms
[1784630492.491682] seq=72 owd=52.633 ms
[1784630492.511737] seq=73 owd=52.676 ms
[1784630492.591749] seq=77 owd=52.673 ms
[1784630492.691774] seq=82 owd=52.695 ms
[1784630492.711671] seq=83 owd=52.625 ms
[1784630492.731666] seq=84 owd=52.620 ms
[1784630492.831737] seq=89 owd=52.689 ms
[1784630492.911743] seq=93 owd=52.696 ms
[1784630492.951686] seq=95 owd=52.640 ms
[1784630493.011825] seq=98 owd=52.744 ms
[1784630493.031684] seq=99 owd=52.634 ms
[1784630493.051697] seq=100 owd=52.648 ms
[1784630493.071746] seq=101 owd=52.700 ms
[1784630493.131741] seq=104 owd=52.666 ms
[1784630493.151693] seq=105 owd=52.644 ms
[1784630493.171695] seq=106 owd=52.648 ms
[1784630493.251737] seq=110 owd=52.668 ms
[1784630493.271736] seq=111 owd=52.687 ms
[1784630493.291660] seq=112 owd=52.613 ms
[1784630493.311650] seq=113 owd=52.602 ms
[1784630493.351761] seq=115 owd=52.708 ms
[1784630493.371697] seq=116 owd=52.634 ms
[1784630493.391667] seq=117 owd=52.623 ms
[1784630493.491737] seq=122 owd=52.683 ms
[1784630493.511661] seq=123 owd=52.609 ms
[1784630493.611747] seq=128 owd=52.692 ms
[1784630493.631710] seq=129 owd=52.655 ms
[1784630493.711727] seq=133 owd=52.682 ms
[1784630493.731717] seq=134 owd=52.665 ms
[1784630493.751664] seq=135 owd=52.618 ms
[1784630493.811747] seq=138 owd=52.700 ms
[1784630493.831727] seq=139 owd=52.679 ms
[1784630493.991706] seq=147 owd=52.651 ms
[1784630494.111780] seq=153 owd=52.735 ms
[1784630494.171746] seq=156 owd=52.692 ms
[1784630494.211782] seq=158 owd=52.722 ms
[1784630494.231702] seq=159 owd=52.644 ms
[1784630494.251691] seq=160 owd=52.631 ms
[1784630494.271694] seq=161 owd=52.629 ms
[1784630494.351747] seq=165 owd=52.700 ms
[1784630494.471764] seq=171 owd=52.711 ms
