time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,601770910,287246748,149511501
2,737282705,341849115,170938314
3,736933844,341706300,170848752
4,737023406,341723890,170866557
5,736781934,341643283,170813178
6,737211713,341831699,170920629
7,736451046,341455659,170723598
8,737766294,342082021,171045860
9,737113021,341786368,170893641
10,736987689,341715149,170848968
11,736156001,341329914,170669914
12,737659294,342037587,171019189
13,736987635,341705924,170857655
14,737095142,341786493,170893558
15,735960270,341241377,170616246
16,737802509,342082053,171045543
17,736969185,341723890,170857655
18,736692407,341589385,170795068
19,737238462,341822569,170911392
20,736934113,341706193,170857547
21,736844565,341661446,170822017
22,737229468,341822731,170920187
23,737283296,341867027,170920617
24,736477834,341482286,170750386
25,737551928,341983404,170983041
26,736907268,341679187,170848776
27,737005777,341723862,170857860
28,737005440,341724213,170866719
29,737103946,341777519,170893587
30,737121978,341786745,170884900
31,736343733,341428871,170705810
32,737220242,341822551,170920384
33,736915932,341688227,170839796
34,737068617,341759607,170884739
35,737408306,341912185,170947593
36,736370599,341428841,170723998
37,737292091,341867081,170929627
38,737121709,341786691,170893802
39,736495729,341482232,170741373
40,737265330,341858125,170929573
41,736782632,341616602,170804015
42,737166543,341804926,170911446
43,736701731,341589868,170786175
44,736764147,341598600,170813124
45,737543187,341992671,170983256
46,736692754,341580945,170795200
47,737014509,341741864,170875486
48,736862459,341643659,170821802
49,737883467,342145547,171073042
50,737014719,341742017,170866880
51,736907303,341688019,170848322
52,736871568,341643014,170812963
53,736468887,341482340,170750386
54,736737251,341616495,170804230
55,737507039,341965760,170982988
56,736817438,341634567,170812898
57,737265115,341849545,170929573
58,737291864,341858179,170920348
59,736764093,341616549,170812855
60,688446418,332975021,193321598
61,0,0,0
62,0,0,0
63,0,0,0
