Connecting to host 10.20.2.1, port 2000
[  5] local 10.10.2.1 port 52952 connected to 10.20.2.1 port 2000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  2681242  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  0.000 ms  0/2681242 (0%)  sender
[  5]   0.00-60.10  sec   128 MBytes  17.9 Mbits/sec  0.069 ms  2585350/2681220 (96%)  receiver

Server output:
Accepted connection from 10.10.2.1, port 51956
[  5] local 10.20.2.1 port 2000 connected to 10.10.2.1 port 52952
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  3.33 MBytes  27.9 Mbits/sec  0.048 ms  41600/44096 (94%)  
[  5]   1.00-2.00   sec  3.26 MBytes  27.4 Mbits/sec  0.042 ms  42209/44654 (95%)  
[  5]   2.00-3.00   sec  3.29 MBytes  27.7 Mbits/sec  0.058 ms  42132/44599 (94%)  
[  5]   3.00-4.00   sec  3.30 MBytes  27.7 Mbits/sec  0.046 ms  42166/44635 (94%)  
[  5]   4.00-5.00   sec  3.30 MBytes  27.7 Mbits/sec  0.038 ms  42181/44651 (94%)  
[  5]   5.00-6.00   sec  3.30 MBytes  27.7 Mbits/sec  0.044 ms  42213/44685 (94%)  
[  5]   6.00-7.00   sec  3.30 MBytes  27.7 Mbits/sec  0.053 ms  42170/44639 (94%)  
[  5]   7.00-8.00   sec  3.29 MBytes  27.7 Mbits/sec  0.036 ms  42127/44594 (94%)  
[  5]   8.00-9.00   sec  3.30 MBytes  27.7 Mbits/sec  0.058 ms  42186/44656 (94%)  
[  5]   9.00-10.00  sec  3.30 MBytes  27.7 Mbits/sec  0.042 ms  42213/44685 (94%)  
[  5]  10.00-11.00  sec  3.30 MBytes  27.7 Mbits/sec  0.069 ms  42154/44623 (94%)  
[  5]  11.00-12.00  sec  3.30 MBytes  27.7 Mbits/sec  0.062 ms  42182/44651 (94%)  
[  5]  12.00-13.00  sec  3.30 MBytes  27.7 Mbits/sec  0.054 ms  42182/44652 (94%)  
[  5]  13.00-14.00  sec  3.29 MBytes  27.7 Mbits/sec  0.045 ms  42137/44604 (94%)  
[  5]  14.00-15.00  sec  3.30 MBytes  27.7 Mbits/sec  0.047 ms  42215/44687 (94%)  
[  5]  15.00-16.00  sec  3.30 MBytes  27.7 Mbits/sec  0.026 ms  42162/44631 (94%)  
[  5]  16.00-17.00  sec  3.30 MBytes  27.7 Mbits/sec  0.021 ms  42183/44653 (94%)  
