Connecting to host 10.20.3.1, port 3000
[  5] local 10.10.3.1 port 51559 connected to 10.20.3.1 port 3000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  2681118  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  0.000 ms  0/2681118 (0%)  sender
[  5]   0.00-60.10  sec  64.0 MBytes  8.93 Mbits/sec  0.008 ms  2633197/2681109 (98%)  receiver

Server output:
Accepted connection from 10.10.3.1, port 53034
[  5] local 10.20.3.1 port 3000 connected to 10.10.3.1 port 51559
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.62 MBytes  13.5 Mbits/sec  0.049 ms  41167/42378 (97%)  
[  5]   1.00-2.00   sec  1.63 MBytes  13.7 Mbits/sec  0.063 ms  43407/44630 (97%)  
[  5]   2.00-3.00   sec  1.65 MBytes  13.8 Mbits/sec  0.080 ms  43454/44689 (97%)  
[  5]   3.00-4.00   sec  1.65 MBytes  13.8 Mbits/sec  0.078 ms  43383/44617 (97%)  
[  5]   4.00-5.00   sec  1.65 MBytes  13.8 Mbits/sec  0.041 ms  43432/44667 (97%)  
[  5]   5.00-6.00   sec  1.65 MBytes  13.8 Mbits/sec  0.037 ms  43314/44547 (97%)  
[  5]   6.00-7.00   sec  1.65 MBytes  13.8 Mbits/sec  0.048 ms  43431/44665 (97%)  
[  5]   7.00-8.00   sec  1.65 MBytes  13.8 Mbits/sec  0.055 ms  43429/44664 (97%)  
[  5]   8.00-9.00   sec  1.65 MBytes  13.8 Mbits/sec  0.060 ms  43432/44667 (97%)  
[  5]   9.00-10.00  sec  1.65 MBytes  13.8 Mbits/sec  0.046 ms  43394/44629 (97%)  
[  5]  10.00-11.00  sec  1.65 MBytes  13.8 Mbits/sec  0.041 ms  43359/44592 (97%)  
[  5]  11.00-12.00  sec  1.65 MBytes  13.8 Mbits/sec  0.087 ms  43525/44761 (97%)  
[  5]  12.00-13.00  sec  1.65 MBytes  13.8 Mbits/sec  0.059 ms  43315/44549 (97%)  
[  5]  13.00-14.00  sec  1.65 MBytes  13.8 Mbits/sec  0.054 ms  43463/44698 (97%)  
[  5]  14.00-15.00  sec  1.65 MBytes  13.8 Mbits/sec  0.062 ms  43363/44596 (97%)  
[  5]  15.00-16.00  sec  1.65 MBytes  13.8 Mbits/sec  0.039 ms  43465/44701 (97%)  
[  5]  16.00-17.00  sec  1.65 MBytes  13.8 Mbits/sec  0.033 ms  43431/44665 (97%)  
[  5]  17.00-18.00  sec  1.65 MBytes  13.8 Mbits/sec  0.124 ms  43409/44643 (97%)  
[  5]  18.00-19.00  sec  1.65 MBytes  13.8 Mbits/sec  0.062 ms  43289/44522 (97%)  
[  5]  19.00-20.00  sec   338 KBytes  2.76 Mbits/sec  0.063 ms  8682/8929 (97%)  
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
[  5]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
[  5]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
[  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec  0.063 ms  0/0 (0%)  
