# OWD receiver: AF42  port=5002
[1752378381.667914] seq=1 owd=10.135 ms
[1752378381.687867] seq=2 owd=10.070 ms
[1752378381.707888] seq=3 owd=10.099 ms
[1752378381.728018] seq=4 owd=10.211 ms
[1752378381.747966] seq=5 owd=10.156 ms
[1752378381.767975] seq=6 owd=10.158 ms
[1752378381.787939] seq=7 owd=10.134 ms
[1752378381.807929] seq=8 owd=10.136 ms
[1752378381.827890] seq=9 owd=10.095 ms
[1752378381.847843] seq=10 owd=10.054 ms
[1752378381.867841] seq=11 owd=10.056 ms
[1752378381.887921] seq=12 owd=10.121 ms
[1752378381.907931] seq=13 owd=10.127 ms
[1752378381.927923] seq=14 owd=10.118 ms
[1752378381.947950] seq=15 owd=10.072 ms
[1752378381.967843] seq=16 owd=10.051 ms
[1752378381.987867] seq=17 owd=10.048 ms
[1752378382.090826] seq=22 owd=12.983 ms
[1752378382.150756] seq=25 owd=12.971 ms
[1752378382.250394] seq=30 owd=12.584 ms
[1752378382.350841] seq=35 owd=13.045 ms
[1752378382.410802] seq=38 owd=12.999 ms
[1752378382.450879] seq=40 owd=13.060 ms
[1752378382.471151] seq=41 owd=13.021 ms
[1752378382.570744] seq=46 owd=12.954 ms
[1752378382.770804] seq=56 owd=12.999 ms
[1752378382.870824] seq=61 owd=13.016 ms
[1752378383.030745] seq=69 owd=12.952 ms
[1752378383.090674] seq=72 owd=12.869 ms
[1752378383.130773] seq=74 owd=12.979 ms
[1752378383.190705] seq=77 owd=12.915 ms
[1752378383.230803] seq=79 owd=13.001 ms
[1752378383.290753] seq=82 owd=12.964 ms
[1752378383.350726] seq=85 owd=12.944 ms
[1752378383.390811] seq=87 owd=13.020 ms
[1752378383.490809] seq=92 owd=13.005 ms
[1752378383.550783] seq=95 owd=12.984 ms
[1752378383.650797] seq=100 owd=13.007 ms
[1752378383.750838] seq=105 owd=13.047 ms
[1752378383.810751] seq=108 owd=12.961 ms
[1752378383.850863] seq=110 owd=13.061 ms
[1752378384.010810] seq=118 owd=13.017 ms
[1752378384.110807] seq=123 owd=12.956 ms
[1752378384.270793] seq=131 owd=12.995 ms
[1752378384.330732] seq=134 owd=12.929 ms
[1752378384.370812] seq=136 owd=12.998 ms
[1752378384.470851] seq=141 owd=13.047 ms
[1752378384.570874] seq=146 owd=13.065 ms
[1752378384.630817] seq=149 owd=13.011 ms
[1752378384.730842] seq=154 owd=13.036 ms
[1752378384.930906] seq=164 owd=13.098 ms
[1752378385.030904] seq=169 owd=13.083 ms
[1752378385.090806] seq=172 owd=13.003 ms
[1752378385.190824] seq=177 owd=13.000 ms
[1752378385.310726] seq=183 owd=12.940 ms
[1752378385.350806] seq=185 owd=12.999 ms
[1752378385.510746] seq=193 owd=12.950 ms
[1752378385.710781] seq=203 owd=12.985 ms
