time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,1:1,8557
1,LER_Ingress,leri-cr1,1:2,4340
1,LER_Ingress,leri-cr1,1:3,2091
1,LER_Ingress,leri-cr2,1:1,0
1,LER_Ingress,leri-cr2,1:2,0
1,LER_Ingress,leri-cr2,1:3,0
1,LER_Ingress,leri-cr3,1:1,0
1,LER_Ingress,leri-cr3,1:2,0
1,LER_Ingress,leri-cr3,1:3,0
1,CR1,cr1-lere,1:1,0
1,CR1,cr1-lere,1:2,0
1,CR1,cr1-lere,1:3,0
1,CR2,cr2-lere,1:1,0
1,CR2,cr2-lere,1:2,0
1,CR2,cr2-lere,1:3,0
1,CR3,cr3-lere,1:1,0
1,CR3,cr3-lere,1:2,0
1,CR3,cr3-lere,1:3,0
3,LER_Ingress,leri-cr1,1:1,16943
3,LER_Ingress,leri-cr1,1:2,8506
3,LER_Ingress,leri-cr1,1:3,4290
3,LER_Ingress,leri-cr2,1:1,0
3,LER_Ingress,leri-cr2,1:2,0
3,LER_Ingress,leri-cr2,1:3,0
3,LER_Ingress,leri-cr3,1:1,0
3,LER_Ingress,leri-cr3,1:2,0
3,LER_Ingress,leri-cr3,1:3,0
3,CR1,cr1-lere,1:1,0
3,CR1,cr1-lere,1:2,0
3,CR1,cr1-lere,1:3,0
3,CR2,cr2-lere,1:1,0
3,CR2,cr2-lere,1:2,0
3,CR2,cr2-lere,1:3,0
3,CR3,cr3-lere,1:1,0
3,CR3,cr3-lere,1:2,0
3,CR3,cr3-lere,1:3,0
4,LER_Ingress,leri-cr1,1:1,16857
4,LER_Ingress,leri-cr1,1:2,8462
4,LER_Ingress,leri-cr1,1:3,4235
4,LER_Ingress,leri-cr2,1:1,0
4,LER_Ingress,leri-cr2,1:2,0
4,LER_Ingress,leri-cr2,1:3,0
4,LER_Ingress,leri-cr3,1:1,0
4,LER_Ingress,leri-cr3,1:2,0
4,LER_Ingress,leri-cr3,1:3,0
4,CR1,cr1-lere,1:1,0
4,CR1,cr1-lere,1:2,0
4,CR1,cr1-lere,1:3,0
4,CR2,cr2-lere,1:1,0
4,CR2,cr2-lere,1:2,0
4,CR2,cr2-lere,1:3,0
4,CR3,cr3-lere,1:1,0
4,CR3,cr3-lere,1:2,0
4,CR3,cr3-lere,1:3,0
6,LER_Ingress,leri-cr1,1:1,17197
6,LER_Ingress,leri-cr1,1:2,8636
6,LER_Ingress,leri-cr1,1:3,4349
6,LER_Ingress,leri-cr2,1:1,0
6,LER_Ingress,leri-cr2,1:2,0
6,LER_Ingress,leri-cr2,1:3,0
6,LER_Ingress,leri-cr3,1:1,0
6,LER_Ingress,leri-cr3,1:2,0
6,LER_Ingress,leri-cr3,1:3,0
6,CR1,cr1-lere,1:1,0
6,CR1,cr1-lere,1:2,0
6,CR1,cr1-lere,1:3,0
6,CR2,cr2-lere,1:1,0
6,CR2,cr2-lere,1:2,0
6,CR2,cr2-lere,1:3,0
6,CR3,cr3-lere,1:1,0
6,CR3,cr3-lere,1:2,0
6,CR3,cr3-lere,1:3,0
8,LER_Ingress,leri-cr1,1:1,16877
8,LER_Ingress,leri-cr1,1:2,8469
8,LER_Ingress,leri-cr1,1:3,4275
8,LER_Ingress,leri-cr2,1:1,0
8,LER_Ingress,leri-cr2,1:2,0
8,LER_Ingress,leri-cr2,1:3,0
8,LER_Ingress,leri-cr3,1:1,0
8,LER_Ingress,leri-cr3,1:2,0
8,LER_Ingress,leri-cr3,1:3,0
8,CR1,cr1-lere,1:1,0
8,CR1,cr1-lere,1:2,0
8,CR1,cr1-lere,1:3,0
8,CR2,cr2-lere,1:1,0
8,CR2,cr2-lere,1:2,0
8,CR2,cr2-lere,1:3,0
8,CR3,cr3-lere,1:1,0
8,CR3,cr3-lere,1:2,0
8,CR3,cr3-lere,1:3,0
9,LER_Ingress,leri-cr1,1:1,17003
9,LER_Ingress,leri-cr1,1:2,8537
9,LER_Ingress,leri-cr1,1:3,4312
9,LER_Ingress,leri-cr2,1:1,0
9,LER_Ingress,leri-cr2,1:2,0
9,LER_Ingress,leri-cr2,1:3,0
9,LER_Ingress,leri-cr3,1:1,0
9,LER_Ingress,leri-cr3,1:2,0
9,LER_Ingress,leri-cr3,1:3,0
9,CR1,cr1-lere,1:1,0
9,CR1,cr1-lere,1:2,0
9,CR1,cr1-lere,1:3,0
9,CR2,cr2-lere,1:1,0
9,CR2,cr2-lere,1:2,0
9,CR2,cr2-lere,1:3,0
9,CR3,cr3-lere,1:1,0
9,CR3,cr3-lere,1:2,0
9,CR3,cr3-lere,1:3,0
11,LER_Ingress,leri-cr1,1:1,16991
11,LER_Ingress,leri-cr1,1:2,8530
11,LER_Ingress,leri-cr1,1:3,4306
11,LER_Ingress,leri-cr2,1:1,0
11,LER_Ingress,leri-cr2,1:2,0
11,LER_Ingress,leri-cr2,1:3,0
11,LER_Ingress,leri-cr3,1:1,0
11,LER_Ingress,leri-cr3,1:2,0
11,LER_Ingress,leri-cr3,1:3,0
11,CR1,cr1-lere,1:1,0
11,CR1,cr1-lere,1:2,0
11,CR1,cr1-lere,1:3,0
11,CR2,cr2-lere,1:1,0
11,CR2,cr2-lere,1:2,0
11,CR2,cr2-lere,1:3,0
11,CR3,cr3-lere,1:1,0
11,CR3,cr3-lere,1:2,0
11,CR3,cr3-lere,1:3,0
13,LER_Ingress,leri-cr1,1:1,16929
