time,node,iface,class,drops_per_sec
1,LER_Ingress,leri-cr1,1:1,8580
1,LER_Ingress,leri-cr1,1:2,4386
1,LER_Ingress,leri-cr1,1:3,2102
1,LER_Ingress,leri-cr2,1:1,0
1,LER_Ingress,leri-cr2,1:2,0
1,LER_Ingress,leri-cr2,1:3,0
1,LER_Ingress,leri-cr3,1:1,0
1,LER_Ingress,leri-cr3,1:2,0
1,LER_Ingress,leri-cr3,1:3,0
1,CR1,cr1-lere,1:1,0
1,CR1,cr1-lere,1:2,0
1,CR1,cr1-lere,1:3,0
1,CR2,cr2-lere,1:1,0
1,CR2,cr2-lere,1:2,0
1,CR2,cr2-lere,1:3,0
1,CR3,cr3-lere,1:1,0
1,CR3,cr3-lere,1:2,0
1,CR3,cr3-lere,1:3,0
3,LER_Ingress,leri-cr1,1:1,16451
3,LER_Ingress,leri-cr1,1:2,8264
3,LER_Ingress,leri-cr1,1:3,4165
3,LER_Ingress,leri-cr2,1:1,0
3,LER_Ingress,leri-cr2,1:2,0
3,LER_Ingress,leri-cr2,1:3,0
3,LER_Ingress,leri-cr3,1:1,0
3,LER_Ingress,leri-cr3,1:2,0
3,LER_Ingress,leri-cr3,1:3,0
3,CR1,cr1-lere,1:1,0
3,CR1,cr1-lere,1:2,0
3,CR1,cr1-lere,1:3,0
3,CR2,cr2-lere,1:1,0
3,CR2,cr2-lere,1:2,0
3,CR2,cr2-lere,1:3,0
3,CR3,cr3-lere,1:1,0
3,CR3,cr3-lere,1:2,0
3,CR3,cr3-lere,1:3,0
4,LER_Ingress,leri-cr1,1:1,16370
4,LER_Ingress,leri-cr1,1:2,8214
4,LER_Ingress,leri-cr1,1:3,4142
4,LER_Ingress,leri-cr2,1:1,0
4,LER_Ingress,leri-cr2,1:2,0
4,LER_Ingress,leri-cr2,1:3,0
4,LER_Ingress,leri-cr3,1:1,0
4,LER_Ingress,leri-cr3,1:2,0
4,LER_Ingress,leri-cr3,1:3,0
4,CR1,cr1-lere,1:1,0
4,CR1,cr1-lere,1:2,0
4,CR1,cr1-lere,1:3,0
4,CR2,cr2-lere,1:1,0
4,CR2,cr2-lere,1:2,0
4,CR2,cr2-lere,1:3,0
4,CR3,cr3-lere,1:1,0
4,CR3,cr3-lere,1:2,0
4,CR3,cr3-lere,1:3,0
6,LER_Ingress,leri-cr1,1:1,16574
6,LER_Ingress,leri-cr1,1:2,8315
6,LER_Ingress,leri-cr1,1:3,4201
6,LER_Ingress,leri-cr2,1:1,0
6,LER_Ingress,leri-cr2,1:2,0
6,LER_Ingress,leri-cr2,1:3,0
6,LER_Ingress,leri-cr3,1:1,0
6,LER_Ingress,leri-cr3,1:2,0
6,LER_Ingress,leri-cr3,1:3,0
6,CR1,cr1-lere,1:1,0
6,CR1,cr1-lere,1:2,0
6,CR1,cr1-lere,1:3,0
6,CR2,cr2-lere,1:1,0
6,CR2,cr2-lere,1:2,0
6,CR2,cr2-lere,1:3,0
6,CR3,cr3-lere,1:1,0
6,CR3,cr3-lere,1:2,0
6,CR3,cr3-lere,1:3,0
7,LER_Ingress,leri-cr1,1:1,16210
7,LER_Ingress,leri-cr1,1:2,8134
7,LER_Ingress,leri-cr1,1:3,4108
7,LER_Ingress,leri-cr2,1:1,0
7,LER_Ingress,leri-cr2,1:2,0
7,LER_Ingress,leri-cr2,1:3,0
7,LER_Ingress,leri-cr3,1:1,0
7,LER_Ingress,leri-cr3,1:2,0
7,LER_Ingress,leri-cr3,1:3,0
7,CR1,cr1-lere,1:1,0
7,CR1,cr1-lere,1:2,0
7,CR1,cr1-lere,1:3,0
7,CR2,cr2-lere,1:1,0
7,CR2,cr2-lere,1:2,0
7,CR2,cr2-lere,1:3,0
7,CR3,cr3-lere,1:1,0
7,CR3,cr3-lere,1:2,0
7,CR3,cr3-lere,1:3,0
9,LER_Ingress,leri-cr1,1:1,17604
9,LER_Ingress,leri-cr1,1:2,8834
9,LER_Ingress,leri-cr1,1:3,4461
9,LER_Ingress,leri-cr2,1:1,0
9,LER_Ingress,leri-cr2,1:2,0
9,LER_Ingress,leri-cr2,1:3,0
9,LER_Ingress,leri-cr3,1:1,0
9,LER_Ingress,leri-cr3,1:2,0
9,LER_Ingress,leri-cr3,1:3,0
9,CR1,cr1-lere,1:1,0
9,CR1,cr1-lere,1:2,0
9,CR1,cr1-lere,1:3,0
9,CR2,cr2-lere,1:1,0
9,CR2,cr2-lere,1:2,0
9,CR2,cr2-lere,1:3,0
9,CR3,cr3-lere,1:1,0
9,CR3,cr3-lere,1:2,0
9,CR3,cr3-lere,1:3,0
11,LER_Ingress,leri-cr1,1:1,17440
11,LER_Ingress,leri-cr1,1:2,8756
11,LER_Ingress,leri-cr1,1:3,4411
11,LER_Ingress,leri-cr2,1:1,0
11,LER_Ingress,leri-cr2,1:2,0
11,LER_Ingress,leri-cr2,1:3,0
11,LER_Ingress,leri-cr3,1:1,0
11,LER_Ingress,leri-cr3,1:2,0
11,LER_Ingress,leri-cr3,1:3,0
11,CR1,cr1-lere,1:1,0
11,CR1,cr1-lere,1:2,0
11,CR1,cr1-lere,1:3,0
11,CR2,cr2-lere,1:1,0
11,CR2,cr2-lere,1:2,0
11,CR2,cr2-lere,1:3,0
11,CR3,cr3-lere,1:1,0
11,CR3,cr3-lere,1:2,0
11,CR3,cr3-lere,1:3,0
13,LER_Ingress,leri-cr1,1:1,16703
13,LER_Ingress,leri-cr1,1:2,8392
13,LER_Ingress,leri-cr1,1:3,4225
13,LER_Ingress,leri-cr2,1:1,0
13,LER_Ingress,leri-cr2,1:2,0
13,LER_Ingress,leri-cr2,1:3,0
13,LER_Ingress,leri-cr3,1:1,0
13,LER_Ingress,leri-cr3,1:2,0
13,LER_Ingress,leri-cr3,1:3,0
13,CR1,cr1-lere,1:1,0
13,CR1,cr1-lere,1:2,0
13,CR1,cr1-lere,1:3,0
13,CR2,cr2-lere,1:1,0
13,CR2,cr2-lere,1:2,0
13,CR2,cr2-lere,1:3,0
13,CR3,cr3-lere,1:1,0
13,CR3,cr3-lere,1:2,0
13,CR3,cr3-lere,1:3,0
14,LER_Ingress,leri-cr1,1:1,16542
14,LER_Ingress,leri-cr1,1:2,8298
14,LER_Ingress,leri-cr1,1:3,4183
