Connecting to host 10.20.3.1, port 3000
[  5] local 10.10.3.1 port 40026 connected to 10.20.3.1 port 3000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  2681150  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  0.000 ms  0/2681150 (0%)  sender
[  5]   0.00-60.10  sec  99.0 MBytes  13.8 Mbits/sec  0.007 ms  2606976/2681105 (97%)  receiver

Server output:
Accepted connection from 10.10.3.1, port 52912
[  5] local 10.20.3.1 port 3000 connected to 10.10.3.1 port 40026
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.62 MBytes  13.5 Mbits/sec  0.044 ms  41109/42319 (97%)  
[  5]   1.00-2.00   sec  1.63 MBytes  13.7 Mbits/sec  0.045 ms  43513/44736 (97%)  
[  5]   2.00-3.00   sec  1.65 MBytes  13.8 Mbits/sec  0.051 ms  43362/44596 (97%)  
[  5]   3.00-4.00   sec  1.65 MBytes  13.8 Mbits/sec  0.020 ms  43383/44617 (97%)  
[  5]   4.00-5.00   sec  1.65 MBytes  13.8 Mbits/sec  0.095 ms  43466/44701 (97%)  
[  5]   5.00-6.00   sec  1.65 MBytes  13.8 Mbits/sec  0.044 ms  43314/44547 (97%)  
[  5]   6.00-7.00   sec  1.65 MBytes  13.8 Mbits/sec  0.082 ms  43464/44700 (97%)  
[  5]   7.00-8.00   sec  1.65 MBytes  13.8 Mbits/sec  0.057 ms  43385/44618 (97%)  
[  5]   8.00-9.00   sec  1.65 MBytes  13.8 Mbits/sec  0.059 ms  43395/44630 (97%)  
[  5]   9.00-10.00  sec  1.65 MBytes  13.8 Mbits/sec  0.064 ms  43468/44703 (97%)  
[  5]  10.00-11.00  sec  1.65 MBytes  13.8 Mbits/sec  0.071 ms  43357/44591 (97%)  
[  5]  11.00-12.00  sec  1.65 MBytes  13.8 Mbits/sec  0.102 ms  43432/44666 (97%)  
[  5]  12.00-13.00  sec  1.65 MBytes  13.8 Mbits/sec  0.054 ms  43459/44695 (97%)  
[  5]  13.00-14.00  sec  1.65 MBytes  13.8 Mbits/sec  0.039 ms  43320/44553 (97%)  
[  5]  14.00-15.00  sec  1.63 MBytes  13.7 Mbits/sec  0.066 ms  43491/44714 (97%)  
[  5]  15.00-16.00  sec  1.65 MBytes  13.8 Mbits/sec  0.065 ms  43384/44618 (97%)  
[  5]  16.00-17.00  sec  1.65 MBytes  13.8 Mbits/sec  0.047 ms  43394/44629 (97%)  
[  5]  17.00-18.00  sec  1.63 MBytes  13.7 Mbits/sec  0.074 ms  43467/44689 (97%)  
[  5]  18.00-19.00  sec  1.65 MBytes  13.8 Mbits/sec  0.056 ms  43395/44629 (97%)  
[  5]  19.00-20.00  sec  1.65 MBytes  13.8 Mbits/sec  0.068 ms  43396/44630 (97%)  
[  5]  20.00-21.00  sec  1.65 MBytes  13.8 Mbits/sec  0.084 ms  43431/44666 (97%)  
[  5]  21.00-22.00  sec  1.65 MBytes  13.8 Mbits/sec  0.034 ms  43362/44595 (97%)  
[  5]  22.00-23.00  sec  1.65 MBytes  13.8 Mbits/sec  0.082 ms  43465/44701 (97%)  
[  5]  23.00-24.00  sec  1.65 MBytes  13.8 Mbits/sec  0.051 ms  43355/44589 (97%)  
[  5]  24.00-25.00  sec  1.65 MBytes  13.8 Mbits/sec  0.073 ms  43457/44692 (97%)  
[  5]  25.00-26.00  sec  1.65 MBytes  13.8 Mbits/sec  0.080 ms  43350/44584 (97%)  
[  5]  26.00-27.00  sec  1.65 MBytes  13.8 Mbits/sec  0.087 ms  43430/44664 (97%)  
[  5]  27.00-28.00  sec  1.65 MBytes  13.8 Mbits/sec  0.035 ms  43432/44667 (97%)  
[  5]  28.00-29.00  sec  1.65 MBytes  13.8 Mbits/sec  0.036 ms  43396/44630 (97%)  
[  5]  29.00-30.00  sec  1.65 MBytes  13.8 Mbits/sec  0.057 ms  43398/44633 (97%)  
[  5]  30.00-31.00  sec  1.65 MBytes  13.8 Mbits/sec  0.052 ms  43455/44690 (97%)  
[  5]  31.00-32.00  sec  1.65 MBytes  13.8 Mbits/sec  0.031 ms  43350/44584 (97%)  
[  5]  32.00-33.00  sec  1.65 MBytes  13.8 Mbits/sec  0.054 ms  43465/44700 (97%)  
[  5]  33.00-34.00  sec  1.65 MBytes  13.8 Mbits/sec  0.091 ms  43359/44592 (97%)  
[  5]  34.00-35.00  sec  1.65 MBytes  13.8 Mbits/sec  0.089 ms  43399/44633 (97%)  
[  5]  35.00-36.00  sec  1.65 MBytes  13.8 Mbits/sec  0.319 ms  43464/44699 (97%)  
[  5]  36.00-37.00  sec  1.65 MBytes  13.8 Mbits/sec  0.071 ms  43326/44560 (97%)  
[  5]  37.00-38.00  sec  1.65 MBytes  13.8 Mbits/sec  0.047 ms  43418/44653 (97%)  
[  5]  38.00-39.00  sec  1.65 MBytes  13.8 Mbits/sec  0.030 ms  43453/44689 (97%)  
[  5]  39.00-40.00  sec  1.65 MBytes  13.8 Mbits/sec  0.058 ms  43418/44652 (97%)  
[  5]  40.00-41.00  sec  1.65 MBytes  13.8 Mbits/sec  0.069 ms  43396/44631 (97%)  
[  5]  41.00-42.00  sec  1.65 MBytes  13.8 Mbits/sec  0.103 ms  43431/44665 (97%)  
[  5]  42.00-43.00  sec  1.65 MBytes  13.8 Mbits/sec  0.041 ms  43395/44629 (97%)  
[  5]  43.00-44.00  sec  1.65 MBytes  13.8 Mbits/sec  0.059 ms  43398/44632 (97%)  
[  5]  44.00-45.00  sec  1.65 MBytes  13.8 Mbits/sec  0.065 ms  43394/44629 (97%)  
[  5]  45.00-46.00  sec  1.65 MBytes  13.8 Mbits/sec  0.064 ms  43466/44701 (97%)  
[  5]  46.00-47.00  sec  1.65 MBytes  13.8 Mbits/sec  0.031 ms  43347/44581 (97%)  
[  5]  47.00-48.00  sec  1.65 MBytes  13.8 Mbits/sec  0.024 ms  43418/44653 (97%)  
[  5]  48.00-49.00  sec  1.65 MBytes  13.8 Mbits/sec  0.073 ms  43433/44667 (97%)  
[  5]  49.00-50.00  sec  1.65 MBytes  13.8 Mbits/sec  0.073 ms  43430/44665 (97%)  
[  5]  50.00-51.00  sec  1.63 MBytes  13.7 Mbits/sec  0.060 ms  43421/44642 (97%)  
[  5]  51.00-52.00  sec  1.65 MBytes  13.8 Mbits/sec  0.138 ms  43326/44559 (97%)  
[  5]  52.00-53.00  sec  1.65 MBytes  13.8 Mbits/sec  0.037 ms  43430/44664 (97%)  
[  5]  53.00-54.00  sec  1.65 MBytes  13.8 Mbits/sec  0.067 ms  43466/44702 (97%)  
[  5]  54.00-55.00  sec  1.65 MBytes  13.8 Mbits/sec  0.104 ms  43395/44629 (97%)  
[  5]  55.00-56.00  sec  1.65 MBytes  13.8 Mbits/sec  0.063 ms  43383/44618 (97%)  
[  5]  56.00-57.00  sec  1.65 MBytes  13.8 Mbits/sec  0.050 ms  43383/44617 (97%)  
[  5]  57.00-58.00  sec  1.63 MBytes  13.7 Mbits/sec  0.028 ms  43396/44618 (97%)  
[  5]  58.00-59.00  sec  1.65 MBytes  13.8 Mbits/sec  0.048 ms  43466/44701 (97%)  
[  5]  59.00-60.00  sec  1.65 MBytes  13.8 Mbits/sec  0.077 ms  43382/44617 (97%)  
[  5]  60.00-60.10  sec   202 KBytes  17.1 Mbits/sec  0.007 ms  4683/4831 (97%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[SUM]  0.0-60.1 sec  2 datagrams received out-of-order
[  5]   0.00-60.10  sec  99.0 MBytes  13.8 Mbits/sec  0.007 ms  2606976/2681105 (97%)  receiver


iperf Done.
