# OWD receiver: AF43  port=5003
[1752378294.642686] seq=1 owd=40.209 ms
[1752378294.662633] seq=2 owd=40.137 ms
[1752378294.682623] seq=3 owd=40.127 ms
[1752378294.702646] seq=4 owd=40.145 ms
[1752378294.722616] seq=5 owd=40.111 ms
[1752378294.742638] seq=6 owd=40.128 ms
[1752378294.762577] seq=7 owd=40.081 ms
[1752378294.782593] seq=8 owd=40.096 ms
[1752378294.802594] seq=9 owd=40.092 ms
[1752378294.822594] seq=10 owd=40.094 ms
[1752378294.847106] seq=11 owd=44.603 ms
[1752378294.882552] seq=13 owd=40.062 ms
[1752378294.913568] seq=14 owd=51.071 ms
[1752378294.924935] seq=15 owd=42.430 ms
[1752378294.973567] seq=17 owd=51.075 ms
[1752378295.034329] seq=20 owd=51.805 ms
[1752378295.094326] seq=23 owd=51.838 ms
[1752378295.294384] seq=33 owd=51.895 ms
[1752378295.354371] seq=36 owd=51.843 ms
[1752378295.414388] seq=39 owd=51.885 ms
[1752378295.474337] seq=42 owd=51.846 ms
[1752378295.614495] seq=49 owd=51.997 ms
[1752378295.674572] seq=52 owd=52.074 ms
[1752378295.874659] seq=62 owd=52.159 ms
[1752378295.934626] seq=65 owd=52.136 ms
[1752378295.994607] seq=68 owd=52.119 ms
[1752378296.054545] seq=71 owd=52.037 ms
[1752378296.194761] seq=78 owd=52.256 ms
[1752378296.254659] seq=81 owd=52.167 ms
[1752378296.314673] seq=84 owd=52.181 ms
[1752378296.374626] seq=87 owd=52.110 ms
[1752378296.514342] seq=94 owd=51.848 ms
[1752378296.574319] seq=97 owd=51.830 ms
[1752378296.634277] seq=100 owd=51.773 ms
[1752378296.694221] seq=103 owd=51.722 ms
[1752378296.754194] seq=106 owd=51.682 ms
[1752378296.894326] seq=113 owd=51.832 ms
[1752378296.953452] seq=116 owd=50.947 ms
[1752378297.014219] seq=119 owd=51.724 ms
[1752378297.154360] seq=126 owd=51.855 ms
[1752378297.214333] seq=129 owd=51.827 ms
[1752378297.274265] seq=132 owd=51.715 ms
[1752378297.334226] seq=135 owd=51.701 ms
[1752378297.474349] seq=142 owd=51.857 ms
[1752378297.594236] seq=148 owd=51.751 ms
[1752378297.654182] seq=151 owd=51.707 ms
[1752378297.714148] seq=154 owd=51.655 ms
[1752378297.733607] seq=155 owd=51.113 ms
[1752378297.854326] seq=161 owd=51.799 ms
[1752378297.914282] seq=164 owd=51.784 ms
[1752378297.974217] seq=167 owd=51.719 ms
[1752378298.034186] seq=170 owd=51.694 ms
[1752378298.114380] seq=174 owd=51.870 ms
[1752378298.174350] seq=177 owd=51.856 ms
[1752378298.274789] seq=182 owd=51.720 ms
[1752378298.293444] seq=183 owd=50.949 ms
[1752378298.554243] seq=196 owd=51.718 ms
[1752378298.614191] seq=199 owd=51.696 ms
[1752378299.014265] seq=219 owd=51.773 ms
[1752378299.074234] seq=222 owd=51.755 ms
[1752378299.134181] seq=225 owd=51.696 ms
[1752378299.214391] seq=229 owd=51.876 ms
[1752378299.394197] seq=238 owd=51.712 ms
[1752378299.454156] seq=241 owd=51.666 ms
[1752378299.514103] seq=244 owd=51.600 ms
[1752378299.734424] seq=255 owd=51.926 ms
[1752378299.794362] seq=258 owd=51.839 ms
[1752378299.854324] seq=261 owd=51.823 ms
[1752378299.914272] seq=264 owd=51.780 ms
[1752378300.234183] seq=280 owd=51.677 ms
[1752378300.434237] seq=290 owd=51.750 ms
[1752378300.574379] seq=297 owd=51.877 ms
[1752378300.634339] seq=300 owd=51.850 ms
[1752378300.834391] seq=310 owd=51.895 ms
[1752378300.894339] seq=313 owd=51.837 ms
[1752378301.094390] seq=323 owd=51.901 ms
[1752378301.154341] seq=326 owd=51.852 ms
[1752378301.354466] seq=336 owd=51.955 ms
[1752378301.414413] seq=339 owd=51.887 ms
[1752378301.674352] seq=352 owd=51.844 ms
[1752378301.734295] seq=355 owd=51.786 ms
[1752378301.934371] seq=365 owd=51.881 ms
[1752378302.134438] seq=375 owd=51.925 ms
[1752378302.194366] seq=378 owd=51.864 ms
[1752378302.394437] seq=388 owd=51.939 ms
[1752378302.454406] seq=391 owd=51.867 ms
[1752378302.514366] seq=394 owd=51.816 ms
[1752378302.574353] seq=397 owd=51.854 ms
[1752378302.714443] seq=404 owd=51.922 ms
[1752378302.774382] seq=407 owd=51.879 ms
[1752378302.834358] seq=410 owd=51.849 ms
[1752378303.034372] seq=420 owd=51.873 ms
[1752378303.094363] seq=423 owd=51.871 ms
[1752378303.154319] seq=426 owd=51.805 ms
[1752378303.354388] seq=436 owd=51.887 ms
[1752378303.414348] seq=439 owd=51.790 ms
[1752378303.474287] seq=442 owd=51.785 ms
[1752378303.614444] seq=449 owd=51.934 ms
[1752378303.674379] seq=452 owd=51.882 ms
[1752378303.734330] seq=455 owd=51.818 ms
[1752378303.872809] seq=462 owd=50.283 ms
[1752378303.934397] seq=465 owd=51.908 ms
[1752378303.994345] seq=468 owd=51.842 ms
[1752378304.054289] seq=471 owd=51.801 ms
[1752378304.114248] seq=474 owd=51.746 ms
[1752378304.314354] seq=484 owd=51.867 ms
[1752378304.374279] seq=487 owd=51.798 ms
[1752378304.434264] seq=490 owd=51.763 ms
[1752378304.574405] seq=497 owd=51.905 ms
[1752378304.634341] seq=500 owd=51.832 ms
[1752378304.694305] seq=503 owd=51.791 ms
[1752378304.754276] seq=506 owd=51.768 ms
[1752378304.894412] seq=513 owd=51.908 ms
[1752378304.954345] seq=516 owd=51.843 ms
[1752378305.014302] seq=519 owd=51.758 ms
[1752378305.074249] seq=522 owd=51.763 ms
[1752378305.214401] seq=529 owd=51.901 ms
[1752378305.274320] seq=532 owd=51.813 ms
[1752378305.334282] seq=535 owd=51.780 ms
[1752378305.474432] seq=542 owd=51.915 ms
[1752378305.534401] seq=545 owd=51.905 ms
[1752378305.594340] seq=548 owd=51.832 ms
[1752378305.654323] seq=551 owd=51.821 ms
[1752378305.714255] seq=554 owd=51.765 ms
[1752378305.854391] seq=561 owd=51.889 ms
[1752378305.914343] seq=564 owd=51.832 ms
[1752378305.974303] seq=567 owd=51.798 ms
[1752378306.034245] seq=570 owd=51.738 ms
[1752378306.174433] seq=577 owd=51.947 ms
[1752378306.293517] seq=583 owd=50.990 ms
[1752378306.354271] seq=586 owd=51.784 ms
[1752378306.414256] seq=589 owd=51.759 ms
[1752378306.474228] seq=592 owd=51.703 ms
[1752378306.554431] seq=596 owd=51.934 ms
[1752378306.614384] seq=599 owd=51.877 ms
[1752378306.674375] seq=602 owd=51.872 ms
[1752378306.734320] seq=605 owd=51.819 ms
[1752378306.794264] seq=608 owd=51.761 ms
[1752378306.934360] seq=615 owd=51.850 ms
[1752378306.994312] seq=618 owd=51.827 ms
[1752378307.114195] seq=624 owd=51.709 ms
[1752378307.254334] seq=631 owd=51.848 ms
[1752378307.314340] seq=634 owd=51.813 ms
[1752378307.434187] seq=640 owd=51.679 ms
[1752378307.514385] seq=644 owd=51.900 ms
[1752378307.634296] seq=650 owd=51.790 ms
[1752378307.694230] seq=653 owd=51.727 ms
[1752378307.754209] seq=656 owd=51.713 ms
