# OWD receiver: AF41  port=5001
[1782817297.956558] seq=1 owd=0.110 ms
[1782817297.976638] seq=2 owd=0.065 ms
[1782817297.996656] seq=3 owd=0.101 ms
[1782817298.016667] seq=4 owd=0.114 ms
[1782817298.036653] seq=5 owd=0.072 ms
[1782817298.056678] seq=6 owd=0.112 ms
[1782817298.076601] seq=7 owd=0.123 ms
[1782817298.096944] seq=8 owd=0.463 ms
[1782817298.120968] seq=9 owd=4.483 ms
[1782817298.141633] seq=10 owd=5.144 ms
[1782817298.201616] seq=13 owd=5.130 ms
[1782817298.281610] seq=17 owd=5.124 ms
[1782817298.341637] seq=20 owd=5.149 ms
[1782817298.401623] seq=23 owd=5.138 ms
[1782817298.441625] seq=25 owd=5.134 ms
[1782817298.481621] seq=27 owd=5.133 ms
[1782817298.541629] seq=30 owd=5.145 ms
[1782817298.701633] seq=38 owd=5.156 ms
[1782817298.721611] seq=39 owd=5.133 ms
[1782817298.761614] seq=41 owd=5.137 ms
[1782817298.801607] seq=43 owd=5.120 ms
[1782817298.861600] seq=46 owd=5.148 ms
[1782817298.921636] seq=49 owd=5.152 ms
[1782817298.981618] seq=52 owd=5.130 ms
[1782817299.001679] seq=53 owd=5.156 ms
[1782817299.041625] seq=55 owd=5.147 ms
[1782817299.081626] seq=57 owd=5.141 ms
[1782817299.181650] seq=62 owd=5.163 ms
[1782817299.201632] seq=63 owd=5.152 ms
[1782817299.341659] seq=70 owd=5.170 ms
[1782817299.401660] seq=73 owd=5.167 ms
[1782817299.441656] seq=75 owd=5.167 ms
[1782817299.521617] seq=79 owd=5.143 ms
[1782817299.641680] seq=85 owd=5.177 ms
[1782817299.901589] seq=98 owd=5.114 ms
[1782817299.921593] seq=99 owd=5.113 ms
[1782817300.041625] seq=105 owd=5.138 ms
[1782817300.061640] seq=106 owd=5.159 ms
[1782817300.081851] seq=107 owd=5.376 ms
[1782817300.101614] seq=108 owd=5.136 ms
[1782817300.141612] seq=110 owd=5.132 ms
[1782817300.301604] seq=118 owd=5.129 ms
[1782817300.341630] seq=120 owd=5.150 ms
[1782817300.361691] seq=121 owd=5.167 ms
[1782817300.381651] seq=122 owd=5.127 ms
[1782817300.421637] seq=124 owd=5.160 ms
[1782817300.441628] seq=125 owd=5.150 ms
[1782817300.541642] seq=130 owd=5.126 ms
[1782817300.561602] seq=131 owd=5.135 ms
[1782817300.621607] seq=134 owd=5.128 ms
[1782817300.661620] seq=136 owd=5.132 ms
[1782817300.681612] seq=137 owd=5.124 ms
[1782817300.761647] seq=141 owd=5.159 ms
[1782817300.781646] seq=142 owd=5.156 ms
[1782817300.801621] seq=143 owd=5.132 ms
[1782817300.821612] seq=144 owd=5.131 ms
[1782817300.841607] seq=145 owd=5.127 ms
[1782817301.041940] seq=155 owd=5.457 ms
[1782817301.121651] seq=159 owd=5.159 ms
[1782817301.141790] seq=160 owd=5.308 ms
[1782817301.181637] seq=162 owd=5.146 ms
[1782817301.201627] seq=163 owd=5.147 ms
[1782817301.221633] seq=164 owd=5.155 ms
[1782817301.261635] seq=166 owd=5.150 ms
[1782817301.281804] seq=167 owd=5.316 ms
[1782817301.321635] seq=169 owd=5.142 ms
[1782817301.361624] seq=171 owd=5.134 ms
[1782817301.381612] seq=172 owd=5.126 ms
[1782817301.501620] seq=178 owd=5.135 ms
[1782817301.521600] seq=179 owd=5.116 ms
[1782817301.581618] seq=182 owd=5.166 ms
[1782817301.661896] seq=186 owd=5.411 ms
[1782817301.681624] seq=187 owd=5.133 ms
[1782817301.721635] seq=189 owd=5.155 ms
[1782817301.841589] seq=195 owd=5.124 ms
[1782817301.861636] seq=196 owd=5.164 ms
[1782817301.921624] seq=199 owd=5.140 ms
[1782817302.001622] seq=203 owd=5.144 ms
[1782817302.021641] seq=204 owd=5.159 ms
[1782817302.201633] seq=213 owd=5.145 ms
[1782817302.241607] seq=215 owd=5.120 ms
[1782817302.261898] seq=216 owd=5.411 ms
[1782817302.301631] seq=218 owd=5.142 ms
[1782817302.341651] seq=220 owd=5.165 ms
[1782817302.381610] seq=222 owd=5.121 ms
[1782817302.441615] seq=225 owd=5.127 ms
[1782817302.481617] seq=227 owd=5.132 ms
[1782817302.501621] seq=228 owd=5.133 ms
[1782817302.521594] seq=229 owd=5.111 ms
[1782817302.601619] seq=233 owd=5.133 ms
[1782817302.621610] seq=234 owd=5.128 ms
[1782817302.781625] seq=242 owd=5.145 ms
[1782817302.801604] seq=243 owd=5.123 ms
[1782817302.821654] seq=244 owd=5.161 ms
[1782817302.861630] seq=246 owd=5.140 ms
[1782817302.901602] seq=248 owd=5.119 ms
[1782817302.981642] seq=252 owd=5.161 ms
[1782817303.041621] seq=255 owd=5.128 ms
[1782817303.081633] seq=257 owd=5.140 ms
[1782817303.101619] seq=258 owd=5.134 ms
[1782817303.121947] seq=259 owd=5.462 ms
