time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1290054912,667749268,350269613
2,1786557435,892961685,446463514
3,1785463438,892418618,446191629
4,1786277424,892803190,446379898
5,1784394648,891880441,445917767
6,1787566153,893465341,446701731
7,1783712001,891548067,445751978
8,1786236059,892782733,446373838
9,1786722545,893038743,446492745
10,1781835613,890600936,445282787
11,1788274491,893810699,446883326
12,1785579508,892472380,446209601
13,1786125697,892731826,446352358
14,1786397540,892889994,446418369
15,1783147107,891252357,445603930
16,1788201301,893778710,446862567
17,1784703497,892030206,446002057
18,1784457431,891906988,445927242
19,1786904109,893134776,446558628
20,1732976161,866170163,433049756
21,0,0,0
22,147,77,77
23,0,0,0
24,0,69,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,77,77,77
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1754961210,901909047,450458858
43,1787707456,893531440,446734454
44,1784524191,891944790,445958893
45,1785257383,892311251,446129052
46,1785374181,892347255,446155733
47,1783840403,891611848,445783894
48,1788854451,894109651,447032511
49,1783983805,891665491,445810775
50,1786948362,893152455,446558360
51,1783113833,891235428,445600069
52,1789194581,894283729,447110798
53,1782391026,890878516,445412442
54,1787601942,893465502,446719625
55,1784908547,892141414,446048312
56,1785047471,892201846,446078872
57,1786895430,893125345,446531464
58,1786089532,892713986,446334839
59,1783739273,891565765,445769944
60,1788253621,893791007,446868796
61,42038412,34431923,44022795
62,77,77,77
63,0,0,0
