# OWD receiver: AF42  port=5002
[1782817375.821204] seq=1 owd=0.095 ms
[1782817375.841269] seq=2 owd=0.118 ms
[1782817375.861548] seq=3 owd=0.409 ms
[1782817376.021392] seq=10 owd=20.247 ms
[1782817376.281423] seq=23 owd=20.247 ms
[1782817376.381393] seq=28 owd=20.256 ms
[1782817376.641371] seq=41 owd=20.233 ms
[1782817376.841495] seq=51 owd=20.346 ms
[1782817377.021384] seq=60 owd=20.240 ms
[1782817377.061386] seq=62 owd=20.244 ms
[1782817377.141404] seq=66 owd=20.265 ms
[1782817377.221389] seq=70 owd=20.247 ms
[1782817377.301377] seq=74 owd=20.235 ms
[1782817377.441405] seq=81 owd=20.256 ms
[1782817377.641453] seq=91 owd=20.270 ms
[1782817377.761427] seq=97 owd=20.255 ms
[1782817377.821564] seq=100 owd=20.424 ms
[1782817377.841378] seq=101 owd=20.237 ms
[1782817377.861359] seq=102 owd=20.219 ms
[1782817377.881388] seq=103 owd=20.247 ms
[1782817377.961416] seq=107 owd=20.275 ms
[1782817378.021389] seq=110 owd=20.248 ms
[1782817378.121408] seq=115 owd=20.266 ms
[1782817378.281381] seq=123 owd=20.240 ms
[1782817378.301368] seq=124 owd=20.226 ms
[1782817378.361400] seq=127 owd=20.261 ms
[1782817378.601403] seq=139 owd=20.259 ms
[1782817378.781379] seq=148 owd=20.232 ms
[1782817378.861403] seq=152 owd=20.244 ms
[1782817378.881350] seq=153 owd=20.217 ms
[1782817378.961396] seq=157 owd=20.255 ms
[1782817378.981379] seq=158 owd=20.239 ms
[1782817379.061432] seq=162 owd=20.262 ms
[1782817379.101382] seq=164 owd=20.246 ms
[1782817379.121375] seq=165 owd=20.244 ms
[1782817379.161375] seq=167 owd=20.242 ms
[1782817379.401359] seq=179 owd=20.242 ms
[1782817379.421380] seq=180 owd=20.240 ms
[1782817379.601387] seq=189 owd=20.242 ms
[1782817379.681387] seq=193 owd=20.249 ms
[1782817379.801454] seq=199 owd=20.314 ms
[1782817379.821542] seq=200 owd=20.388 ms
[1782817379.941416] seq=206 owd=20.265 ms
[1782817379.981663] seq=208 owd=20.475 ms
[1782817380.061559] seq=212 owd=20.410 ms
[1782817380.081389] seq=213 owd=20.247 ms
[1782817380.141379] seq=216 owd=20.244 ms
[1782817380.221381] seq=220 owd=20.251 ms
[1782817380.361385] seq=227 owd=20.247 ms
[1782817380.461406] seq=232 owd=20.271 ms
[1782817380.481379] seq=233 owd=20.244 ms
[1782817380.501372] seq=234 owd=20.236 ms
[1782817380.521375] seq=235 owd=20.230 ms
[1782817380.621413] seq=240 owd=20.269 ms
[1782817380.641381] seq=241 owd=20.239 ms
[1782817380.701366] seq=244 owd=20.234 ms
[1782817380.721361] seq=245 owd=20.242 ms
[1782817380.741548] seq=246 owd=20.418 ms
[1782817380.761412] seq=247 owd=20.265 ms
[1782817380.821386] seq=250 owd=20.233 ms
[1782817380.861495] seq=252 owd=20.362 ms
[1782817380.881409] seq=253 owd=20.261 ms
[1782817380.921408] seq=255 owd=20.265 ms
[1782817381.061387] seq=262 owd=20.245 ms
[1782817381.121380] seq=265 owd=20.241 ms
[1782817381.221543] seq=270 owd=20.402 ms
[1782817381.241413] seq=271 owd=20.236 ms
[1782817381.301382] seq=274 owd=20.248 ms
[1782817381.321397] seq=275 owd=20.250 ms
[1782817381.381408] seq=278 owd=20.260 ms
[1782817381.501387] seq=284 owd=20.241 ms
[1782817382.181395] seq=318 owd=20.252 ms
[1782817382.221426] seq=320 owd=20.249 ms
[1782817382.261403] seq=322 owd=20.260 ms
[1782817382.421430] seq=330 owd=20.283 ms
[1782817382.601641] seq=339 owd=20.499 ms
[1782817382.661428] seq=342 owd=20.263 ms
[1782817382.701373] seq=344 owd=20.236 ms
[1782817382.781389] seq=348 owd=20.247 ms
[1782817382.881418] seq=353 owd=20.272 ms
[1782817383.121540] seq=365 owd=20.402 ms
[1782817383.141398] seq=366 owd=20.255 ms
[1782817383.161400] seq=367 owd=20.252 ms
[1782817383.361567] seq=377 owd=20.416 ms
[1782817383.441378] seq=381 owd=20.240 ms
[1782817383.541399] seq=386 owd=20.266 ms
[1782817383.601635] seq=389 owd=20.490 ms
[1782817383.801375] seq=399 owd=20.242 ms
[1782817383.841400] seq=401 owd=20.267 ms
[1782817383.881407] seq=403 owd=20.266 ms
[1782817384.161406] seq=417 owd=20.266 ms
[1782817384.181390] seq=418 owd=20.243 ms
[1782817384.301414] seq=424 owd=20.283 ms
[1782817384.501429] seq=434 owd=20.271 ms
[1782817384.541403] seq=436 owd=20.268 ms
[1782817384.641422] seq=441 owd=20.267 ms
[1782817384.681390] seq=443 owd=20.251 ms
[1782817384.881488] seq=453 owd=20.324 ms
[1782817385.201389] seq=469 owd=20.236 ms
[1782817385.381403] seq=478 owd=20.259 ms
[1782817385.401386] seq=479 owd=20.247 ms
[1782817385.421391] seq=480 owd=20.247 ms
[1782817385.501412] seq=484 owd=20.267 ms
[1782817385.521396] seq=485 owd=20.250 ms
[1782817385.541528] seq=486 owd=20.389 ms
[1782817385.661458] seq=492 owd=20.284 ms
[1782817385.721401] seq=495 owd=20.264 ms
[1782817385.741456] seq=496 owd=20.320 ms
[1782817385.901403] seq=504 owd=20.256 ms
[1782817386.041409] seq=511 owd=20.268 ms
[1782817386.121416] seq=515 owd=20.272 ms
[1782817386.161397] seq=517 owd=20.259 ms
[1782817386.261379] seq=522 owd=20.251 ms
[1782817386.301391] seq=524 owd=20.247 ms
[1782817386.481377] seq=533 owd=20.244 ms
[1782817386.501506] seq=534 owd=20.350 ms
[1782817386.561385] seq=537 owd=20.247 ms
[1782817386.661391] seq=542 owd=20.252 ms
[1782817386.881404] seq=553 owd=20.263 ms
[1782817386.961424] seq=557 owd=20.275 ms
[1782817387.181424] seq=568 owd=20.263 ms
[1782817387.221369] seq=570 owd=20.232 ms
[1782817387.481381] seq=583 owd=20.248 ms
[1782817387.701390] seq=594 owd=20.251 ms
[1782817387.761369] seq=597 owd=20.236 ms
[1782817387.881356] seq=603 owd=20.221 ms
[1782817387.901351] seq=604 owd=20.221 ms
[1782817388.021385] seq=610 owd=20.245 ms
[1782817388.061387] seq=612 owd=20.245 ms
[1782817388.221404] seq=620 owd=20.258 ms
[1782817388.281390] seq=623 owd=20.260 ms
[1782817388.381365] seq=628 owd=20.234 ms
[1782817388.401369] seq=629 owd=20.231 ms
[1782817388.441401] seq=631 owd=20.263 ms
[1782817388.521407] seq=635 owd=20.261 ms
[1782817388.601391] seq=639 owd=20.254 ms
[1782817388.621553] seq=640 owd=20.410 ms
[1782817388.741409] seq=646 owd=20.263 ms
[1782817388.881407] seq=653 owd=20.258 ms
[1782817388.901394] seq=654 owd=20.249 ms
[1782817388.961392] seq=657 owd=20.259 ms
[1782817389.061388] seq=662 owd=20.254 ms
[1782817389.161439] seq=667 owd=20.300 ms
[1782817389.181688] seq=668 owd=20.540 ms
[1782817389.241607] seq=671 owd=20.427 ms
[1782817389.401383] seq=679 owd=20.243 ms
[1782817389.441358] seq=681 owd=20.233 ms
[1782817389.521398] seq=685 owd=20.261 ms
[1782817389.541405] seq=686 owd=20.249 ms
[1782817389.761384] seq=697 owd=20.247 ms
[1782817389.821385] seq=700 owd=20.243 ms
[1782817389.841352] seq=701 owd=20.221 ms
[1782817389.961421] seq=707 owd=20.273 ms
[1782817390.061387] seq=712 owd=20.248 ms
[1782817390.101584] seq=714 owd=20.460 ms
[1782817390.121374] seq=715 owd=20.235 ms
[1782817390.201545] seq=719 owd=20.403 ms
[1782817390.261406] seq=722 owd=20.263 ms
[1782817390.381403] seq=728 owd=20.256 ms
[1782817390.401375] seq=729 owd=20.235 ms
[1782817390.521414] seq=735 owd=20.265 ms
[1782817390.721413] seq=745 owd=20.265 ms
[1782817390.901386] seq=754 owd=20.254 ms
[1782817391.041385] seq=761 owd=20.243 ms
[1782817391.141578] seq=766 owd=20.435 ms
[1782817391.241400] seq=771 owd=20.259 ms
[1782817391.501388] seq=784 owd=20.246 ms
[1782817391.641399] seq=791 owd=20.257 ms
[1782817391.661384] seq=792 owd=20.247 ms
[1782817391.801409] seq=799 owd=20.263 ms
[1782817391.981406] seq=808 owd=20.255 ms
[1782817392.061372] seq=812 owd=20.233 ms
[1782817392.261404] seq=822 owd=20.264 ms
[1782817392.501412] seq=834 owd=20.267 ms
[1782817392.521551] seq=835 owd=20.407 ms
[1782817392.561389] seq=837 owd=20.245 ms
[1782817392.621396] seq=840 owd=20.253 ms
[1782817392.781384] seq=848 owd=20.247 ms
[1782817392.921531] seq=855 owd=20.406 ms
[1782817393.181414] seq=868 owd=20.267 ms
[1782817393.201373] seq=869 owd=20.222 ms
[1782817393.241393] seq=871 owd=20.243 ms
[1782817393.261412] seq=872 owd=20.255 ms
[1782817393.441395] seq=881 owd=20.254 ms
[1782817393.501404] seq=884 owd=20.247 ms
[1782817393.621379] seq=890 owd=20.238 ms
[1782817393.641390] seq=891 owd=20.247 ms
[1782817393.721416] seq=895 owd=20.262 ms
[1782817393.861459] seq=902 owd=20.315 ms
[1782817393.981398] seq=908 owd=20.268 ms
[1782817394.041410] seq=911 owd=20.270 ms
[1782817394.121378] seq=915 owd=20.240 ms
[1782817394.141497] seq=916 owd=20.357 ms
[1782817394.181416] seq=918 owd=20.279 ms
[1782817394.281444] seq=923 owd=20.296 ms
[1782817394.481396] seq=933 owd=20.246 ms
[1782817394.781404] seq=948 owd=20.257 ms
[1782817394.861432] seq=952 owd=20.264 ms
[1782817394.881375] seq=953 owd=20.241 ms
[1782817394.981394] seq=958 owd=20.241 ms
[1782817395.001389] seq=959 owd=20.239 ms
[1782817395.041427] seq=961 owd=20.267 ms
[1782817395.081393] seq=963 owd=20.244 ms
[1782817395.121396] seq=965 owd=20.253 ms
[1782817395.241396] seq=971 owd=20.244 ms
[1782817395.601394] seq=989 owd=20.257 ms
[1782817395.641400] seq=991 owd=20.252 ms
[1782817395.701409] seq=994 owd=20.270 ms
[1782817395.941269] seq=1007 owd=0.125 ms
[1782817395.966225] seq=1008 owd=5.078 ms
[1782817396.061366] seq=1012 owd=20.225 ms
[1782817396.101406] seq=1014 owd=20.267 ms
[1782817396.181452] seq=1018 owd=20.287 ms
[1782817396.221386] seq=1020 owd=20.250 ms
[1782817396.461468] seq=1032 owd=20.277 ms
[1782817396.481528] seq=1033 owd=20.388 ms
[1782817396.541403] seq=1036 owd=20.257 ms
[1782817396.581412] seq=1038 owd=20.275 ms
[1782817396.621415] seq=1040 owd=20.264 ms
[1782817396.661414] seq=1042 owd=20.260 ms
[1782817396.841379] seq=1051 owd=20.231 ms
[1782817396.861364] seq=1052 owd=20.222 ms
[1782817396.981385] seq=1058 owd=20.256 ms
[1782817397.161398] seq=1067 owd=20.259 ms
[1782817397.221382] seq=1070 owd=20.245 ms
[1782817397.301411] seq=1074 owd=20.276 ms
[1782817397.481406] seq=1083 owd=20.273 ms
[1782817397.621380] seq=1090 owd=20.232 ms
[1782817397.641381] seq=1091 owd=20.239 ms
[1782817397.941386] seq=1106 owd=20.248 ms
[1782817398.021394] seq=1110 owd=20.248 ms
[1782817398.121580] seq=1115 owd=20.443 ms
[1782817398.201557] seq=1119 owd=20.416 ms
[1782817398.221376] seq=1120 owd=20.235 ms
[1782817398.261411] seq=1122 owd=20.236 ms
[1782817398.301489] seq=1124 owd=20.353 ms
[1782817398.421416] seq=1130 owd=20.247 ms
[1782817398.441364] seq=1131 owd=20.230 ms
[1782817398.561413] seq=1137 owd=20.260 ms
[1782817398.601385] seq=1139 owd=20.258 ms
[1782817398.681389] seq=1143 owd=20.247 ms
[1782817398.821388] seq=1150 owd=20.248 ms
[1782817398.961407] seq=1157 owd=20.261 ms
[1782817399.041429] seq=1161 owd=20.279 ms
[1782817399.081394] seq=1163 owd=20.247 ms
[1782817399.101416] seq=1164 owd=20.249 ms
[1782817399.181465] seq=1168 owd=20.319 ms
[1782817399.261389] seq=1172 owd=20.238 ms
[1782817399.341396] seq=1176 owd=20.249 ms
[1782817399.361395] seq=1177 owd=20.252 ms
[1782817399.481434] seq=1183 owd=20.279 ms
[1782817399.521375] seq=1185 owd=20.232 ms
[1782817399.541398] seq=1186 owd=20.243 ms
[1782817399.601387] seq=1189 owd=20.249 ms
[1782817399.681397] seq=1193 owd=20.250 ms
[1782817399.701382] seq=1194 owd=20.245 ms
[1782817399.781394] seq=1198 owd=20.235 ms
[1782817399.941417] seq=1206 owd=20.264 ms
[1782817399.961368] seq=1207 owd=20.228 ms
[1782817400.121397] seq=1215 owd=20.253 ms
[1782817400.141386] seq=1216 owd=20.239 ms
[1782817400.181724] seq=1218 owd=20.585 ms
[1782817400.201410] seq=1219 owd=20.255 ms
[1782817400.221376] seq=1220 owd=20.230 ms
[1782817400.261400] seq=1222 owd=20.250 ms
[1782817400.281415] seq=1223 owd=20.264 ms
[1782817400.301383] seq=1224 owd=20.238 ms
[1782817400.321384] seq=1225 owd=20.237 ms
[1782817400.401396] seq=1229 owd=20.256 ms
[1782817400.461617] seq=1232 owd=20.467 ms
[1782817400.541420] seq=1236 owd=20.270 ms
[1782817400.561385] seq=1237 owd=20.237 ms
[1782817400.581379] seq=1238 owd=20.232 ms
[1782817400.601403] seq=1239 owd=20.257 ms
[1782817400.621389] seq=1240 owd=20.244 ms
[1782817400.661442] seq=1242 owd=20.251 ms
[1782817400.681389] seq=1243 owd=20.255 ms
[1782817401.081378] seq=1263 owd=20.236 ms
[1782817401.121399] seq=1265 owd=20.252 ms
[1782817401.241393] seq=1271 owd=20.254 ms
[1782817401.261384] seq=1272 owd=20.245 ms
[1782817401.321413] seq=1275 owd=20.267 ms
[1782817401.361409] seq=1277 owd=20.260 ms
[1782817401.461390] seq=1282 owd=20.247 ms
[1782817401.501431] seq=1284 owd=20.260 ms
[1782817401.521628] seq=1285 owd=20.474 ms
[1782817401.801391] seq=1299 owd=20.246 ms
[1782817401.881433] seq=1303 owd=20.252 ms
[1782817402.061394] seq=1312 owd=20.244 ms
[1782817402.221416] seq=1320 owd=20.276 ms
[1782817402.301394] seq=1324 owd=20.247 ms
[1782817402.321368] seq=1325 owd=20.226 ms
[1782817402.441844] seq=1331 owd=20.711 ms
[1782817402.661394] seq=1342 owd=20.251 ms
[1782817402.801402] seq=1349 owd=20.247 ms
[1782817402.861382] seq=1352 owd=20.240 ms
[1782817402.961379] seq=1357 owd=20.246 ms
[1782817403.061537] seq=1362 owd=20.381 ms
[1782817403.421395] seq=1380 owd=20.241 ms
[1782817403.581403] seq=1388 owd=20.263 ms
[1782817403.721385] seq=1395 owd=20.239 ms
[1782817403.821381] seq=1400 owd=20.236 ms
[1782817403.901417] seq=1404 owd=20.244 ms
[1782817404.201411] seq=1419 owd=20.262 ms
[1782817404.241422] seq=1421 owd=20.269 ms
[1782817404.361396] seq=1427 owd=20.248 ms
[1782817404.521392] seq=1435 owd=20.246 ms
[1782817404.561386] seq=1437 owd=20.238 ms
[1782817404.681420] seq=1443 owd=20.257 ms
[1782817404.801435] seq=1449 owd=20.264 ms
[1782817404.841373] seq=1451 owd=20.229 ms
[1782817404.861367] seq=1452 owd=20.225 ms
[1782817405.061406] seq=1462 owd=20.265 ms
[1782817405.261377] seq=1472 owd=20.236 ms
[1782817405.301401] seq=1474 owd=20.261 ms
[1782817405.321374] seq=1475 owd=20.233 ms
[1782817405.381428] seq=1478 owd=20.278 ms
