time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1369905704,703871064,368476657
2,1785047471,892210624,446078711
3,1786197383,892776563,446370467
4,1785257675,892302382,446119914
5,1783644147,891504868,445739268
6,1787863057,893605493,446776119
7,1786116481,892740344,446352626
8,1784640129,891998043,445967787
9,1786173652,892764856,446365007
10,1785243846,892300115,446132771
11,1787252945,893322292,446630206
12,1784766111,892056673,446010772
13,1785324560,892327145,446141441
14,1784993918,892175163,446060966
15,1786107695,892740720,446352788
16,1785025012,892190776,446073386
17,1784641044,892003257,445975000
18,1788737685,894032824,446994183
19,1785773191,892572914,446268948
20,1763185555,881270382,440608484
21,1419504856,731138645,365734625
22,1787190099,893268447,446612151
23,1784730178,892039189,446001843
24,1786173729,892765256,446356039
25,1785583934,892470534,446212787
26,1786223795,892794242,446379361
27,1783289623,891323507,445639773
28,1787494360,893420443,446683729
29,1785642545,892507876,446227514
30,1783787000,891567598,445766083
31,1787514461,893444441,446704290
32,1785655119,892496813,446222208
33,1783396509,891359244,445675509
34,1789498876,894445209,447182340
35,1783357743,891361801,445659145
36,1786581578,892973241,446460155
37,1785681773,892541343,446257371
38,1785404898,892363113,446150272
39,1785020709,892184226,446069880
40,1787877731,893621163,446788137
41,1787586182,931664695,478543085
42,1786707430,893044766,446504569
43,1785597701,892481410,446218417
44,1786698549,893009162,446486752
45,1783858453,891629683,445783638
46,1785566057,892452228,446203902
47,1786475016,892910342,446442045
48,1785565628,892460952,446203956
49,1786080907,892713771,446325946
50,1783590516,891486616,445730061
51,1786537217,892937775,446442045
52,1787217209,893286342,446630045
53,1784989233,892176720,446057313
54,1786866298,893110201,446537657
55,1784305264,891835427,445900105
56,1785646556,892505966,446221725
57,1785070135,892212885,446084370
58,1785807447,892577258,446275302
59,1786188758,892776778,446361789
60,1729440008,877841491,465749740
61,0,0,0
62,0,0,0
63,0,0,0
