# OWD receiver: AF43  port=5003
[1782817223.068826] seq=1 owd=0.249 ms
[1782817223.105487] seq=2 owd=16.837 ms
[1782817223.165422] seq=3 owd=56.822 ms
[1782817223.329323] seq=10 owd=80.720 ms
[1782817223.469345] seq=17 owd=80.739 ms
[1782817223.529318] seq=20 owd=80.698 ms
[1782817223.549290] seq=21 owd=80.673 ms
[1782817223.669310] seq=27 owd=80.709 ms
[1782817223.729332] seq=30 owd=80.720 ms
[1782817223.789366] seq=33 owd=80.715 ms
[1782817223.809366] seq=34 owd=80.724 ms
[1782817224.009315] seq=44 owd=80.706 ms
[1782817224.109351] seq=49 owd=80.732 ms
[1782817224.249349] seq=56 owd=80.703 ms
[1782817224.309362] seq=59 owd=80.757 ms
[1782817224.429335] seq=65 owd=80.728 ms
[1782817224.549321] seq=71 owd=80.712 ms
[1782817224.649322] seq=76 owd=80.719 ms
[1782817224.669371] seq=77 owd=80.765 ms
[1782817224.689293] seq=78 owd=80.691 ms
[1782817224.869337] seq=87 owd=80.732 ms
[1782817225.009342] seq=94 owd=80.736 ms
[1782817225.029283] seq=95 owd=80.693 ms
[1782817225.069288] seq=97 owd=80.684 ms
[1782817225.349341] seq=111 owd=80.736 ms
[1782817225.389307] seq=113 owd=80.699 ms
[1782817225.789345] seq=133 owd=80.737 ms
[1782817225.809339] seq=134 owd=80.751 ms
[1782817225.909346] seq=139 owd=80.703 ms
[1782817225.969353] seq=142 owd=80.736 ms
[1782817226.109356] seq=149 owd=80.737 ms
[1782817226.149347] seq=151 owd=80.689 ms
[1782817226.249347] seq=156 owd=80.731 ms
[1782817226.389327] seq=163 owd=80.703 ms
[1782817226.429314] seq=165 owd=80.697 ms
[1782817226.469346] seq=167 owd=80.730 ms
[1782817226.629334] seq=175 owd=80.715 ms
[1782817226.749357] seq=181 owd=80.738 ms
[1782817226.789350] seq=183 owd=80.732 ms
[1782817226.889336] seq=188 owd=80.724 ms
[1782817227.449323] seq=216 owd=80.709 ms
[1782817227.609349] seq=224 owd=80.726 ms
[1782817227.709330] seq=229 owd=80.719 ms
[1782817227.789314] seq=233 owd=80.726 ms
[1782817227.829303] seq=235 owd=80.690 ms
[1782817227.909301] seq=239 owd=80.689 ms
[1782817228.209381] seq=254 owd=80.757 ms
[1782817228.309705] seq=259 owd=81.095 ms
[1782817228.329336] seq=260 owd=80.717 ms
[1782817228.589331] seq=273 owd=80.722 ms
[1782817228.669300] seq=277 owd=80.686 ms
[1782817228.689322] seq=278 owd=80.713 ms
[1782817228.709286] seq=279 owd=80.678 ms
[1782817228.969330] seq=292 owd=80.715 ms
[1782817229.069313] seq=297 owd=80.705 ms
[1782817229.109378] seq=299 owd=80.772 ms
[1782817229.149323] seq=301 owd=80.712 ms
[1782817229.209278] seq=304 owd=80.695 ms
[1782817229.289317] seq=308 owd=80.708 ms
[1782817229.309348] seq=309 owd=80.717 ms
[1782817229.429332] seq=315 owd=80.723 ms
[1782817229.469333] seq=317 owd=80.719 ms
[1782817229.709331] seq=329 owd=80.716 ms
[1782817229.809326] seq=334 owd=80.711 ms
[1782817229.869311] seq=337 owd=80.703 ms
[1782817229.909343] seq=339 owd=80.741 ms
[1782817230.149362] seq=351 owd=80.751 ms
[1782817230.449334] seq=366 owd=80.717 ms
[1782817230.469360] seq=367 owd=80.703 ms
[1782817230.649330] seq=376 owd=80.721 ms
[1782817230.829358] seq=385 owd=80.746 ms
[1782817231.069343] seq=397 owd=80.731 ms
[1782817231.089324] seq=398 owd=80.713 ms
[1782817231.109284] seq=399 owd=80.675 ms
[1782817231.169300] seq=402 owd=80.690 ms
[1782817231.369398] seq=412 owd=80.787 ms
[1782817231.409301] seq=414 owd=80.694 ms
[1782817231.429288] seq=415 owd=80.680 ms
[1782817231.529340] seq=420 owd=80.734 ms
[1782817231.569339] seq=422 owd=80.722 ms
[1782817231.789345] seq=433 owd=80.738 ms
[1782817231.849344] seq=436 owd=80.727 ms
[1782817231.969328] seq=442 owd=80.708 ms
[1782817232.249325] seq=456 owd=80.712 ms
[1782817232.369380] seq=462 owd=80.761 ms
[1782817232.549359] seq=471 owd=80.737 ms
[1782817232.829337] seq=485 owd=80.718 ms
[1782817233.169344] seq=502 owd=80.739 ms
[1782817233.209323] seq=504 owd=80.716 ms
[1782817233.329314] seq=510 owd=80.718 ms
[1782817233.369288] seq=512 owd=80.688 ms
[1782817233.409303] seq=514 owd=80.690 ms
[1782817233.469296] seq=517 owd=80.691 ms
[1782817233.569325] seq=522 owd=80.710 ms
[1782817233.609321] seq=524 owd=80.706 ms
[1782817233.649318] seq=526 owd=80.669 ms
[1782817233.769325] seq=532 owd=80.713 ms
[1782817233.809331] seq=534 owd=80.719 ms
[1782817233.949333] seq=541 owd=80.717 ms
[1782817233.989335] seq=543 owd=80.717 ms
[1782817234.049328] seq=546 owd=80.708 ms
[1782817234.069302] seq=547 owd=80.688 ms
[1782817234.089305] seq=548 owd=80.694 ms
[1782817234.109265] seq=549 owd=80.652 ms
[1782817234.129221] seq=550 owd=80.615 ms
[1782817234.469321] seq=567 owd=80.720 ms
[1782817234.649313] seq=576 owd=80.702 ms
[1782817234.769349] seq=582 owd=80.740 ms
[1782817234.829338] seq=585 owd=80.709 ms
[1782817234.909366] seq=589 owd=80.747 ms
[1782817235.109327] seq=599 owd=80.717 ms
[1782817235.389320] seq=613 owd=80.709 ms
[1782817235.409307] seq=614 owd=80.694 ms
[1782817235.449309] seq=616 owd=80.694 ms
[1782817235.589331] seq=623 owd=80.722 ms
[1782817235.729331] seq=630 owd=80.711 ms
[1782817235.769332] seq=632 owd=80.716 ms
[1782817235.789319] seq=633 owd=80.709 ms
[1782817235.869305] seq=637 owd=80.694 ms
[1782817235.889316] seq=638 owd=80.705 ms
[1782817236.129326] seq=650 owd=80.716 ms
[1782817236.169325] seq=652 owd=80.714 ms
[1782817236.189302] seq=653 owd=80.685 ms
[1782817236.209290] seq=654 owd=80.673 ms
[1782817236.309363] seq=659 owd=80.750 ms
[1782817236.529322] seq=670 owd=80.706 ms
[1782817236.669386] seq=677 owd=80.777 ms
[1782817236.769331] seq=682 owd=80.724 ms
[1782817236.889334] seq=688 owd=80.726 ms
[1782817236.989338] seq=693 owd=80.728 ms
[1782817237.009350] seq=694 owd=80.741 ms
[1782817237.029314] seq=695 owd=80.683 ms
[1782817237.069274] seq=697 owd=80.667 ms
[1782817237.149291] seq=701 owd=80.692 ms
[1782817237.169318] seq=702 owd=80.721 ms
[1782817237.229308] seq=705 owd=80.700 ms
[1782817237.349696] seq=711 owd=81.074 ms
[1782817237.509340] seq=719 owd=80.716 ms
[1782817237.669333] seq=727 owd=80.713 ms
[1782817237.809330] seq=734 owd=80.717 ms
[1782817237.889319] seq=738 owd=80.712 ms
[1782817238.309327] seq=759 owd=80.714 ms
[1782817238.369335] seq=762 owd=80.735 ms
[1782817238.589345] seq=773 owd=80.731 ms
[1782817238.669322] seq=777 owd=80.704 ms
[1782817238.729332] seq=780 owd=80.723 ms
[1782817238.829341] seq=785 owd=80.726 ms
[1782817238.869329] seq=787 owd=80.712 ms
[1782817239.129348] seq=800 owd=80.708 ms
[1782817239.289335] seq=808 owd=80.715 ms
[1782817239.429339] seq=815 owd=80.749 ms
[1782817239.489297] seq=818 owd=80.685 ms
[1782817239.569360] seq=822 owd=80.737 ms
[1782817239.729330] seq=830 owd=80.728 ms
[1782817239.829374] seq=835 owd=80.745 ms
[1782817239.889331] seq=838 owd=80.705 ms
[1782817240.009639] seq=844 owd=81.040 ms
[1782817240.089299] seq=848 owd=80.692 ms
[1782817240.129289] seq=850 owd=80.688 ms
[1782817240.169322] seq=852 owd=80.710 ms
[1782817240.209327] seq=854 owd=80.712 ms
[1782817240.229290] seq=855 owd=80.691 ms
[1782817240.469362] seq=867 owd=80.707 ms
[1782817240.489316] seq=868 owd=80.712 ms
[1782817240.569490] seq=872 owd=80.875 ms
[1782817240.629324] seq=875 owd=80.705 ms
[1782817240.689335] seq=878 owd=80.719 ms
[1782817240.809335] seq=884 owd=80.721 ms
[1782817240.949361] seq=891 owd=80.738 ms
[1782817240.969300] seq=892 owd=80.686 ms
[1782817241.129313] seq=900 owd=80.715 ms
[1782817241.149338] seq=901 owd=80.729 ms
[1782817241.229332] seq=905 owd=80.717 ms
[1782817241.269324] seq=907 owd=80.718 ms
[1782817241.309287] seq=909 owd=80.670 ms
[1782817241.429384] seq=915 owd=80.757 ms
[1782817241.649338] seq=926 owd=80.729 ms
[1782817241.669353] seq=927 owd=80.732 ms
[1782817241.689304] seq=928 owd=80.710 ms
[1782817241.949384] seq=941 owd=80.758 ms
[1782817241.969352] seq=942 owd=80.741 ms
[1782817241.989366] seq=943 owd=80.754 ms
[1782817242.009323] seq=944 owd=80.704 ms
[1782817242.289337] seq=958 owd=80.730 ms
[1782817242.389355] seq=963 owd=80.739 ms
[1782817242.529356] seq=970 owd=80.747 ms
[1782817242.609316] seq=974 owd=80.704 ms
[1782817242.989343] seq=993 owd=80.727 ms
[1782817243.049327] seq=996 owd=80.701 ms
[1782817243.109302] seq=999 owd=80.687 ms
[1782817243.209429] seq=1004 owd=80.763 ms
[1782817243.249381] seq=1006 owd=80.771 ms
[1782817243.329373] seq=1010 owd=80.752 ms
[1782817243.469479] seq=1017 owd=80.870 ms
[1782817243.529348] seq=1020 owd=80.726 ms
[1782817243.549630] seq=1021 owd=81.012 ms
[1782817243.749410] seq=1031 owd=80.806 ms
[1782817243.769321] seq=1032 owd=80.701 ms
[1782817243.949362] seq=1041 owd=80.751 ms
[1782817243.989337] seq=1043 owd=80.717 ms
[1782817244.049327] seq=1046 owd=80.710 ms
[1782817244.069289] seq=1047 owd=80.682 ms
[1782817244.189370] seq=1053 owd=80.762 ms
[1782817244.209338] seq=1054 owd=80.720 ms
[1782817244.389363] seq=1063 owd=80.733 ms
[1782817244.469338] seq=1067 owd=80.716 ms
[1782817244.609329] seq=1074 owd=80.716 ms
[1782817244.829351] seq=1085 owd=80.735 ms
[1782817244.869331] seq=1087 owd=80.718 ms
[1782817244.889313] seq=1088 owd=80.697 ms
[1782817244.969319] seq=1092 owd=80.703 ms
[1782817245.169338] seq=1102 owd=80.724 ms
[1782817245.229311] seq=1105 owd=80.709 ms
[1782817245.269294] seq=1107 owd=80.693 ms
[1782817245.329286] seq=1110 owd=80.704 ms
[1782817245.449336] seq=1116 owd=80.726 ms
[1782817245.690016] seq=1128 owd=81.373 ms
[1782817245.809344] seq=1134 owd=80.730 ms
[1782817245.829324] seq=1135 owd=80.714 ms
[1782817245.869291] seq=1137 owd=80.678 ms
[1782817245.889274] seq=1138 owd=80.667 ms
[1782817245.909257] seq=1139 owd=80.643 ms
[1782817245.949332] seq=1141 owd=80.724 ms
[1782817246.109316] seq=1149 owd=80.714 ms
[1782817246.129319] seq=1150 owd=80.709 ms
[1782817246.389335] seq=1163 owd=80.727 ms
[1782817246.429292] seq=1165 owd=80.694 ms
[1782817246.449361] seq=1166 owd=80.759 ms
[1782817246.469273] seq=1167 owd=80.665 ms
[1782817246.589349] seq=1173 owd=80.734 ms
[1782817246.669307] seq=1177 owd=80.696 ms
[1782817246.689315] seq=1178 owd=80.697 ms
[1782817246.749325] seq=1181 owd=80.706 ms
[1782817246.849345] seq=1186 owd=80.740 ms
[1782817246.949334] seq=1191 owd=80.724 ms
[1782817247.009342] seq=1194 owd=80.735 ms
[1782817247.189354] seq=1203 owd=80.743 ms
[1782817247.409347] seq=1214 owd=80.721 ms
[1782817247.569353] seq=1222 owd=80.734 ms
[1782817247.789365] seq=1233 owd=80.746 ms
[1782817247.949327] seq=1241 owd=80.716 ms
[1782817247.969322] seq=1242 owd=80.708 ms
[1782817248.069340] seq=1247 owd=80.727 ms
[1782817248.109325] seq=1249 owd=80.715 ms
[1782817248.229356] seq=1255 owd=80.710 ms
[1782817248.309327] seq=1259 owd=80.702 ms
[1782817248.449376] seq=1266 owd=80.744 ms
