time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1517828582,780001734,406748916
2,1784389982,891863942,445914264
3,1786477556,892952616,446463061
4,1784550871,891926358,445923265
5,1787219495,893283497,446623844
6,1783989072,891673175,445814311
7,1787091972,893223789,446594495
8,1785664326,892514636,446230502
9,1785597755,892481303,446218525
10,1783361416,891350644,445657347
11,1787458571,893393924,446665942
12,1786084644,892738524,446355962
13,1783143813,891263318,445605085
14,1789490029,894413697,447184776
15,1783483041,891415270,445685584
16,1785427108,892414067,446189308
17,1788076171,893698155,446826855
18,1785083224,892219884,446087972
19,1784014304,891684997,445816005
20,1786167934,892771247,446367791
21,1786197114,892767615,446352788
22,1785946805,892651408,446307998
23,1785025399,892186097,446075492
24,1784046373,891710129,445828705
25,1786975757,893170043,446567200
26,1783736351,891546898,445746821
27,1787959749,893635631,446791120
28,1785759128,892579723,446272423
29,1784564852,891960564,445962512
30,1786837700,893092655,446519753
31,1786758209,893065665,446510537
32,1783858721,891602761,445783691
33,1784069771,891708905,445832075
34,1787863111,893623155,446784950
35,1785878954,892613172,446284723
36,1785444752,892396530,446180272
37,1785935576,892664212,446305630
38,1785834101,892586035,446275624
39,1784939942,892157369,446052057
40,1786444796,892895390,446421095
41,1785499389,892427512,446191629
42,1784596289,891976683,445975215
43,1786179422,892767723,446352626
44,1785235284,892300168,446132717
45,1786232796,892767615,446361950
46,1784394862,891888842,445926705
47,1787568276,893462288,446704314
48,1782730133,891039300,445492808
49,1786119914,892747302,446355962
50,1787460508,893408795,446686467
51,1786787687,893080608,446513946
52,1783649924,891503473,445733958
53,1786298896,892827854,446391500
54,1786874854,893110553,446528247
55,1784948988,892148163,446060834
56,1782872683,891119559,445528901
57,1787079034,893218013,446591320
58,1785855241,892619553,446278925
59,1787241842,893289838,446627075
60,1551153337,788711832,421176029
61,0,0,0
62,0,0,0
