time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1487377328,763874219,398843648
2,1784944873,892159148,446057259
3,1785011180,892183916,446078711
4,1786077486,892707256,446331587
5,1784779266,892076924,446007365
6,1786111351,892738310,446347238
7,1785825025,892595212,446275594
8,1784716912,892023079,445989542
9,1786170272,892767777,446361681
10,1786590863,892973241,446468995
11,1785002940,892183862,446069719
12,1785378298,892354067,446150326
13,1786044796,892713878,446334947
14,1785159178,892257245,446102103
15,1786432972,892907602,446436461
16,1785306737,892308838,446141333
17,1785893361,892633645,446281018
18,1785552965,892454300,446209631
19,1786820741,893092695,446528515
20,1785907695,892635784,446295924
21,20945544,10450403,5216254
22,41,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,69
27,77,77,77
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,77,77,77
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1675466316,860432204,430623444
43,1785494282,892416314,446186347
44,1787172419,893268394,446603257
45,1785266599,892320413,446146678
46,1782917330,891137149,445537455
47,1787773417,893560652,446767192
48,1785418863,892382722,446164573
49,1785454491,892409725,446182360
50,1784743673,892058779,446007097
51,1786653747,893000244,446477996
52,1786841317,893098557,446522732
53,1785925392,892635930,446304826
54,1785576424,892474450,446215157
55,1784989717,892168041,446057582
56,1784354354,891854833,445905209
57,1787644464,893495585,446725898
58,1785736990,892555270,446250874
59,1784156977,891756467,445860903
60,1672496507,847641164,450658747
61,0,0,0
62,0,0,0
63,0,0,0
