# OWD receiver: AF41  port=5001
[1782823649.811800] seq=1 owd=0.175 ms
[1782823649.831872] seq=2 owd=0.149 ms
[1782823649.851851] seq=3 owd=0.099 ms
[1782823649.871768] seq=4 owd=0.111 ms
[1782823649.891865] seq=5 owd=0.205 ms
[1782823649.911797] seq=6 owd=0.141 ms
[1782823649.934619] seq=7 owd=2.931 ms
[1782823649.956781] seq=8 owd=5.136 ms
[1782823650.016797] seq=11 owd=5.135 ms
[1782823650.096819] seq=15 owd=5.153 ms
[1782823650.116817] seq=16 owd=5.149 ms
[1782823650.156784] seq=18 owd=5.124 ms
[1782823650.176834] seq=19 owd=5.164 ms
[1782823650.236831] seq=22 owd=5.168 ms
[1782823650.356789] seq=28 owd=5.126 ms
[1782823650.376829] seq=29 owd=5.132 ms
[1782823650.396786] seq=30 owd=5.131 ms
[1782823650.436863] seq=32 owd=5.206 ms
[1782823650.476804] seq=34 owd=5.136 ms
[1782823650.496816] seq=35 owd=5.159 ms
[1782823650.517145] seq=36 owd=5.487 ms
[1782823650.536801] seq=37 owd=5.148 ms
[1782823650.556851] seq=38 owd=5.148 ms
[1782823650.616804] seq=41 owd=5.139 ms
[1782823650.636788] seq=42 owd=5.127 ms
[1782823650.656809] seq=43 owd=5.144 ms
[1782823650.696791] seq=45 owd=5.129 ms
[1782823650.716786] seq=46 owd=5.124 ms
[1782823650.736785] seq=47 owd=5.124 ms
[1782823650.776795] seq=49 owd=5.129 ms
[1782823650.796794] seq=50 owd=5.134 ms
[1782823650.816785] seq=51 owd=5.125 ms
[1782823650.836776] seq=52 owd=5.114 ms
[1782823650.856798] seq=53 owd=5.138 ms
[1782823650.896781] seq=55 owd=5.122 ms
[1782823650.957185] seq=58 owd=5.516 ms
[1782823650.976833] seq=59 owd=5.156 ms
[1782823651.076803] seq=64 owd=5.140 ms
[1782823651.116800] seq=66 owd=5.148 ms
[1782823651.136788] seq=67 owd=5.129 ms
[1782823651.216809] seq=71 owd=5.141 ms
[1782823651.256821] seq=73 owd=5.160 ms
[1782823651.316812] seq=76 owd=5.154 ms
[1782823651.336812] seq=77 owd=5.166 ms
[1782823651.476806] seq=84 owd=5.141 ms
[1782823651.496793] seq=85 owd=5.130 ms
[1782823651.516778] seq=86 owd=5.121 ms
[1782823651.576798] seq=89 owd=5.133 ms
[1782823651.596799] seq=90 owd=5.136 ms
[1782823651.616793] seq=91 owd=5.127 ms
[1782823651.636813] seq=92 owd=5.148 ms
[1782823651.716794] seq=96 owd=5.126 ms
[1782823651.736790] seq=97 owd=5.130 ms
[1782823651.756795] seq=98 owd=5.132 ms
[1782823651.776802] seq=99 owd=5.137 ms
[1782823651.856814] seq=103 owd=5.151 ms
[1782823651.976800] seq=109 owd=5.139 ms
[1782823651.996794] seq=110 owd=5.128 ms
[1782823652.016805] seq=111 owd=5.141 ms
[1782823652.076792] seq=114 owd=5.137 ms
[1782823652.136806] seq=117 owd=5.148 ms
[1782823652.176792] seq=119 owd=5.132 ms
[1782823652.196810] seq=120 owd=5.141 ms
[1782823652.216799] seq=121 owd=5.136 ms
[1782823652.256804] seq=123 owd=5.141 ms
[1782823652.316989] seq=126 owd=5.345 ms
[1782823652.336801] seq=127 owd=5.133 ms
[1782823652.356803] seq=128 owd=5.141 ms
[1782823652.456818] seq=133 owd=5.163 ms
[1782823652.536790] seq=137 owd=5.132 ms
[1782823652.556809] seq=138 owd=5.147 ms
[1782823652.576802] seq=139 owd=5.141 ms
[1782823652.596824] seq=140 owd=5.127 ms
[1782823652.676832] seq=144 owd=5.162 ms
[1782823652.696784] seq=145 owd=5.121 ms
[1782823652.736825] seq=147 owd=5.133 ms
[1782823652.756771] seq=148 owd=5.121 ms
[1782823652.776821] seq=149 owd=5.140 ms
[1782823652.836783] seq=152 owd=5.130 ms
[1782823652.876777] seq=154 owd=5.124 ms
[1782823652.896807] seq=155 owd=5.137 ms
[1782823652.996792] seq=160 owd=5.131 ms
[1782823653.076818] seq=164 owd=5.151 ms
[1782823653.096806] seq=165 owd=5.142 ms
[1782823653.116815] seq=166 owd=5.151 ms
[1782823653.136795] seq=167 owd=5.130 ms
[1782823653.156805] seq=168 owd=5.140 ms
[1782823653.176792] seq=169 owd=5.131 ms
[1782823653.236807] seq=172 owd=5.144 ms
[1782823653.256800] seq=173 owd=5.138 ms
[1782823653.396801] seq=180 owd=5.144 ms
[1782823653.416808] seq=181 owd=5.142 ms
[1782823653.436791] seq=182 owd=5.130 ms
[1782823653.456791] seq=183 owd=5.133 ms
[1782823653.476817] seq=184 owd=5.158 ms
