# OWD receiver: AF42  port=5002
[1782823508.071022] seq=1 owd=0.224 ms
[1782823508.090924] seq=2 owd=0.102 ms
[1782823508.110968] seq=3 owd=0.141 ms
[1782823508.251076] seq=9 owd=20.246 ms
[1782823508.331074] seq=13 owd=20.240 ms
[1782823508.391075] seq=16 owd=20.241 ms
[1782823508.531070] seq=23 owd=20.242 ms
[1782823508.771071] seq=35 owd=20.248 ms
[1782823508.811143] seq=37 owd=20.309 ms
[1782823508.951068] seq=44 owd=20.243 ms
[1782823509.011084] seq=47 owd=20.248 ms
[1782823509.131088] seq=53 owd=20.255 ms
[1782823509.191085] seq=56 owd=20.252 ms
[1782823509.511068] seq=72 owd=20.236 ms
[1782823509.531055] seq=73 owd=20.220 ms
[1782823509.751070] seq=84 owd=20.245 ms
[1782823509.971095] seq=95 owd=20.264 ms
[1782823510.011094] seq=97 owd=20.260 ms
[1782823510.071085] seq=100 owd=20.252 ms
[1782823510.131063] seq=103 owd=20.241 ms
[1782823510.191055] seq=106 owd=20.230 ms
[1782823510.211094] seq=107 owd=20.263 ms
[1782823510.271075] seq=110 owd=20.241 ms
[1782823510.311075] seq=112 owd=20.259 ms
[1782823510.351075] seq=114 owd=20.245 ms
[1782823510.371041] seq=115 owd=20.239 ms
[1782823510.571100] seq=125 owd=20.256 ms
[1782823510.671071] seq=130 owd=20.245 ms
[1782823510.731078] seq=133 owd=20.251 ms
[1782823510.751058] seq=134 owd=20.231 ms
[1782823510.771066] seq=135 owd=20.238 ms
[1782823510.831076] seq=138 owd=20.249 ms
[1782823510.851083] seq=139 owd=20.255 ms
[1782823510.991074] seq=146 owd=20.245 ms
[1782823511.011051] seq=147 owd=20.221 ms
[1782823511.131067] seq=153 owd=20.248 ms
[1782823511.331076] seq=163 owd=20.252 ms
[1782823511.451090] seq=169 owd=20.266 ms
[1782823511.511092] seq=172 owd=20.267 ms
[1782823511.531052] seq=173 owd=20.222 ms
[1782823511.571072] seq=175 owd=20.242 ms
[1782823511.631096] seq=178 owd=20.243 ms
[1782823511.831092] seq=188 owd=20.261 ms
[1782823511.851080] seq=189 owd=20.241 ms
[1782823511.871091] seq=190 owd=20.251 ms
[1782823512.131152] seq=203 owd=20.313 ms
[1782823512.171091] seq=205 owd=20.247 ms
[1782823512.211098] seq=207 owd=20.261 ms
[1782823512.331091] seq=213 owd=20.255 ms
