# OWD receiver: AF41  port=5001
[1782824068.978244] seq=1 owd=0.103 ms
[1782824068.998277] seq=2 owd=0.114 ms
[1782824069.018284] seq=3 owd=0.118 ms
[1782824069.038468] seq=4 owd=0.282 ms
[1782824069.062141] seq=5 owd=3.955 ms
[1782824069.163296] seq=10 owd=5.126 ms
[1782824069.183286] seq=11 owd=5.118 ms
[1782824069.223438] seq=13 owd=5.271 ms
[1782824069.263337] seq=15 owd=5.154 ms
[1782824069.303315] seq=17 owd=5.136 ms
[1782824069.323326] seq=18 owd=5.147 ms
[1782824069.343323] seq=19 owd=5.140 ms
[1782824069.403324] seq=22 owd=5.146 ms
[1782824069.423302] seq=23 owd=5.124 ms
[1782824069.443321] seq=24 owd=5.139 ms
[1782824069.483350] seq=26 owd=5.173 ms
[1782824069.503298] seq=27 owd=5.121 ms
[1782824069.543370] seq=29 owd=5.178 ms
[1782824069.563340] seq=30 owd=5.151 ms
[1782824069.603359] seq=32 owd=5.155 ms
[1782824069.623421] seq=33 owd=5.241 ms
[1782824069.683306] seq=36 owd=5.127 ms
[1782824069.723332] seq=38 owd=5.153 ms
[1782824069.783342] seq=41 owd=5.155 ms
[1782824069.803313] seq=42 owd=5.135 ms
[1782824069.823329] seq=43 owd=5.148 ms
[1782824069.943292] seq=49 owd=5.127 ms
[1782824069.963306] seq=50 owd=5.135 ms
[1782824070.083308] seq=56 owd=5.137 ms
[1782824070.303312] seq=67 owd=5.143 ms
[1782824070.323342] seq=68 owd=5.158 ms
[1782824070.343332] seq=69 owd=5.153 ms
[1782824070.363284] seq=70 owd=5.112 ms
[1782824070.383328] seq=71 owd=5.158 ms
[1782824070.423320] seq=73 owd=5.140 ms
[1782824070.443329] seq=74 owd=5.145 ms
[1782824070.483307] seq=76 owd=5.138 ms
[1782824070.503286] seq=77 owd=5.121 ms
[1782824070.563338] seq=80 owd=5.163 ms
[1782824070.603312] seq=82 owd=5.143 ms
[1782824070.643356] seq=84 owd=5.170 ms
[1782824070.663338] seq=85 owd=5.155 ms
[1782824070.683305] seq=86 owd=5.133 ms
[1782824070.703318] seq=87 owd=5.139 ms
[1782824070.863310] seq=95 owd=5.137 ms
[1782824070.883302] seq=96 owd=5.124 ms
