time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1437075919,738812992,386594617
2,1785199727,892286424,446116639
3,1785271376,892313454,446134551
4,1785839438,892588670,446281102
5,1783935584,891664228,445805525
6,1785949763,892657757,446328932
7,1785226453,892273407,446096588
8,1786611632,892988423,446463115
9,1783340135,891352648,445667493
10,1787013966,893185282,446561437
11,1785538974,892443236,446194910
12,1787415817,893390435,446677475
13,1784266166,891815684,445886027
14,1786513172,892934870,446445208
15,1785708910,892532405,446248755
16,1786265942,892805721,446376368
17,1785562234,892454461,446200523
18,1784953498,892150093,446057259
19,1785360206,892371568,446159318
20,1787349424,893352047,446654278
21,1271800923,660559120,328508109
22,1785588861,892472463,446218471
23,1786036171,892704877,446325838
24,1785145548,892246777,446105389
25,1786964308,893163914,446555223
26,1783465111,891406439,445686013
27,1785136425,892246377,446096588
28,1787559153,893453165,446704666
29,1783935507,891655370,445814377
30,1786230280,892789159,446367845
31,1785964431,892669088,446307729
32,1786591116,892973241,446468887
33,1783069239,891199817,445582317
34,1787825540,893609058,446773118
35,1786089371,892722933,446343775
36,1786301659,892823902,446385217
37,1783947890,891647560,445810614
38,1784542766,891958931,445957195
39,1786962808,893164198,446555525
40,1787383393,893355074,446650965
41,1789382337,924149862,471647455
42,1786948577,893152187,446558467
43,1786227174,892801039,446373838
44,1784918001,892132330,446048658
45,1787449516,893411818,446683568
46,1784386085,891871341,445909097
47,1783971279,891664204,445814538
48,1787862842,893605385,446775797
49,1784380981,891872567,445914103
50,1785256643,892307235,446135785
51,1787011422,893178975,446567576
52,1786474533,892919826,446433367
53,1784367779,891862081,445909043
54,1785623205,892494617,446225265
55,1785735296,892550550,446248540
56,1784761550,892049948,446007419
57,1786671550,893008923,446487050
58,1787053816,893208898,446582037
59,1784899814,892132252,446048258
60,1659862961,843048928,449718447
61,0,0,0
62,0,0,0
63,0,0,0
