time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,1413728439,728737512,382558704
2,1785490334,892427619,446191414
3,1784997912,892167934,446066368
4,1784140778,891753821,445850309
5,1787630713,893497964,446731642
6,1786767583,893074729,446501743
7,1782855223,891092579,445537908
8,1787353570,893363912,446650767
9,1786465532,892901717,446433205
10,1785351375,892354013,446150326
11,1785127648,892246163,446105526
12,1785105324,892226762,446091245
13,1786432703,892899254,446427630
14,1784350332,891862242,445908936
15,1787530417,893438714,446692515
16,1786241689,892794403,446379576
17,1783528025,891442109,445694600
18,1787313384,893352047,446653848
19,1783599363,891469115,445712238
20,1786441964,892899093,446427254
21,1787483820,893414972,446689834
22,1784747442,892051781,446003737
23,1784130618,891738680,445842648
24,1787127522,893250714,446603580
25,1784278556,891835266,445899998
26,1787449516,893393924,446674674
27,1785418833,892382638,446164704
28,1785213130,892284248,446119998
29,1786000167,892678035,446316784
30,1784770262,892068039,446016143
31,1787574724,893456770,446701516
32,1783143491,891254379,445604924
33,1786808222,893087013,446525683
34,1785217514,892291069,446123618
35,1785319632,892342953,446153644
36,1785726304,892532620,446239656
37,1786477204,892916725,446436324
38,1786071960,892713824,446334839
39,1783890859,891628486,445787696
40,1787487646,893417411,446686669
41,1785136479,892255477,446114304
42,1784837332,892092552,446019702
43,1785118978,892237600,446096803
44,1786611793,892979377,446463222
45,1785436543,892400455,446173842
46,1786539803,892970910,446472590
47,1785387367,892354252,446150403
48,1783143168,891245441,445605031
49,1788131155,893739353,446847626
50,1785302656,892329361,446137946
51,1786474425,892928505,446451100
52,1785561751,892454246,446200362
53,1784957711,892166093,446052272
54,1786274629,892814946,446394227
55,1786012600,892684411,446320155
56,1785253107,892300330,446123510
57,1784837571,892101505,446029030
58,1786263304,892818326,446382884
59,1786125428,892731880,446343787
60,1672147554,849186775,451418154
61,0,0,0
62,0,0,0
63,0,0,0
