# OWD receiver: AF41  port=5001
[1752378381.553576] seq=1 owd=0.121 ms
[1752378381.573600] seq=2 owd=0.120 ms
[1752378381.593565] seq=3 owd=0.091 ms
[1752378381.613601] seq=4 owd=0.123 ms
[1752378381.633579] seq=5 owd=0.106 ms
[1752378381.653593] seq=6 owd=0.114 ms
[1752378381.673566] seq=7 owd=0.093 ms
[1752378381.693516] seq=8 owd=0.050 ms
[1752378381.713627] seq=9 owd=0.140 ms
[1752378381.733621] seq=10 owd=0.155 ms
[1752378381.753591] seq=11 owd=0.108 ms
[1752378381.773636] seq=12 owd=0.157 ms
[1752378381.793561] seq=13 owd=0.086 ms
[1752378381.813625] seq=14 owd=0.141 ms
[1752378381.833546] seq=15 owd=0.070 ms
[1752378381.853515] seq=16 owd=0.049 ms
[1752378381.873534] seq=17 owd=0.063 ms
[1752378381.893522] seq=18 owd=0.054 ms
[1752378381.913579] seq=19 owd=0.100 ms
[1752378381.933561] seq=20 owd=0.082 ms
[1752378381.956958] seq=21 owd=3.483 ms
[1752378381.976986] seq=22 owd=3.522 ms
[1752378382.139590] seq=30 owd=6.127 ms
[1752378382.239635] seq=35 owd=6.152 ms
[1752378382.259669] seq=36 owd=6.168 ms
[1752378382.318807] seq=39 owd=5.305 ms
[1752378382.339664] seq=40 owd=6.181 ms
[1752378382.439723] seq=45 owd=6.227 ms
[1752378382.479549] seq=47 owd=6.091 ms
[1752378382.519426] seq=49 owd=5.939 ms
[1752378382.559533] seq=51 owd=6.058 ms
[1752378382.619678] seq=54 owd=6.162 ms
[1752378382.699660] seq=58 owd=6.182 ms
[1752378382.779663] seq=62 owd=6.202 ms
[1752378382.799668] seq=63 owd=6.181 ms
[1752378382.859639] seq=66 owd=6.157 ms
[1752378382.979664] seq=72 owd=6.170 ms
[1752378383.079669] seq=77 owd=6.176 ms
[1752378383.159640] seq=81 owd=6.143 ms
[1752378383.239593] seq=85 owd=6.127 ms
[1752378383.339651] seq=90 owd=6.182 ms
[1752378383.359721] seq=91 owd=6.233 ms
[1752378383.419586] seq=94 owd=6.111 ms
[1752378383.439669] seq=95 owd=6.132 ms
[1752378383.779543] seq=112 owd=6.073 ms
[1752378384.079599] seq=127 owd=6.124 ms
[1752378384.099683] seq=128 owd=6.219 ms
[1752378384.139530] seq=130 owd=6.066 ms
[1752378384.179634] seq=132 owd=6.160 ms
[1752378384.379684] seq=142 owd=6.204 ms
[1752378384.479697] seq=147 owd=6.217 ms
[1752378384.539597] seq=150 owd=6.107 ms
[1752378384.639640] seq=155 owd=6.157 ms
[1752378384.739673] seq=160 owd=6.205 ms
[1752378384.779731] seq=162 owd=6.185 ms
[1752378384.939699] seq=170 owd=6.213 ms
[1752378385.019670] seq=174 owd=6.191 ms
[1752378385.079576] seq=177 owd=6.095 ms
[1752378385.099587] seq=178 owd=6.104 ms
[1752378385.199592] seq=183 owd=6.123 ms
[1752378385.279644] seq=187 owd=6.166 ms
[1752378385.299673] seq=188 owd=6.186 ms
[1752378385.479659] seq=197 owd=6.172 ms
[1752378385.559647] seq=201 owd=6.185 ms
[1752378385.659672] seq=206 owd=6.188 ms
[1752378385.759633] seq=211 owd=6.155 ms
[1752378385.839593] seq=215 owd=6.109 ms
[1752378385.859674] seq=216 owd=6.180 ms
[1752378385.879524] seq=217 owd=6.042 ms
[1752378385.919658] seq=219 owd=6.176 ms
[1752378385.939665] seq=220 owd=6.183 ms
[1752378385.959710] seq=221 owd=6.178 ms
