time,rx1_bytes_per_sec,rx2_bytes_per_sec,rx3_bytes_per_sec
1,919890,258640,1252
2,7139115,3562404,1802057
3,7046346,3522673,1761077
4,7130315,3566341,1782206
5,7117763,3558166,1778876
6,7120481,3559954,1781065
7,7128913,3564456,1781914
8,7112065,3556379,1777450
9,7134641,3567642,1783132
10,7123518,3561732,1781080
11,7122316,3560658,1780462
12,7121787,3561081,1780146
13,7116290,3568949,1787808
14,7058920,3531331,1764488
15,7120750,3560482,1780697
16,7124832,3561914,1780804
17,7117801,3558981,1778329
18,7124809,3562619,1781363
19,7121948,3561134,1779878
20,6737466,3368946,1684553
21,0,0,0
22,0,0,0
23,0,0,0
24,77,77,77
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,77,77,77
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,370935,100291,0
42,7270846,3594230,1789526
43,7123284,3562666,1779731
44,7113460,3556390,1778436
45,7056043,3527439,1764516
46,7116330,3558405,1778596
47,7133584,3567481,1784564
48,7123185,3561807,1780268
49,7120214,3559157,1778943
50,7120321,3560375,1780536
51,7119374,3559526,1779530
52,7129234,3564804,1782884
53,7126341,3563477,1780774
54,7048776,3526061,1760488
55,7124959,3561935,1781774
56,7102241,3550567,1774437
57,7134790,3567823,1783992
58,7132099,3566103,1783346
59,7113663,3557152,1777996
60,7061412,3529578,1765188
61,3096187,1600039,946896
62,0,0,0
63,77,77,77
