Connecting to host 10.20.3.1, port 3000
[  5] local 10.10.3.1 port 46349 connected to 10.20.3.1 port 3000
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  2681167  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.06  sec  3.50 GBytes   500 Mbits/sec  0.000 ms  0/2681167 (0%)  sender
[  5]   0.00-60.10  sec  99.4 MBytes  13.9 Mbits/sec  0.008 ms  2606690/2681132 (97%)  receiver

Server output:
Accepted connection from 10.10.3.1, port 53140
[  5] local 10.20.3.1 port 3000 connected to 10.10.3.1 port 46349
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.60 MBytes  13.5 Mbits/sec  0.043 ms  40819/42021 (97%)  
[  5]   1.00-2.00   sec  1.64 MBytes  13.8 Mbits/sec  0.069 ms  43756/44988 (97%)  
[  5]   2.00-3.00   sec  1.65 MBytes  13.8 Mbits/sec  0.046 ms  43416/44651 (97%)  
[  5]   3.00-4.00   sec  1.64 MBytes  13.8 Mbits/sec  0.099 ms  43282/44513 (97%)  
[  5]   4.00-5.00   sec  1.65 MBytes  13.9 Mbits/sec  0.046 ms  43521/44759 (97%)  
[  5]   5.00-6.00   sec  1.65 MBytes  13.8 Mbits/sec  0.048 ms  43420/44655 (97%)  
[  5]   6.00-7.00   sec  1.65 MBytes  13.8 Mbits/sec  0.062 ms  43431/44664 (97%)  
[  5]   7.00-8.00   sec  1.65 MBytes  13.8 Mbits/sec  0.061 ms  43361/44595 (97%)  
[  5]   8.00-9.00   sec  1.65 MBytes  13.8 Mbits/sec  0.062 ms  43431/44666 (97%)  
[  5]   9.00-10.00  sec  1.65 MBytes  13.8 Mbits/sec  0.103 ms  43477/44712 (97%)  
[  5]  10.00-11.00  sec  1.65 MBytes  13.8 Mbits/sec  0.054 ms  43359/44593 (97%)  
[  5]  11.00-12.00  sec  1.65 MBytes  13.8 Mbits/sec  0.052 ms  43385/44619 (97%)  
[  5]  12.00-13.00  sec  1.63 MBytes  13.7 Mbits/sec  0.047 ms  43452/44675 (97%)  
[  5]  13.00-14.00  sec  1.65 MBytes  13.8 Mbits/sec  0.077 ms  43397/44632 (97%)  
[  5]  14.00-15.00  sec  1.65 MBytes  13.8 Mbits/sec  0.072 ms  43406/44640 (97%)  
[  5]  15.00-16.00  sec  1.63 MBytes  13.7 Mbits/sec  0.108 ms  43443/44666 (97%)  
[  5]  16.00-17.00  sec  1.65 MBytes  13.8 Mbits/sec  0.046 ms  43361/44594 (97%)  
[  5]  17.00-18.00  sec  1.65 MBytes  13.8 Mbits/sec  0.062 ms  43397/44631 (97%)  
[  5]  18.00-19.00  sec  1.65 MBytes  13.8 Mbits/sec  0.076 ms  43394/44629 (97%)  
[  5]  19.00-20.00  sec  1.56 MBytes  13.1 Mbits/sec  0.033 ms  43142/44309 (97%)  
[  5]  20.00-21.00  sec  2.01 MBytes  16.9 Mbits/sec  0.008 ms  43993/45498 (97%)  
[  5]  21.00-22.00  sec  1.75 MBytes  14.7 Mbits/sec  0.062 ms  42779/44092 (97%)  
[  5]  22.00-23.00  sec  1.65 MBytes  13.8 Mbits/sec  0.070 ms  43455/44690 (97%)  
[  5]  23.00-24.00  sec  1.65 MBytes  13.8 Mbits/sec  0.033 ms  43348/44582 (97%)  
[  5]  24.00-25.00  sec  1.65 MBytes  13.8 Mbits/sec  0.069 ms  43397/44631 (97%)  
[  5]  25.00-26.00  sec  1.65 MBytes  13.8 Mbits/sec  0.052 ms  43395/44629 (97%)  
[  5]  26.00-27.00  sec  1.65 MBytes  13.8 Mbits/sec  0.071 ms  43503/44739 (97%)  
[  5]  27.00-28.00  sec  1.65 MBytes  13.8 Mbits/sec  0.048 ms  43336/44570 (97%)  
[  5]  28.00-29.00  sec  1.65 MBytes  13.8 Mbits/sec  0.086 ms  43382/44615 (97%)  
[  5]  29.00-30.00  sec  1.65 MBytes  13.8 Mbits/sec  0.075 ms  43433/44667 (97%)  
[  5]  30.00-31.00  sec  1.65 MBytes  13.8 Mbits/sec  0.074 ms  43431/44666 (97%)  
[  5]  31.00-32.00  sec  1.65 MBytes  13.8 Mbits/sec  0.052 ms  43383/44618 (97%)  
[  5]  32.00-33.00  sec  1.65 MBytes  13.8 Mbits/sec  0.053 ms  43414/44648 (97%)  
[  5]  33.00-34.00  sec  1.65 MBytes  13.8 Mbits/sec  0.050 ms  43400/44635 (97%)  
[  5]  34.00-35.00  sec  1.65 MBytes  13.8 Mbits/sec  0.102 ms  43361/44594 (97%)  
[  5]  35.00-36.00  sec  1.65 MBytes  13.8 Mbits/sec  0.065 ms  43419/44653 (97%)  
[  5]  36.00-37.00  sec  1.65 MBytes  13.8 Mbits/sec  0.066 ms  43394/44629 (97%)  
[  5]  37.00-38.00  sec  1.65 MBytes  13.8 Mbits/sec  0.043 ms  43478/44713 (97%)  
[  5]  38.00-39.00  sec  1.65 MBytes  13.8 Mbits/sec  0.055 ms  43324/44557 (97%)  
[  5]  39.00-40.00  sec  1.64 MBytes  13.7 Mbits/sec  0.102 ms  43582/44808 (97%)  
[  5]  40.00-41.00  sec  1.63 MBytes  13.7 Mbits/sec  0.068 ms  43410/44631 (97%)  
[  5]  41.00-42.00  sec  1.70 MBytes  14.3 Mbits/sec  0.066 ms  43353/44628 (97%)  
[  5]  42.00-43.00  sec  1.65 MBytes  13.8 Mbits/sec  0.069 ms  43385/44618 (97%)  
[  5]  43.00-44.00  sec  1.65 MBytes  13.8 Mbits/sec  0.080 ms  43429/44665 (97%)  
[  5]  44.00-45.00  sec  1.63 MBytes  13.7 Mbits/sec  0.048 ms  43408/44630 (97%)  
[  5]  45.00-46.00  sec  1.65 MBytes  13.8 Mbits/sec  0.087 ms  43434/44668 (97%)  
[  5]  46.00-47.00  sec  1.65 MBytes  13.8 Mbits/sec  0.096 ms  43428/44663 (97%)  
[  5]  47.00-48.00  sec  1.65 MBytes  13.8 Mbits/sec  0.081 ms  43361/44595 (97%)  
[  5]  48.00-49.00  sec  1.65 MBytes  13.8 Mbits/sec  0.038 ms  43384/44618 (97%)  
[  5]  49.00-50.00  sec  1.65 MBytes  13.8 Mbits/sec  0.050 ms  43430/44665 (97%)  
[  5]  50.00-51.00  sec  1.65 MBytes  13.8 Mbits/sec  0.049 ms  43420/44654 (97%)  
[  5]  51.00-52.00  sec  1.65 MBytes  13.8 Mbits/sec  0.080 ms  43453/44689 (97%)  
[  5]  52.00-53.00  sec  1.65 MBytes  13.8 Mbits/sec  0.063 ms  43394/44629 (97%)  
[  5]  53.00-54.00  sec  1.65 MBytes  13.8 Mbits/sec  0.058 ms  43385/44618 (97%)  
[  5]  54.00-55.00  sec  1.65 MBytes  13.8 Mbits/sec  0.048 ms  43441/44677 (97%)  
[  5]  55.00-56.00  sec  1.65 MBytes  13.8 Mbits/sec  0.038 ms  43420/44654 (97%)  
[  5]  56.00-57.00  sec  1.65 MBytes  13.8 Mbits/sec  0.058 ms  43372/44606 (97%)  
[  5]  57.00-58.00  sec  1.65 MBytes  13.8 Mbits/sec  0.029 ms  43431/44666 (97%)  
[  5]  58.00-59.00  sec  1.65 MBytes  13.8 Mbits/sec  0.254 ms  43385/44618 (97%)  
[  5]  59.00-60.00  sec  1.65 MBytes  13.8 Mbits/sec  0.030 ms  43392/44627 (97%)  
[  5]  60.00-60.10  sec   204 KBytes  17.0 Mbits/sec  0.008 ms  4718/4867 (97%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[SUM]  0.0-60.1 sec  1 datagrams received out-of-order
[  5]   0.00-60.10  sec  99.4 MBytes  13.9 Mbits/sec  0.008 ms  2606690/2681132 (97%)  receiver


iperf Done.
